str_yes|Oui.
str_they_say_that_s9_has_been_forced_by_her_family_into_betrothal_with_s11|On dit que la famille de {s9} l'a forcée à se fiancer avec {s11}.
str_they_say_that_s9_has_agreed_to_s11s_suit_and_the_two_are_now_betrothed|On dit que {s9} a cédé à la cour du {s11} et que les jeunes gens sont désormais fiancés.
str_they_say_that_s9_under_pressure_from_her_family_has_agreed_to_betrothal_with_s11|On dit que, sous la pression de sa famille, {s9} a accepté de se fiancer au {s11}.
str_they_say_that_s9_has_refused_s11s_suit|On dit que {s9} a éconduit {s11}.
str_they_say_that_s11_has_tired_of_pursuing_s9|On dit que {s11} en a assez de courtiser {s9}.
str_they_say_that_s9s_family_has_forced_her_to_renounce_s11_whom_she_much_loved|On dit que la famille de {s9} l'a forcée à renoncer au {s11}, qu'elle aimait tant.
str_they_say_that_s9_has_run_away_with_s11_causing_her_family_much_grievance|On dit que {s9} a fui avec {s11}, au grand désespoir de la famille de la jeune fille.
str_they_say_that_s9_and_s11_have_wed|On dit que {s9} et {s11} se sont mariés.
str_they_say_that_s9_was_recently_visited_by_s11_who_knows_where_that_might_lead|On dit que {s11} a récemment rendu visite à {s9}. Qui sait où cela peut mener !
str_there_is_not_much_to_tell_but_it_is_still_early_in_the_season|Il n'y a pas grand-chose à dire, la saison commence à peine
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_but_it_has_been_going_on_for_a_couple_of_days_and_is_about_to_end_|{s12}Un banquet du {s3} se tient actuellement à {s4}, mais il est entamé depuis deux jours et touche à sa fin. 
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_should_last_for_at_least_another_day_|{s12}Un banquet du {s3} se tient actuellement à {s4} et devrait encore durer au moins un jour.
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_has_only_just_begun_|{s12}Un banquet du {s3} se tient actuellement à {s4}, il vient à peine de commencer. 
str_not_at_this_time_no|Non, pas maintenant.
str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|{s12}Les grands seigneurs emmènent leurs filles et leurs sœurs à ces réceptions, c'est donc une excellente occasion de faire la connaissance d'une dame.
; str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_calradia|You will not be disappointed, {reg59?madame:sir}. You will not find better warriors in all this land.
; str_your_excellency|your grace
str_s10_and_s11|{s10} et {s11}
str_your_loyal_subjects|vos loyaux sujets
str_loyal_subjects_of_s10|loyaux sujets de {s10}
str_the|{le/la}
str_we|nous
str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|Trouvez {s7} et empêchez-le de mener le {s11} à la guerre.
str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|Éliminez les {s9} qui ont attaqué les voyageurs près de {s8}.
str_do_you_wish_to_award_it_to_one_of_your_vassals|Voulez-vous l'attribuer à l'un de vos vassaux ?
; str_who_do_you_wish_to_give_it_to|Whom do you wish to give it to?
; str_sire_my_lady_we_have_taken_s1_s2|{reg59?My Lady:Sire}, we have taken {s1}. {s2}
str_s12i_want_to_have_s1_for_myself|{s12}Je désire me réserver {s1}. {s2}
str_fiefs_s0|(fiefs: {s0})
str_production_setting_buy_from_market|Nous achetons des matières premières au marché.
str_production_setting_buy_from_inventory|Nous utilisons uniquement les matières premières de notre inventaire.
str_production_setting_produce_to_inventory|Nous stockons notre production dans l'inventaire.
str_production_setting_produce_to_market|Nous vendons notre production directement au marché.
str_feast_quest_expired|Nous n'avons pas pu organiser le banquet prévu. Des campagnes ou autres événements importants ont dû se produire. Si vous voulez, vous pouvez tenter d'organiser un autre banquet.
; str_amber_riverbeds|beaches and riverbeds with amber
; str_hunting_forests|hunting forests and meat smokehouses
str_acres_flax|acres de champs de lin
; str_enterprise_enemy_realm|{reg59?Madame:Sir}, you are an enemy of this realm. We cannot allow you to buy land here.
str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|Vous avez l'intention de dénoncer {s14} au {s13}, sur demande du {s12}
str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|Vous avez l'intention de dénoncer publiquement {s14} sur demande du {s12}
; str_you_intend_to_bring_gift_for_s14|You intend to bring jewelry and furs to {s12}. Then, speak to {s14}, to see if {s12} was able to arrange a reconciliation.
str_we_will_gather_the_army_but_not_ride_until_we_have_an_objective|Nous allons rassembler l'armée, mais nous ne bougerons pas avant d'avoir un objectif précis.
str_we_shall_lay_siege_to_an_easy_fortress_to_capture|Nous concentrons des forces sur la plus vulnérable de leurs forteresses.
; str_we_shall_strike_at_the_heart_of_our_foe_and_seize_the_fortress_of_s14|We intend to strike the blow that will do them the greatest damage.
; str_we_shall_take_the_fortress_of_s14_which_appears_easily_defensible|We aim to take a fortress that will be easy for us to defend.
str_we_shall_cut_a_fiery_trail_through_their_richest_lands_to_draw_them_out_to_battle|Nous ravageons leurs terres les plus riches pour les obliger à nous combattre.
str_strategy_criticism_rash|Je pense que cette stratégie est imprudente et qu'elle met inutilement nos forces en danger.
str_strategy_criticism_cautious|Je pense que cette stratégie est trop prudente, et que à force d'ennui, notre armée se sera dispersée avant la première bataille.
str_tavernkeeper_invalid_quest| avait quelques affaires en cours, malheureusement j'ai du mal à me souvenir des détails.
; str_faction_title_male_player|Konungr {s0}
str_faction_title_male_1|Jarl {s0}
; str_faction_title_male_2|Hersir {s0}
; str_faction_title_male_3|Cyning {s0}
; str_faction_title_male_4|Ealdorman {s0}
; str_faction_title_male_5|Dryhten {s0}
; str_faction_title_male_6|Ri {s0}
; str_faction_title_female_player|Guledic {s0}
; str_faction_title_female_1|Tiern {s0}
; str_faction_title_female_2|Ruire {s0}
; str_faction_title_female_3|Tiarna {s0}
; str_faction_title_female_4|Mael {s0}
; str_faction_title_female_5|Dux {s0}
; str_faction_title_female_6|Warlord {s0}
str_name_kingdom_text|Quel sera le nom de votre royaume?
; str_default_kingdom_name|Kingdom of {s0}
; str_lord_defects_ordinary|Lord Defects^^{s1} has renounced {reg4?her:his} allegiance to the {s3} and joined the {s2}
str_lord_defects_player|Trahison d'un seigneur^^{s1} a renoncé à son allégeance envers le {s3}. Il veut rejoindre votre royaume. Vous pouvez le recevoir à votre cour pour qu'{reg4?elle:il} prête serment.
str_lord_defects_player_faction|Trahison d'un seigneur^^{s1} a renoncé à son allégeance envers le {s3}. Il veut rejoindre votre royaume. Vous pouvez le recevoir à votre cour pour qu'{reg4?elle:il} prête serment.
; str_lord_indicted_player_faction|By order of {s6}, {s4} of the {s5} has been indicted for treason. The lord has been stripped of all {reg4?her:his} properties, and has fled for {reg4?her:his} life. He wishes to join your kingdom. You may find him in your court, if you wish it.
; str_lord_indicted_dialog_approach|Greetings, {reg59?my lady:my lord}. You may have heard of my ill treatment at the hands of {s10}. You have a reputation as one who treats {reg59?her:his} vassals well, and if you will have me, I would be honored to pledge myself as your vassal.
str_lord_indicted_dialog_approach_yes|Et je serai honoré que vous le fassiez.
str_lord_indicted_dialog_approach_no|Pardonnez-moi, mais je n'ai pas besoin de vous.
; str_lord_indicted_dialog_rejected|Indeed? Well, perhaps your reputation is misleading. Good day, {reg59?my lady:my lord} -- I go to see if another ruler in these lands is more appreciative of my talents.
str__has_been_worried_about_bandits_establishing_a_hideout_near_his_home| redoute que des bandits installent une de leurs cachettes dans sa région.
; str_bandit_lair_quest_description|Find and destroy the {s9} and report back to {s11}.
; str_reveal_ass|Someone attempted to murder you. You can try to find out who wanted you dead by meeting the killers' contact in {s3}.
; str_reveal_ass2|The contact has given away the lord who ordered the assassination - it is {s9}. It's time to confront the lord directly.
str_bandit_hideout_preattack|Vous approchez du repaire. Les {s4} ne semblent pas avoir remarqué votre présence, et vous pouvez vous introduire discrètement. Ceci dit, vous ne pourrez emmener avec vous qu'une poignée de soldats, à pied bien entendu. Si votre attaque initiale rate, les {s4} pourront facilement s'échapper et disparaître dans la nature. Voulez-vous attaquer le repaire ou attendre une autre occasion ?
str_bandit_hideout_failure|Les {s4} ont repoussé votre attaque. Avant que vous n'ayez pu réagir, ils se sont dispersés, et cette fois ne se laisseront plus surprendre, mais nul doute qu'ils continueront à terroriser les voyageurs.
; str_bandit_hideout_success|With their retreat cut off, the {s4} fall one by one to your determined attack. Their hideout, and their ill-gotten gains, is now yours.
str_bandit_approach_defile|à travers un étroit défilé
str_bandit_approach_swamp|aux travers d'un marais
str_bandit_approach_thickets|au travers d'épais bosquets
str_bandit_approach_cliffs|le long d'un chemin bordant une falaise
str_bandit_approach_cove|près d'une crique
str_political_explanation_lord_lacks_center|Dans ce cas, le fief devrait revenir à un seigneur qui ne possède ni terres ni revenus.
str_political_explanation_lord_took_center|Dans ce cas la forteresse devrait revenir à celui qui l'a capturée.
str_political_explanation_most_deserving_friend|Compte tenu de la situation, le fief doit revenir au plus méritant de mes amis et compagnons.
str_political_explanation_most_deserving_in_faction|Compte tenu de la situation, le fief doit revenir au plus méritant des seigneurs du royaume.
; str_political_explanation_self|In the absence of any other clear candidate, I nominate myself.
str_political_explanation_marshal|C'est le plus brave d'entre nous, il a toute ma confiance, et son nom n'est pas sali par de sombres rumeurs.
str_prisoner_at_large|libre, après la défaite des ravisseurs. J'espère que votre {ami/amie} refera rapidement surface.
str_quick_battle_scene_1|Ferme
; str_quick_battle_scene_2|Welsh Village
str_quick_battle_scene_3|Passe de Tulbuk
; str_quick_battle_scene_4|Tom Tun Burh
; str_quick_battle_scene_5|Skagerrak
; str_quick_battle_scene_6|The North Sea
; str_quick_battle_scene_7|Kennemer Port
; str_quick_battle_scene_8|Battle Scene 6
; str_quick_battle_scene_9|Battle Scene 7
; str_quick_battle_scene_10|Battle Scene 8
; str_quick_battle_scene_11|Battle Scene 9
; str_quick_battle_troop_1|Bodo, servitor to the kings of Asturias, is on a secret mission to the lands of the north.
; str_quick_battle_troop_2|Sven, hersir in the service of Sigurd Snake-in-the-Eye, rides in the prow of his master's ship. He has a well deserved reputation for ruthlessness and cruelty, running slaves and demanding protection money from Friese to Alba.
; str_quick_battle_troop_3|Cerball mac Dunlainge, head of one of the larger petty kingdoms in Ireland, has won independence from Munster through capable arms and even more capable playing of the various Goidelic (Irish) and Viking factions against one another. Now that he possesses riches and mercenaries from the Viking settlement at Waterford, will he become overlord of Ireland?
; str_quick_battle_troop_4|Artorius, a champion of Rhodri Mawr, helps his master to attempt once again to unify the factious Britons of Wales. It is not a project of expansion but survival against their ancient enemies, the Angles and Saxons, and now the new threat of Vikings.
; str_quick_battle_troop_5|Cinead is named after the chieftain who unified Alba after the old rival dynasties of the Picts and Dal Riata were virtually destroyed by Vikings in a three-way battle in 839. He is one of the few who retain the ancient tradition of horsemanship in these parts, fast disappearing as the Vikings displace his people from the low-lying areas to the southwest.
; str_quick_battle_troop_6|Oswald is a thegn in the Saxon levy, commanding a large group of ceorls who rent his lands. While the glory goes to the kings, it is the solid officers like him that actually protect West Seaxe.
; str_quick_battle_troop_7|Hildr comes from a persistent tradition among Germanic peoples of women fighters, called skjaldmo, or shield maidens, by the Danes. Her comrades accept her none too grudgingly, as it is whispered she has harnessed the power of runes from wizards in far-off Finland.
; str_quick_battle_troop_cam|Watch the AI play the battle out. The camera uses the standard movement and rotation controls, plus F for up and V for down, +/- for zoom, Q to toggle follow terrain, numpad for game speed, mouse wheel for camera speed, arrow key rotation, Y to toggle invert y-axis, and R to toggle rotate-before-pan.
; str_strategy_cam|This camera follows the player. One may increase distance with the F key and reduce it with the V key. +/- for zoom, numpad for game speed (when cheats are enabled), and mouse wheel for camera speed.
; str_tutorial_training_ground_intro_message|Walk around the training field and speak with the fighters to practice various aspects of combat. You can use ASDW keys to move around. To talk to a character, approach him until his name appears on your screen and then press the F key. You can also use the F key to pick up items, open doors and interact with objects. Press the Tab key to exit the tutorial any time you like.
; str_tutorial_doccinga_ground_intro_message|Doccinga is a small fishing village on the coast of Friese. People here are hard working and still very prosperous, although foreigners no longer come as they did before the death of the old sorcerer. When you go into the village, you see a lot of activity around you. Apart from the busy villagers, some warriors swarm among the people, exercising the arts of war, perhaps preparing for an adventure beyond the sea. Maybe you can ask the warriors for practice in the various aspects of combat... (Remember: ASDW keys to move around. To talk to a character, approach him until his name appears on your screen and then press the F key. You can also use the F key to pick up items, open doors and interact with objects. Press the Tab key to exit Doccinga.)
str_map_basic|Carte
str_game_type_basic|Type de partie
str_battle|Bataille
str_siege_offense|Siège (Attaque)
str_siege_defense|Siège (Défense)
str_character|Personnage
str_biography|Biographie
str_player|Joueur
str_enemy|Ennemi
; str_faction|Culture
str_army_composition|Composition de l'armée
str_army_size|Taille de l'armée
str_reg0_men|{reg0} hommes
str_start|Commencer
str_i_need_to_raise_some_men_before_attempting_anything_else|Je dois recruter davantage d'hommes avant de tenter quoi que se soit.
str_we_are_currently_at_peace|Nous sommes en paix.
str_the_marshalship|le titre de maréchal
str_you|Vous
str_myself|moi
str_my_friend_s15|mon ami {s15}
str_custom_battle|Bataille personnalisée
; str_comment_intro_liege_affiliated_to_player|I am told that you would dispute my claim to the crown. Needless to say, I am not pleased by this news. However, we may still talk.
str_s21_the_s8_declared_war_out_of_personal_enmity|{s21} Le {s8} a déclaré cette guerre à cause de problèmes personnels entre seigneurs
str_s21_the_s8_declared_war_in_response_to_border_provocations|{s21} Le {s8} a déclaré cette guerre en réponse suite à de nombreuses provocations
str_s21_the_s8_declared_war_to_curb_the_other_realms_power|{s21} Le {s8} a déclaré cette guerre pour l'affaiblir
str_s21_the_s8_declared_war_to_regain_lost_territory|{s21} Le {s8} a déclaré cette guerre pour reconquérir un territoire perdu.
str_we_are_conducting_recce|Avant de prendre une décision, il nous faut partir en reconnaissance
str_center_party_not_active|ne nous intéresse guère, nous n'avons nul allié dans cette région.
str_center_is_friendly|n'est pas notre ennemi.
str_center_is_already_besieged|est déjà assiègé.
; str_center_is_looted_or_raided_already|has already been laid waste.
str_center_marshal_does_not_want_to_attack_innocents|n'est peuplé que d'innocents, et eux seuls souffriront si nous attaquons.
str_center_we_have_already_committed_too_much_time_to_our_present_siege_to_move_elsewhere|est assiégé depuis trop longtemps pour que nous abandonnions maintenant.
str_center_we_are_already_here_we_should_at_least_loot_the_village|est fort proche d'ici, nous pourrions nous emparer de leurs richesses sans problème.
str_center_far_away_we_can_reconnoiter_but_will_delay_decision_until_we_get_close|NOT USED
str_center_far_away_our_cautious_marshal_does_not_wish_to_reconnoiter|est trop loin, même pour y envoyer un éclaireur.
str_center_far_away_even_for_our_aggressive_marshal_to_reconnoiter|est trop loin, même pour y envoyer un éclaireur.
str_center_far_away_reason|{s6} est plus loin que {s5} forteresses, même si nous parvenions à en prendre possession, qu'en ferions nous ?
str_center_closer_but_this_is_not_enought|{s6} est certes plus proche de nos frontières que {s5}, mais nous avons nos raisons de ne pas l'attaquer tout de suite.
str_center_protected_by_enemy_army_aggressive|est protégée par plus d'hommes que nous n'en avons à notre disposition.
str_center_protected_by_enemy_army_cautious|est protégée par une armée ennemie qui est trop important pour espérer une victoire.
str_center_cautious_marshal_believes_center_too_difficult_to_capture|nécessiterait un siège aussi sanglant qu'incertain.
str_center_even_aggressive_marshal_believes_center_too_difficult_to_capture|est trop lourdement défendu pour nous.
; str_center_value_outweighed_by_difficulty_of_capture|is not of sufficient value to justify the difficulty of attacking it.
; str_center_value_justifies_the_difficulty_of_capture|can be taken, and it is of sufficient value to justify an attack.
str_center_is_indefensible|est bien trop loin de nos frontières.
str_we_are_waiting_for_selection_of_marshal|Nous attendons l'élection d'un nouveau maréchal.
str_best_to_attack_the_enemy_lands|Étant donné la puissance de notre armée, nous devrions attaquer l'ennemi de front.
str_we_believe_the_fortress_will_be_worth_the_effort_to_take_it|Nous pensons que l'intérêt stratégique de cette forteresse vaut les risques d'un tel assaut. 
str_we_will_gather_to_defend_the_beleaguered_fortress|Nous allons rassembler une armée pour soutenir cette forteresse.
str_the_enemy_temporarily_has_the_field|L'ennemi contrôle la situation, nous devrions nous réfugier en lieu sûr pour quelque temps.
; str_center_has_not_been_scouted|has not been recently scouted by our forces, but we can go there and decide what to do when we get close.
str_we_have_assembled_some_vassals|Nous avons rassemblé quelques vassaux, mais il nous en faut davantage pour nous aventurer en terrain ennemi.
str_we_are_waiting_here_for_vassals|Nous attendons d'autres vassaux nous rejoignent.
str_we_are_travelling_to_s11_for_vassals|Nous faisons route vers {s11} afin que les vassaux du royaume puissent se joindre à nous.
str_center_strength_not_scouted|Nous ignorons si la région est bien défendue...
str_center_strength_strongly_defended|Nous pensons que la place est lourdement défendue.
str_center_strength_moderately_defended|Nous pensons que la place est bien défendue.
str_center_strength_weakly_defended|Nous pensons que la place est vulnérable.
str_center_distant_from_concentration|est plus proche de nous que de l'armée ennemie principale, dont nous connaissons la position. Nous pourrions attaquer et vaincre avant qu'elle ne puisse intervenir.
str_plus|+
str_minus|-
str_tutorial_training_ground_warning_no_weapon|Hé, vous ne croyez pas qu'il vous faut une arme. Il doit y en avoir là-bas, servez-vous.
str_tutorial_training_ground_warning_shield|Vous devriez peut-être lâcher ce bouclier...
str_tutorial_training_ground_warning_melee_with_parry|Il vous faut une arme de contact pour cet exercice.
; str_tutorial_training_ground_warning_melee|Scroll up with your mouse wheel to equip a weapon. Scrolling up will equip next weapon while scrolling down will equip next shield.
str_tutorial_training_ground_attack_training|Nombre d'attaques réussies: {reg0} / 5^Nombre d'attaques ratées: {reg1}^{s0}
str_tutorial_training_ground_attack_training_down|Frappez d'estoc! (Bougez la souris vers le bas et appuyez sur le bouton gauche)
str_tutorial_training_ground_attack_training_up|Frappez de taille, de haut en bas ! (Bougez la souris vers le haut et appuyez sur le bouton gauche)
str_tutorial_training_ground_attack_training_left|Frappez de taille, de gauche à droite! (Bougez la souris vers la gauche et appuyez sur le bouton gauche)
str_tutorial_training_ground_attack_training_right|Frappez de taille, de droite à gauche ! (Bougez la souris vers la droite et appuyez sur le bouton gauche)
str_tutorial_training_ground_parry_training|Nombre de parades réussies : {reg0} / 5
str_tutorial_training_ground_chamber_training|Nombre de blocages réussis : {reg0} / 5
str_tutorial_training_ground_archer_training|Nombre de tirs réussis: {reg0} / 3^{s0}
; str_tutorial_training_ground_ammo_refill|Your missiles are refilled for the training.
str_tutorial_training_ground_archer_text_1|Approchez-vous et appuyez sur F pour ramasser.
str_tutorial_training_ground_archer_text_2|Tirez sur les cibles.
str_tutorial_training_ground_archer_text_3|La taille du réticule indique votre précision. Maintenez le bouton gauche de la souris enfoncé de sorte qu'il soit le plus petit possible, et relâchez-le. Si vous attendez trop longtemps, le réticule s'agrandira à nouveau.
str_tutorial_training_ground_archer_text_4|Appuyez sur R pour passer à la vue à la première personne. Cela permet entre autres de viser plus facilement avec les armes à distance.
str_tutorial_training_ground_archer_text_5|Vous avez touché toutes les cibles. Maintenant, retournez parler au mentor.
str_tutorial_training_ground_horseman_text_1|Approchez-vous, et appuyez sur F pour la prendre.
str_tutorial_training_ground_horseman_text_2|Rapprochez-vous du cheval et appuyez sur F pour le monter.
str_tutorial_training_ground_horseman_text_3|Dirigez votre monture vers le point de passage suivant.
str_tutorial_training_ground_horseman_text_4|Frappez le mannequin indiqué par la flèche !
str_tutorial_training_ground_horseman_text_5|Tirez sur la cible indiquée par la flèche !
str_tutorial_training_ground_horseman_text_6|Vous avez réussi l'exercice. Retournez parler au mentor.
str_the_great_lords_of_your_kingdom_plan_to_gather_at_your_hall_in_s10_for_a_feast|Les grands seigneurs de votre royaume projettent de se réunir pour un banquet dans votre salle de réception de {s10}.
; str_your_previous_court_some_time_ago|your previous court some time ago
str_awaiting_the_capture_of_a_fortress_which_can_serve_as_your_court|en attendant la prise d'un château pouvant accueillir votre cour
str_but_if_this_goes_badly| J'apprécie vos conseils. Mais si cela devait mal tourner, je vous en tiendrai pour responsable.
str_i_realize_that_you_are_on_good_terms_with_s4_but_we_ask_you_to_do_this_for_the_good_of_the_realm| Je réalise que vous êtes en bons termes avec {s4}, mais c'est pour le bien du royaume.
str_i_realize_that_you_are_on_good_terms_with_s4_but_the_blow_will_hurt_him_more|Je réalise que vous êtes en bons termes avec {s4}, mais le coup que vous lui porterez n'en sera que plus efficace !
str_killed_bandit_at_alley_fight|Le marchand vous entraîne dans sa demeure. Une fois à l'intérieur, il surveille la rue pendant un long moment, puis convaincu que personne ne vous a {suivi/suivie}, il tient à ce que vous lui parliez.
str_wounded_by_bandit_at_alley_fight|Vous avez perdu connaissance. Mais avant de sombrer dans l'inconscience, vous avez entendu des cris et des bruits de pas rapides. Vous vous réveillez dans une maison inconnue.
str_cannot_leave_now|Vous ne pouvez pas partir maintenant.
str_press_tab_to_exit_from_town|Appuyez sur Tab pour partir, vous pouvez le faire pour quitter rapidement n'importe quel lieu.
str_find_the_lair_near_s9_and_free_the_brother_of_the_prominent_s10_merchant|Trouvez le repaire des bandits près de {s9}, puis libérez le frère du {s10}.
; str_please_sir_my_lady_go_find_some_volunteers_i_do_not_know_how_much_time_we_have|{reg59?My lady:Sir} -- if you want to justify the trust which I have placed in you, then make a bit of haste. Go find some volunteers. I'm not sure how much time we have.
str_you_need_more_men_sir_my_lady|Attendez, il vous faut plus d'hommes, vous n'en avez pour l'heure que {reg0}. Si vous attaquez avec trop peu de soldats vous finirez {ligoté/ligotée} aux côtés de mon frère. De grâce, ne prenez pas ce risque. Visitez les villages des environs, et trouvez des hommes qui accepteront de vous suivre.
str_good_you_have_enough_men|Bien, maintenant que vous avez suffisamment d'hommes, occupez-vous de quelques-uns de ces voleurs. Et faites en sorte qu'ils vous indiquent où se trouve leur cachette, par tous les moyens.
; str_do_not_waste_time_go_and_learn_where_my_brother_is|Look, {reg59?my lady:sir}. Time is at a bit of premium, here. Now, if you could go find out where they are hiding my brother, that would be appreciated.
; str_start_up_quest_message_1|{s9} told me that I could find answers in {s1}. I need to ask the village elder there, Thonkrik.
; str_start_up_quest_message_2|Thonkrik told me that the jarl of Kennemer, a settlement near Doccinga, might know where Sven Bull Neck is.
str_start_up_quest_message_3|Sauvez le frère du marchand. Il est retenu dans le repaire de bandits situé près de {s9}.
; str_start_up_first_quest|You have taken your first quest. You may view your quest log by pressing 'Q' anytime in the game.^^To leave this (and any other) scene, press the TAB key.
str_reason_1|Notre objectif actuel est d'une plus grande importance.
str_reason_2|Attaquer {s8} mettrait le royaume en péril.
str_reason_3|Nous pensons que {s8} fait face à une menace plus immédiate
str_reason_4|Peut-être en raison du nombre d'ennemis présents dans la région.
str_reason_5|J'ai un mauvais pressentiment...
str_reason_6|Nous ignorons tout de la façon dont la place est défendue.
str_reason_7|Nous pensons que la place est lourdement défendue.
str_reason_8|Nous pensons que la place est relativement bien défendue. 
str_reason_9|Nous pensons que la place est vulnérable.
str_has_decided_that_an_attack_on_|a décidé d'attaquer
str_this_would_be_better_worth_the_effort|Cela devrait valoir la peine, compte tenu de sa valeur, de sa distance et du nombre probable de défenseurs.
; str_has_decided_to_defend_|has decided to defend 
; str_before_going_offensive_we_should_protect_our_lands_if_there_is_any_threat_so_this_can_be_reason_marshal_choosed_defending_s4|Before taking the offensive, we should protect our lands against any threat. This can be the reason why the marshal chose to defend {s4}.
; str_are_you_all_right|Ah -- you're awake. It's good to see that you can still walk. You're lucky, foreigner! Some god has watched over you. When they brought you here, you were more dead than alive.
; str_you_are_awake|Ah -- you're awake. It's good to see that you can still walk. You're lucky, foreigner! Some god has watched over you. When they brought you here, you were more dead than alive.
str_save_town_from_bandits|Sauvez {s9} des bandits.
str_you_fought_well_at_town_fight_survived|Ha ! Bien joué ! J'en ai vu au moins trois tomber sous vos coups. Continuez de vous battre ainsi et vous vous ferez rapidement un nom !
str_you_fought_normal_at_town_fight_survived|Bien joué, vous nous avez débarassé d'un ou deux de ces marauds, et vous ne semblez pas en avoir trop souffert, que demander de plus ?
str_you_fought_bad_at_town_fight_survived|Eh bien, les ennemis sont en fuite, et on dirait que vous êtes toujours debout. Je suppose que c'est le plus important.
; str_you_fought_well_at_town_fight|Ah! You're awake. You took quite a blow, there, but good news! We defeated them, and you did them some real damage before you went down. If you hadn't been here, it could have gone very badly. I'm grateful to you...
str_you_wounded_at_town_fight|Vous êtes vivant! Quel soulagement. Vous avez pris un sacré coup. Je ne suis pas certain que vous-même en ayez vaincu, mais après tout, nous avons gagné, c'est tout ce qui compte.
str_you_fought_well_at_town_fight_survived_answer| Que tous ces scélérats apprennent à craindre le nom de {playername} !
str_you_fought_normal_at_town_fight_survived_answer| Heureux d'avoir pu être utile...
str_you_fought_bad_at_town_fight_survived_answer| En fait, j'étais sur le point d'en achever un, mais j'ai glissé sur une flaque de sang... enfin, vous comprenez...
str_you_fought_well_at_town_fight_answer| Bah, vous savez, si c'est pour la bonne cause...
str_you_wounded_at_town_fight_answer|Vous avez raison, je devrais être plus prudent.
; str_unfortunately_reg0_civilians_wounded_during_fight_more| Unfortunately, about {reg0} of my lads got themselves wounded. I should go look on them.
str_unfortunately_reg0_civilians_wounded_during_fight| Malheureusement, un de mes amis a été gravement blessé. Je devrais allez voir comment il va.
str_also_one_another_good_news_is_any_civilians_did_not_wounded_during_fight| En plus, aucun des nôtres n'a été réellement blessé !
str_merchant_and_you_call_some_townsmen_and_guards_to_get_ready_and_you_get_out_from_tavern|Vous sortez de la taverne. De jeunes hommes nerveux attendent à chaque coin de rue. Vous apercevez des dagues et des gourdins maladroitement cachés sous leurs vêtements. Vous percevez un mélange de peur, d'anxiété mais aussi de la fierté dans les regards qu'ils vous jettent lorsque vous passez près d'eux. Priant que les ennemis n'ait pas repéré ces mouvements fort peu discrets, vous vous préparez à vous battre...
str_town_fight_ended_you_and_citizens_cleaned_town_from_bandits|Les quelques survivants se dispersent, tentant désespérément d'échapper à leurs poursuivants. Vous vous assurez que les blessés soient bien pris en charge, puis vous suivez le marchand jusqu'à chez lui, où vous faites le bilan de l'opération.
; str_town_fight_ended_you_and_citizens_cleaned_town_from_bandits_you_wounded|You fall down with that last blow, unable to move and trying hard not to pass out. Soon the sounds of fighting filling the street gives way to the cheers of the townsmen and you realize with relief that your side won the day. Soon, friendly arms pick you up from the ground and you let yourself drift off to a blissful sleep. Hours later, you wake up in the merchant's house.
; str_seabattle_tutorial|You are the captain of the ship! You have to give commands:^> 'Up' and 'Down' keys to change the rowing speed.^> 'Right' and 'Left' keys to change the rudder direction.^> 'Enter' key to lower or set the sail.^> 'Backspace' key to change your point of view. ^^Don't hold the keys but click them several times to give the command you wish. In the upper right corner, you can see the last command you have given next to other information about the ship.
; str_bodo_animos|Bodo shouts, '{playername}! Fight! I am yet with you!'
; str_journey_to_reyvadin|You have reached Grantebrycge in the land of the East Engle. When you arrive, you see that people look at you with apprehension, and they reach for their weapons.^^Here live the Angles under the rule of Annan Eningen. This land doesn't know peace because the Angles of Mierce invade and destroy, killing people and kings and claiming the country as their own. Annan Ening is a Christian, a good Christian, but he has seen his brothers, kings before him, die under the sword of Penda, king of Mierce, and Annan hungers for revenge.
; str_journey_to_praven|Your steps lead you to the cold North. This country, known as Alt Clut, is big, hard and it has a landscape dominated by forests. Alt Clut is populated by Britons, strong and tough people accustomed to using both the plow and the spear.^^Here rules Bili ap Neithon, a descendant of an ancient lineage. Bili is nearly 50 years old, but he still is a hard and strong man.
; str_journey_to_jelkala|Welcome to Clochair, in the green land of Ireland. You are in the young Kingdom of Airgialla, forged in the heat of the sword when three warlike princes, called the Three Collas, made a conquest of a great part of Ulaid. Airgialla knows only war, because of a constant struggle with the Kingdom of Ulaid.^^In these days, it's ruled by Mael Odhar Caech, arrogant and bellicose. His reputation keeps enemies away, but what will happen when he dies?
