qstr_Breaking_camp...|Lager wird abgebrochen ...
qstr_Your_companions_carr|Eure Gefährten tragen Euch vom Schlachtfeld.
qstr_You_have_defeated_th|Ihr habt den Feind besiegt.
qstr_You_have_retreated_f|Ihr habt Euch aus dem Kampf zurückgezogen.
qstr_^^Ally_Casualties:{s|^^Verluste Verbündete:{s0}
qstr_{s1}_of_the_{s3}_man|{s1} von {s3} schaffte es, zu fliehen.
qstr_Your_party_lost_{reg|Eure Armee verliert {reg1} Moral.
qstr_Your_party_gained_{r|Eure Armee gewinnt {reg1} Moral.
qstr_TEST:_Loot_value_bef|TEST: Beute Wert vor: {reg1} und nachher: {reg2}
qstr_Your_party_gained_{re|Eure Armee hat für die Beute, die Ihr geteilt habt, {reg1} Moral gewonnen.
qstr_Your_party_lost_{reg1|Eure Armee verlor {reg1} Moral, da Eure Truppen denken, dass Ihr zu viel Beute für Euch behalten habt.
qstr_Some_of_your_tendons|Einige Eurer Sehnen trugen im Gefecht Verletzungen davon. Eure Stärke wird um 1 reduziert.
qstr_The_wound_you_took_w|Die Wunde, die zugefügt wurde, war ziemlich unangenehm und führt dazu, dass sie leicht humpeln, selbst nachdem es heilt. Sie verlieren 1 Agilität.
qstr_You_have_trouble_thi|Ihr könnt nach dem Gefecht keinen klaren Gedanken fassen, vielleicht durch einen erlittenen Schlag an den Kopf, und nun werdet Ihr von häufigen Kopfschmerzen geplagt. Eure Intelligenz wird um 1 reduziert.
qstr_Perhaps_I_m_getting_|Vielleicht hat das Glück sich gegen mich gewandt ...
qstr_Retirement_is_starti|Die Aussicht Ruhestand gewinnt langsam an Attraktion.
qstr_No_matter!_I_will_pe|Macht nichts! Ich werde es schaffen!
qstr_What_did_I_do_to_des|Womit habe ich das verdient?
qstr_I_suppose_it_ll_make|Na ja, wenigstens ist es für eine schöne Geschichte gut ...
qstr_Player_retreats_from|Spieler flüchtet aus der Schlacht.
qstr_You_have_{reg22}_hea|Ihr habt {reg22} Stück Vieh hier weiden.
qstr_{s8}_of_the_{s9}|{s8} von {s9}
qstr__As_you_reach_the_se| Als Ihr die Siedlung erreicht, werdet Ihr von Euren Männern begrüßt.
qstr__As_you_reach_the_set|Als Ihr die Siedlung erreicht, werdet Ihr von Männern loyal zu Fürst {s7} begrüßt.
qstr__You_are_greeted_by_| Ihr werdet von Männern begrüßt, die Euch loyal sind.
qstr__You_are_greeted_by_m| Ihr werdet von Männern loyal zu {s7} begrüßt.
; qstr_The_rulers_of_the_re|The rulers of the realms are troubled by your offense against the majesty of your lord.
qstr_You_make_sure_they_s|Ihr stellt sicher, dass sie sehen wie ihr Fürst {s11} durch Eure Armee gefangen gehalten wird.
qstr_The_{reg6?town_s:for|Die Nahrungsvorräte der {reg6?Stadt:Burg} sollten noch für weitere {reg3} Tage reichen.
qstr_The_{reg6?town_s:fort|Die Nahrungsvorräte der {reg6?Stadt:Burg} sind erschöpft, und die Verteidiger hungern.
; qstr_>>Your_men_are_build|>>Your men are building checkpoints and small camps around {s4} to prevent anyone from going in or out.^^
; qstr_>>Your_perimeter_con|>>Your perimeter control is ready. You have set a perimeter for surveillance around {s4}. No one can enter or leave without the knowledge of your men.^This will be beneficial especially when you have to negotiate the surrender of the castle with its commander.^^
qstr_>>Your_men_are_ready|>> Eure Männer sind bereit zum Angriff. ^ ^
; qstr_>>As_a_disciplined_a|>>As a disciplined army, your men have made latrines, pipelines, and a pond for their weekly bath. A healthy camp prevents disease.^^
; qstr_>>Your_men_have_fini|>>Your men have finished building mantlets. Now you can use them to protect your soldiers in the vanguard attack, and your main force for the final charge.^^
; qstr_>>Your_men_have_finis|>>Your men have finished making scaling equipment.^^
; qstr_>>Your_attempt_to_fi|>>Your attempt to find a traitor in the settlement has failed.^^
; qstr_>>You_have_found_a_t|>>You have found a traitor within {s7} that has supported your efforts to conquer it. This will make it more receptive to surrendering.^^
; qstr_>>Your_attempt_to_ha|>>Your attempt to have your men infiltrate {s4} has failed.^^
; qstr_>>Your_men_have_succ|>>Your men have succeeded in infiltrating {s4} and damaging the enemy.^^
; qstr_>>You_ve_managed_to_|>>You've managed to pillage the crops and farms nearby.^^
qstr_>>You_have_sent_men_|>> Ihr habt Männer ausgesendet um einen Verräter in {s4} zu finden. ^^
; qstr_>>You_have_found_a_tr|>>You have found a traitor within {s4} that has supported your efforts to conquer it. This will render it more receptive to surrendering.^^
; qstr_>>Your_men_are_takin|>>Your men are taking crops and ransacking farms close to {s4} on your orders. This will render it more receptive to surrendering.^^
qstr_>>You_have_sent_men_t|>> Ihr habt Männer ausgesendet um {s4} zu infiltrieren. ^^
; qstr_>>Your_camp_smells_h|>>Your camp smells horrible. The ground is muddy, your men defecate between tents, and you see rats running here and there.^^
; qstr_>>As_a_disciplined_ar|>>As a disciplined army, your men have made latrines, pipelines and a pond for their weekly bath. A healthy camp prevents disease.^^
; qstr_>>Your_men_are_diggi|>>Your men are digging holes for latrines and taking other measures to prevent disease.^^
qstr_You_need_to_have_more|Ihr braucht mehr als 250 Männer für diese Arbeit.
; qstr_You_need_to_have_at_|You need to have at least 40 men in order to assign some of them to finding a traitor.
; qstr_You_need_more_than_3|You need more than 30 men, or sending some will leave your camp somewhat unprotected.
qstr_You_need_to_have_more_|Ihr braucht mehr als 10 Männer um diese Arbeit zu erledigen.
qstr_You_need_to_have_more_t|Ihr baucht mehr als 80 Männer um dies zu tun.
; qstr_>>The_assault_equipm|>>The assault equipment is ready. The troops await your orders.^^
; qstr_>>You_look_at_{s4}._|>>You look at {s4}. Your men are silent while they await your order to attack. Your muscles are tense, hot for battle, but your mind is cold and adrenaline fills your veins^A man breathes deeply. 'Do you smell that?' he asks, 'That is the scent of glory.' 'Are you ready to seize it?'^^
; qstr_>>The_steel_of_the_w|>>The steel of the weapons glitters, banners sway in the wind and horns sound. The men whisper, many pray, ingratiate themselves with their god before facing the end of their lives. Up ahead there are only two things: victory or death.^War ... war never changes.^^
; qstr_>>Winter_is_the_wors|>>Winter is the worst time to fight, but there you are in the cold months, ready to undertake the conquest of {s4}. Many people think you're a daredevil, others a madman. But no one knows that someday you will be Brytenwalda.^^
; qstr_>>It_s_summer_and_ho|>>It's summer and hot -- maybe too hot -- but, at that moment, you do not feel anything. As always before a battle, you set aside time for a few inevitable memories of the past... Then you close your mind and ready it for battle, preparing for even the worst case -- death.^^
; qstr_>>You_look_at_{s4}._Y|>>You look at {s4}. Your men are silent while waiting for your order to charge towards death. Your muscles are tense, hot for battle, your mind cold and adrenaline fills your veins^A man breathes deeply. 'Do you smell that?' he asks, 'That is the scent of glory.' 'Are you ready to seize it?'^^
; qstr_>>Your_men_have_finish|>>Your men have finished building the mantlets. Now you can use them to protect your soldiers in the vanguard attack, and your main force for the final charge.^^
; qstr_>>Your_men_are_buildi|>>Your men are building mantlets.^^
; qstr_>>Your_men_have_finishe|>>Your men have finished building the ladders.^^
; qstr_>>Your_men_are_buildin|>>Your men are building assault ladders.^^
qstr_{s4}_lost_between_40|{s4} hat zwischen 40 und 50% seiner Nahrungsmittelreserven verloren.
qstr_{s4}_lost_between_50|{s4} hat zwischen 50 und 60% seiner Nahrungsmittelreserven verloren.
qstr_{s4}_lost_between_30|{s4} hat zwischen 30 und 40% seiner Nahrungsmittelreserven verloren.
qstr_{s4}_lost_between_10|{s4} hat zwischen 10 und 20% seiner Nahrungsmittelreserven verloren.
; qstr_{s4}_have_between_10|{s4} have between 10 and 30% of its garrison sick for a few days.
; qstr_It_should_have_food_|It should have food stocks for {reg6} days.^The garrison has {reg5} men.
; qstr_^^The_following_armi|^^The following armies are currently inside:
qstr_^{s3}_with_{reg1}_tr|^{s3} mit {reg1} Truppen.
; qstr_^^Commander_this_tow|^^Commander, this town is one big rock. Many before us have fled the place before a single blow was exchanged, so we must keep morale up among the men. The path to the main gate is formidably narrow and steep, but if we set up the camp and build a battering ram, we can break down the wall at the back entrance of the town. When the wall is down, we can charge in without losing breath. The steps up to the town center are fewer there.
; qstr_^^Alt_Clut_the_rock_|^^Alt Clut, the rock high over the Clyde. This is the mightiest fortress of the northern Britons. Nobody has ever taken it by siege in your day. Controlling the mouth of the Clyde, it was where King Riderch Hael fought the Bernicians and the Picts.
; qstr_^^This_formidable_st|^^This formidable stronghold is the jewel of the Dumnonian kingdom. Here many ships from Mediterannea arrive full of wine and luxuries. Legend says the warlord, Arthur, was born here.
; qstr_^^Dun_Taruo_the_fort|^^Dun Taruo, the fortress of the bull. This place seems like the work of giants, and for centuries, the Picts have known its reputation.
; qstr_^^The_seat_of_the_br|^^The seat of the brave Goutodin warriors. From here, they launched their attacks against the Bernicians, and their heroic end will never be forgotten. You can almost smell their courage from here, even though Goutodin disappeared long ago.
qstr_^^This_place_is_just|^^Dieser Ort wartet nur darauf, von euch erobert zu werden.
qstr_As_a_last_defensive_|Als letzte Verteidigungsanstrengung zieht Ihr Euch in die Haupthalle des Burgfrieds zurück. Ihr und Eure verbleibenden Soldaten werden hier das letzte, verzweifelte Aufgebot stellen. Wenn Ihr besiegt werdet, könnt Ihr Euch nirgends zurückziehen.
qstr_You_ve_been_driven_a|Man hat Euch von den Mauern fortgetrieben. Jetzt strömen die Angreifer in die Straßen. Wenn Ihr sie niederringen könnt, wird sich Euer Glück vielleicht wenden.
qstr_You_ve_breached_the_|Ihr habt die Stadtmauern durchbrochen, doch die trotzigen Verteidiger stellen sich nun Euch in den Straßen entgegen! Ihr müsst sie loswerden, bevor Ihr das Herz der Stadt angreifen könnt.
qstr_The_town_centre_is_y|Das Stadtzentrum ist Euer, aber die verbleibenden Verteidiger haben sich in die Burg zurückgezogen. Sie muss fallen, bevor der Sieg wahrlich Euer ist.
qstr_The_remaining_defend|Die übrig gebliebenen Verteidiger haben sich zu einem letzten Gefecht in die Burg zurückgezogen. Ihr müsst eindringen und jeden noch verbleibenden Widerstand zerschmettern.
qstr_However_since_you_ar|Doch da Ihr keiner der eingeschworenen Gefolgsleute von {s9} seid, wird er Euch nicht als {Fürst/Fürstin} dieser {reg8?Stadt:Burg} erkennen.
qstr_The_enemy_has_been_f|Der Feind wurde zum Rückzug gezwungen. Der Angriff ist vorbei, doch die Belagerung hält an.
qstr_As_you_approach_you_|Als Ihr Euch nähert, werdet Ihr von den Burgwachen entdeckt, die Euch willkommen heißen und die Tore für {ihren König/ihre Königin} öffnen.
qstr_As_you_approach_you_a|Als Ihr Euch nähert, werdet Ihr von den Burgwachen entdeckt, die Euch willkommen heißen und die Tore für {ihren Fürst/ihre Fürstin} öffnen.
qstr_^Christians_aren_t_w|^Christen sind hier nicht willkommen.
qstr_^Christians_are_acce|^Christen werden hier akzeptiert.
qstr_^Christians_are_in_t|^Christen sind hier die Mehrheit.
qstr_^Christians_are_domi|^Die meisten Leute hier sind Christen.
qstr_^This_village_is_a_b|^Dieses Dorf ist ein Bollwerk Eures Glaubens.
; qstr_^Rumor_has_it_that_C|^Rumor has it that Christian faith is nothing more than a veil, and the population continues to worship pagan gods...
qstr_^Pagans_aren_t_welco|^Heiden sind hier nicht willkommen.
qstr_^Pagans_are_accepted|^Heiden werden hier akzeptiert.
qstr_^Pagans_are_in_the_m|^Heiden sind hier die Mehrheit.
qstr_^Pagans_are_dominant|^Die meisten Leute hier sind Heiden.
; qstr_^Rumor_has_it_that_o|^Rumor has it that old pagan gods are being forgotten in favour of Christendom.
qstr_This_village_and_the|Das Dorf und die umliegenden Ländereien gehören Euch.
qstr_You_remember_that_th|Ihr erinnert Euch, dass dieses Dorf und die umliegenden Ländereien {s7} gehören.
qstr_These_lands_belong_t|Diese Länder gehören zu niemandem.
qstr_The_village_is_infes|Das Dorf ist von {reg8} {s35} besetzt.
qstr_The_village_has_been|Das Dorf wurde geplündert. Eine Handvoll Seelen zerstreuen sich, als Ihr durch die ausgebrannten Häuser lauft.
qstr_The_village_is_being|Das Dorf wird überfallen.
qstr_{s10}_{s12}^{s11}{s6|{s10} {s12}^{s11}{s6}{s7}{s15}
qstr_No_one_here_seems_to|Niemand hier scheint gewillt zu sein, sich Eurem Trupp anzuschließen.
qstr_Try_as_you_might_you|Ihr schafft einfach nicht, die Banditen niederzuringen. Voller Wut machen sie das Dorf dem Erdboden gleich, um die Bauern zu strafen, und lassen dann die brennende Ödnis hinter sich, um frisches Plündergut zu suchen.
qstr_castle|Burg
qstr_The_{s17}_has_no_imp|{s17} hat keine Verbesserungen.
qstr_The_{s17}_has_the_fo|{s17} hat die folgenden Verbesserungen:{s18}.
; qstr___Christian_riots_co| (Christian riots could cause: {reg33} relations drop)
; qstr___Pagan_riots_could_| (Pagan riots could cause: {reg33} relations drop)
; qstr_Your_enemies_beat_yo|Your enemies beat you down and leave you for dead.
qstr_You_have_fallen._You|Ihr seid gefallen. Die Banditen fleddern Euch gründlich und verschwinden dann in der Nacht. Ihr habt Euch am Leben gelassen ... gerade so.
qstr_Luckily_some_of_your|Glücklicherweise kommen einige Eurer Gefährten auf der Suche nach Euch des Weges und finden Euch am Straßenrand liegend. Rasch bringen sie Euch in Sicherheit und verarzten Eure Wunden.
qstr_Luckily_some_passing|Glücklicherweise kommen einige Städter des Weges, sehen Euch am Straßenrand liegen, und erkennen, dass Ihr mehr als ein lumpiger Bettler seid. Sie tragen Euch zur nächsten Herberge und verarzten Eure Wunden.
; qstr_Going_through_the_ba|Going through the bandits' purses, you discover a dirty torn piece of vellum with the word 'kill' and a portion of your name still visible. Turning the vellum over, you see the scribbles 'Meet me in {s3}.'
qstr_Your_efforts_prove_s|Ihre Bemühungen erweisen sich als erfolgreich und einige Menschen haben ihre Meinung geändert.
qstr_Your_efforts_to_conv|Eure Bemühungen Menschen zu konvertieren, sind kläglich gescheitert.
qstr_You_fail_to_steal_an|Euer Viehdiebstahl schlägt fehl.
qstr_You_drive_away_{reg1|Ihr treibt {reg17} Stück Vieh aus der Dorfherde fort.
; qstr_People_aren_t_very_h|People aren't very happy with your presence in their home.
qstr_^This_town_is_a_bast|^Diese Stadt ist ein Bollwerk Eures Glaubens.
qstr__As_you_reach_the_sett| Als Ihr die Siedlung erreicht, werdet Ihr von Euren Männern begrüßt.^{s15}
qstr_{s11}^{s15}|{s11}^{s15}
qstr__As_you_reach_the_settl| Als Ihr die Siedlung erreicht, werdet Ihr von Männern loyal zu Fürst {s7} begrüßt.^{s15}
qstr__This_fort_seems_to_| Diese Festung scheint niemandem zu gehören.^{s15}
qstr_You_are_greeted_by_m| Ihr werdet von Männern begrüßt, die Euch loyal sind.^{s15}
qstr_You_are_greeted_by_me| Ihr werdet von Männern loyal zu {s7} begrüßt.^{s15}
qstr__This_town_seems_to_|Diese Stadt scheint niemandem zu gehören.^{s15}
qstr__You_have_successful|Ihr seid erfolgreich hineingeschlichen.
qstr_{s13}_A_tournament_w|{s13} Hier wird bald ein Turnier abgehalten.
qstr_{s10}_{s14}^{s11}{s1|{s10} {s14}^{s11}{s12}{s13}
qstr_An_expensive_horse_i|Ein teures Pferd wird Euch für Euren Sieg verliehen.
qstr_A_fat_cow_is_awarded|Eine fette Kuh wird Euch für Euren Sieg verliehen.
; qstr_You_are_given_a_beau|You are given a beautiful shirt of mail adorned with a pelt, as befits a mighty warlord.
qstr_They_give_you_a_fine|Sie geben Euch ein feines Schwert, eines Adligen würdig.
qstr_They_appreciate_your|Sie würdigen Eure Teilnahme am Turnier und legen einen Lorbeerkranz auf Euren Kopf.
qstr_Moreover_you_earn_{r|Außerdem gewinnt Ihr {reg8} Pfennige aus den Wetten, in denen Ihr schlauerweise auf Euch selbst gewettet habt ...
qstr_Victory_is_yours!_Yo|Der Sieg ist Eurer! Ihr habt diesen Nahkampf gewonnen, aber nun müsst Ihr Euch auf die nächste Runde vorbereiten.
qstr_You_have_been_bested|Aus diesem Nahkampf seid Ihr nicht als Sieger hervorgegangen, aber der Zeremonienmeister erklärt eine ehrenvolle Anerkennung Eurer Fähigkeiten und Tapferkeit und erlaubt Euch, an der nächsten Runde teilzunehmen.
qstr_You_were_beaten._The|Ihr wurdet geschlagen. Ihr Erfolg hat die Bauern ermutigt, aber die Lektion, die Ihr ihnen erteilen wolltet, ist wohl noch nicht so recht durchgedrungen ...
qstr_After_beating_your_l|Nachdem Ihr Euren letzten Gegner geschlagen hab, erklärt Ihr den Bauern, wie sie sich gegen einen solchen Angriff besser verteidigen können. Hoffentlich nehmen sie sich diese Erfahrung zu Herzen und werden beim nächsten Mal vorbereitet sein.
qstr_The_bandits_are_brok|Die Banditen sind geschlagen! Die wenigen bei Leben und Bewusstsein gebliebenen ergreifen in Todesfurcht vor den Bauern und ihrem neuen Champion das Hasenpanier.
; qstr_Can_t_merge_both_fle|Can't merge both fleets because your sea-king skill isn't high enough.
qstr_Can_t_merge_both_flee|Kann beide Flotten nicht zusammenlegen, da das Flottenlimit von 7 Schiffen sonst überschritten wird.
qstr_Fleets_merged.|Flotten zusammenlegt.
qstr_The_trader_you_are_e|Der Händler, den Sie eskortieren, möchte keine Fähre benutzen.
qstr_The_ferry_station_is|Die Fährstation ist zu klein und kann keinen Marschall mit seiner ganzen Armee transportieren.
qstr_You_can_t_enter_the_|Ihr könnt den Hafen nicht betreten, weil sie in dieser Stadt nicht willkommen sind.
; qstr_You_can_t_enter_the_p|You can't enter the port because you are not welcome in this town. Moreover, this town can't be attacked from its sea side.
; qstr_You_can_t_enter_the_po|You can't enter the port. You already have a fleet in the port and your sea-king skill isn't high enough to merge both fleets.
qstr_You_can_t_enter_the_por|Ihr könnt den Hafen nicht betreten. Ihr habt bereits eine Flotte im Hafen und beide Flotten können nicht zusammengeführt werden, da dies das Limit von sieben Schiffen in der Flotte überschreiten würde.
qstr_You_already_have_a_f|Ihr habt bereits eine Flotte im Hafen. Möchtet Ihr beide Flotten zusammenführen?
qstr_Number_of_Sailors:_{|Anzahl der Matrosen: {reg5}^Geschwindigkeit durch Matrosen: {reg6}
qstr_Unfortunately_{reg3?|Leider {reg3?seid Ihr:ist {s1}} nicht in der Lage, irgendwelche Handelswaren zu finden, die einen Gewinn bringen würden.
qstr_^Buying_{s4}_here_an|^Kaufte man {s4} hier und veräußerte es in {s5}, so brächte es einen Profit von {reg6} Pfennige pro Stück ein.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?Ihr findet:{s1} findet} das Folgende heraus:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} gewann {reg0} an Erfahrung.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} gewann zusätzliche {reg0} Erfahrung.
qstr_^You_earned_{reg0}_e|^Ihr gewannt {reg0} an Erfahrung.{s2}
qstr_The_training_didn_t_|Diese Übung verlief gar nicht gut.
qstr_The_training_didn_t_g|Diese Übung verlief nicht so gut.
qstr_The_training_went_qu|Diese Übung verlief recht gut.
qstr_The_training_went_ve|Diese Übung verlief sehr gut.
qstr_The_training_went_pe|Diese Übung verlief perfekt.
; qstr_You_fall_on_the_grou|You fall on the ground with multiple injuries. Each time your heart beats more slowly and your vision fades away... This battle was too much for you, and death rides to meet you.^^While life escapes, you hope that someone will just remember that there was once someone special called {playername}.
qstr_After_losing_the_sea|Nachdem Ihr die Seeschlacht verloren habt, schafft Ihr es mit einem Eurer Schiffe zu entkommen.
qstr_Your_enemies_take_yo|Eure Feinde nehmen Euch gefangen.
qstr_{s13}_asked_you_to_r|{s13} bat Euch, sich bei ihm mit mindestens {reg13} Truppen zu melden.
qstr_{s13}_ordered_you_to|{s13} befahl Euch, Euch dem Angriff gegen {s14} anzuschließen.
; qstr_Kingdom_Fails_to_Res|Kingdom Fails to Respond: The {s1} has not responded to the {s2}'s provocations, and {s3} suffers a loss of face among {reg4?her:his} more bellicose subjects...
qstr_There_has_been_an_al|Es hat bei {s9} einen vermeintlichen Grenzzwischenfall gegeben.
qstr_There_has_been_an_all|Nach einem angeblichen Grenzzwischenfall: Die Leute von {s4} erwägen Krieg gegen {s3}.
; qstr_Border_incident:_Wor|Border incident: Word reaches you that {s9}. Though you don't know whether or not the rumors are true, you do know one thing -- this seemingly minor incident has raised passions among the people of the {s4}, making it easier for them to go to war against the {s3}...
; qstr_The_great_lords_of_y|The great lords of your kingdom plan to gather at the great hall of {s15} in {s10} for a feast
qstr_^{s64}^|^{s64}^
; qstr_^^Note_that_as_long_|^^Note that as long as you remain marshal, the lords of the realm will be expecting you to lead them on campaign. So, if you are awaiting a feast, either for a wedding or for other purposes, you may wish to resign the marshalship by speaking to your liege.
; qstr_Strange..._You_ve_be|Strange... You've been asleep, but you can't remember any nightmares. What you remember clearly are Viking warriors boarding the Woden Ric, plunging their weapons into the bodies of the captain and sailors, and Bodo, the Cantabrian, defending himself like a lion until cornered. You hear his words in your consciousness, '{playername}! Fight! I am yet with you!'^^You remember the death -- your death -- when your enemies fell upon you. You still feel the wooden floor of the boat smash into your cheek before you could hardly breathe a goodbye to the world. Your eyes met your mother's, just before the end, as a huge Viking, dressed in iron -- could he be Sven? -- cracked her head with his spear and threw her body to the side.^^You crawled, leaving a trail of blood, preferring to give your body to the fish, but you remember no more.^^Are you dead? But if you're dead, why do you feel the sore muscles of your body, or the heat from a nearby fire? How is it that you can clench your hands, open your eyes and distinguish the beams of a roof over you?^^And if you're alive, who has saved you, why and how?
qstr_It_is_night_and_the_|Es ist Nacht und im Kloster scheint es ruhig zu sein.
qstr_The_monks_bless_you_|Die Mönche segnen Euch und Ihr geht Euren Weg weiter.
qstr_You_don_t_have_enough_|Ihr habt nicht genug Silber. Wie peinlich!
qstr_You_need_to_have_more_m|Sie müssen mehr Männer dafür haben.
qstr_It_is_night_and_the_h|Es ist Nacht, der Hof scheint ruhig zu sein.
qstr_The_gothi_has_sacrif|Der Schamane hat hat Tiere geopfert, um die Götter in Eurem Namen zu besänftigen.
qstr_You_are_now_a_pagan_a|Ihr seid jetzt ein Heide, ein Anhänger von Odin und anderen den nordischen Göttern.
qstr_The_majority_of_your|Der Großteil Eurer Truppen ist Heidnisch und unterstützt Eure Aktionen.
qstr_The_majority_of_your_|Der Großteil Eurer Truppen ist Christlich und hasst Eure Aktionen.
qstr_In_the_arms_of_the_d|In den Armen des toten Abts finden Eure Männer: "Der Schlachtruf von Colum Cille."
qstr_The_majority_of_your_t|Der Großteil Eurer Truppen sind Christlich und unterstützen Eure Aktionen.
qstr_The_majority_of_your_tr|Der Großteil Eurer Truppen sind Heidnisch und hassen Eure Aktionen.
qstr_{s3}_is_in_danger._S|{s3} ist in Gefahr. Rettet das Dorf vor Sven Stiernackens Angriff, bevor das Dorf zerstört wird! Ihr benötigt eine gute Menge an Truppen, um den Wikinger-Angriff abzuwehren!
qstr_Return_to_{s3}_and_i|Kehrt nach {s3} zurück und verhört den Gefangenen.
qstr_Return_when_you_have|Kommt wieder wenn ihr 55 oder mehr Männer in eure Armee habt.
qstr_You_have_saved_{s3}.|Ihr habt {s3} gerettet. Vielleicht ist jetzt ein guter Zeitpunkt, um {s9} nach seiner Beziehung zu Sven zu fragen.
qstr_{s9}_did_not_come_to|{s9} kam nicht zur Hilfe von {s3}. Thonkrik vermutet, das der Jarl mit Sven Stiernacken verbündet ist. Vielleicht ist es an der Zeit, mit ihm zu reden, oder Ihr wendet Euch direkt an den König, um ihm von {s9}s Verrat zu berichten.
qstr_Loot_Thiaderd_s_camp|Plündert Thiaderd's  Lager.
; qstr_Ahead_in_a_small_cam|Ahead, in a small camp, there are some women and children, the families of the rebels. They look scared, not knowing where to flee.^^Among these people are the wife and son of Thiaderd. It is a difficult choice. Maybe they will seek revenge in the future, but they aren't warriors.
; qstr_A_small_camp_stands_|A small camp stands next to a river. You see women and children between the cottages, watching warily. A number of men, few in number but with an aggressive demeanor, come to meet you. A very tall man leads them.
qstr_Note_2:_You_chose_to|Anmerkung 2: Ihr habt euch entschieden Thiaderd's Frau und Sohn zu töten.
qstr_Thiaderd_is_dead._Yo|Thiaderd ist tot. Ihr habt eure Mission erfüllt.
qstr_Note_2:_You_chose_to_|Anmerkung 2: Ihr habt euch entschieden dasLeben von Thiaderd's Frau und Sohn zu respektieren.
qstr_Note_2:_You_chose_to_l|Anmerkung 2: Ihr habt euch entschieden Thiaderd's Frau und Sohn am Leben zu lassen.
qstr_You_need_room_for_at|Ihr benötigt Platz für mindestens ein weiteres Mitglied in Eurer Armee um fortzufahren!
; qstr_Note_2:_In_Sven_s_hi|Note 2: In Sven's hideout, you found Bodo, one of the travelers from the Woden Ric. Thanks to Bodo, you learn the fate of Woden Ric after the Viking attack. Your mother is still alive, thanks to the item Bodo gave her, but the item made her very valuable to the Vikings.
qstr_Return_when_you_have_|Kommt zurück, wenn Ihr 30 Mann oder weniger in Eurer Armee habt.
qstr_You_think_of_Thora_w|Ihr denkt an Thora, die Euch jeden Abend besucht, eine schöne Frau, die Euch viele Kinder schenken könnte.
qstr_You_think_of_Thora_wh|Ihr denkt an Thora, die Egil jeden Abend besucht. Sie ist eine schöne Frau, die von ihrem Vater beschützt wird. Sie muss sich um nichts anderes sorgen, als zufrieden zu sein.
qstr_You_think_of_Thora_a|Ihr denkt an Thora, eine schöne Frau, die von ihrem Vater beschützt wird. Sie muss sich um nichts anderes sorgen, als zufrieden zu sein.
; qstr_One_of_the_greatest_|One of the greatest battles known between West Seaxe and the Danes was fought here. You have memories of that day, because you took part in it.
qstr_This_place_destroyed|Dieser Ort, zerstört von euren Männern ist nichts weiter als Asche und Schutt.
qstr_Garrison:_{reg5}__li|Garnison: {reg5} (Grenzwert: {reg0})^^ Eure Männer, den Unterschlupf oder Burgen und Städte bemannen zu lassen, ermöglicht es ihnen, weg von den Gefahren der Straße und des Kampfes zu Rasten, und reduziert ihre Unterhaltskosten.
qstr_You_need_to_hire_a_c|Sie müssen zuerst einen Koch mieten.
qstr_It_is_night_and_your|Es ist Nacht, und Euer Unterschlupf wirkt ruhig, mit einigen Männern die Wache halten, während andere schlafen.
qstr_Your_garrison_size_e|Eure Garnisonsgröße überschreitet die maximal zulässige Anzahl von Soldaten, die in Eurem Unterschlupf stationiert werden können. Das erzeugt Unzufriedenheit bei den Männern und Desertion!
qstr_Garrison_limit:_{reg|Garnisions Limit: {reg0}
qstr_The_ramshackle_priso|Das baufällige Gefängnis in Eurem Unterschlupf ist nicht sehr sicher. Euer Hauptmann empfiehlt Euch Adelige hier nicht festzuhalten!
qstr_You_do_not_have_enoug|Ihr habt nicht genug Geld, um Männer dafür zu bezahlen Euren Unterschlupf zu zerstören.
qstr_Refuge_demolished!|Unterschlupf abgerissen!
qstr_Your_men_think_you_v|Eure Männer denken, dass es ehrenwert von Euch war, für Egils Bestattungskosten aufzukommen, obwohl er sich gegen Euch gewendet hat.
qstr_Note_Egil:_Egil_turn|Hinweis Egil: Egil wandte sich gegen Euch als Ihr Euch dazu entschieden habt, den Brief den West Sachsen zu geben. Er griff Euch an, und Ihr musstet ihn töten. Da er von allen gemocht wurde, habt Ihr beschlossen für seine Beerdigung zu zahlen und daran teilzunehmen.
qstr_Your_men_think_you_ve|Eure Männer denken, dass es ehrenvoll von Euch war, für Egils Bestattungskosten aufzukommen, obwohl er sich Euch gewendet hat.
qstr_Message|Nachricht
qstr_Your_men_cry_for_Egi|Eure Männer betrauern Egils Verrat, und sie beklagen seinen Tod. Viele von ihnen mochten ihn; einige hätten ihn als Anführer gemocht.
qstr_Note_Egil:_Egil_turne|Hinweis Egil: Egil wandte sich gegen Euch als Ihr Euch dazu entschieden habt, den Brief den West Sachsen zu geben. Er griff Euch an, und Ihr musstet ihn töten. Ihr lasst ihn von Euren Männer begraben.
qstr_Your_men_cry_for_Egil|Eure Männer betrauern Egils Tod, aber sie gehorchen Euren Befehlen. Jetzt denken sie, Ihr seid ein starker Anführer, der Verrätern nicht vergibt.
