str_yes|Ja.
str_they_say_that_s9_has_run_away_with_s11_causing_her_family_much_grievance|Man sagt, {s9} sei mit {s11} fortgelaufen, sehr zum Kummer ihrer Familie.
str_they_say_that_s9_and_s11_have_wed|Man sagt, {s9} und {s11} haben geheiratet.
str_they_say_that_s9_was_recently_visited_by_s11_who_knows_where_that_might_lead|Man sagt, {s9} habe kürzlich Besuch von {s11} bekommen. Wer weiß, wohin das führen wird!
str_there_is_not_much_to_tell_but_it_is_still_early_in_the_season|Genaues kann man nicht sagen, aber es ist noch früh in der Saison
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_but_it_has_been_going_on_for_a_couple_of_days_and_is_about_to_end_|{s12}Ein Gelage der {s3} ist in {s4} im Verlaufe, aber es ist schon seit einigen Tagen im Gange und endet bald. 
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_should_last_for_at_least_another_day_|{s12}Ein Gelage der {s3} ist in {s4} im Verlaufe, das mindestens noch einen Tag dauern wird. 
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_has_only_just_begun_|{s12}Ein Gelage der {s3} ist in {s4} im Verlaufe, das gerade erst begann. 
str_not_at_this_time_no|Zur Zeit nicht, nein.
str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|{s12}Die großen Fürsten bringen ihre Töchter und Schwestern zum Sehen und Gesehenwerden zu diesen Festlichkeiten, denn diese sind eine exzellente Gelegenheit, mit Damen Bekanntschaft zu machen.
str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_calradia|Ihr werdet nicht enttäuscht sein, {reg59?meine Dame:Herr}. Ihr werdet im ganzen Land keine besseren Krieger finden.
str_your_excellency|Euer Gnaden
str_s10_and_s11|{s10} und {s11}
str_your_loyal_subjects|Eure loyalen Untertanen
str_loyal_subjects_of_s10|loyale Untertanen von {s10}
str_the|die
str_we|wir
str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|Findet und schlagt {s7}; dies wird den Ruf nach Krieg innerhalb der {s11} verstummen lassen.
str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|Findet die {s9}, die Reisende nahe {s8} angriffen, und meldet Euch dann wieder in der Stadt.
str_do_you_wish_to_award_it_to_one_of_your_vassals|Möchtet Ihr sie einem Eurer Vasallen geben?
str_who_do_you_wish_to_give_it_to|Wem möchtet Ihr sie geben?
str_sire_my_lady_we_have_taken_s1_s2|{Herr/Herrin}, wir haben {s1} erobert. {s2}
str_s12i_want_to_have_s1_for_myself|{s12}Ich verlange {s1} für mich selbst. {s2}
str_fiefs_s0|(Lehen: {s0})
str_production_setting_buy_from_market|Wir kaufen Rohstoffe vom Markt.
str_production_setting_buy_from_inventory|Wir nutzen nur Rohstoffe aus unserem Lager.
str_production_setting_produce_to_inventory|Wir Lagern unsere Produktion ein.
str_production_setting_produce_to_market|Wir verkaufen unsere Produktion direkt in das Lager.
str_feast_quest_expired|Ihr konntet das Gelage nicht wie geplant abhalten. Höchstwahrscheinlich sind wichtige Feldzüge Eurer Fraktion oder andere Ereignisse dazwischen gekommen. Wenn Ihr wollt, könnt Ihr noch einmal versuchen, das Gelage abzuhalten.
str_amber_riverbeds|Strände und Flussbette mit Bernstein
str_hunting_forests|Jagd Wälder und Fleisch Räucherkammern
str_acres_flax|Morgen Flachsfelder
str_enterprise_enemy_realm|{reg59?Meine Dame:Herr}, Ihr seid ein Feind dieses Reiches. Wir können Euch nicht gestatten, hier Land zu erwerben.
str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|Ihr beabsichtigt, {s14} im Auftrag von {s12} {s13} gegenüber zu beschuldigen.
str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|Ihr beabsichtigt {s14} von Angesicht zu Angesicht öffentlich zu beschuldigen, im Auftrag von {s12}
str_you_intend_to_bring_gift_for_s14|Ihr beabsichtigt, Samt und Felle zu {s12} zu bringen, damit {reg4?sie:er} einen Versöhnungsversuch mit {s14} versuchen kann.
str_we_will_gather_the_army_but_not_ride_until_we_have_an_objective|Wir werden die Armee versammeln, aber nicht zu Felde ziehen, bevor wir ein Ziel haben.
str_we_shall_lay_siege_to_an_easy_fortress_to_capture|Wir konzentrieren unsere Truppen auf ihre schwächste Festung.
str_we_shall_strike_at_the_heart_of_our_foe_and_seize_the_fortress_of_s14|Wir wollen ihnen einen Schlag versetzen, der maximalen Schaden anrichtet.
str_we_shall_take_the_fortress_of_s14_which_appears_easily_defensible|Wir wollen eine Festung erobern, die wir mit Leichtigkeit verteidigen können.
str_we_shall_cut_a_fiery_trail_through_their_richest_lands_to_draw_them_out_to_battle|Wir werden ihre reichsten Ländereien verheeren, um sie zur offenen Schlacht zu zwingen.
str_strategy_criticism_rash|Ich finde, diese Strategie ist überstürzt und setzt unsere Truppen unnötigen Gefahren aus.
str_strategy_criticism_cautious|Ich finde, diese Strategie ist übervorsichtig und wird dazu führen, dass wir unsere Truppen durch Langeweile verlieren und keinen Erfolg haben.
str_tavernkeeper_invalid_quest| Ich hatte irgendein Geschäft zu erledigen, aber ich kann mich nicht mehr an die Details erinnern.
str_faction_title_male_player|Konungr {s0}
str_faction_title_male_1|Jarl {s0}
str_faction_title_male_2|Hersir {s0}
str_faction_title_male_3|Cyning {s0}
str_faction_title_male_4|Aldermann {s0}
str_faction_title_male_5|Dryhten {s0}
str_faction_title_male_6|Ri {s0}
str_faction_title_female_player|Guledic {s0}
str_faction_title_female_1|Tiern {s0}
str_faction_title_female_2|Ruire {s0}
str_faction_title_female_3|Tiarna {s0}
str_faction_title_female_4|Mael {s0}
str_faction_title_female_5|Dux {s0}
str_faction_title_female_6|Kriegsherr {s0}
str_name_kingdom_text|Wie soll der Name Eures Königreichs lauten?
str_default_kingdom_name|Königreich {s0}
str_lord_defects_ordinary|Abtrünniger Fürst^^{s1} hat den {s3} die Treue aufgekündigt und sich den {s2} angeschlossen.
str_lord_defects_player|Abtrünniger Fürst^^{s1} hat den {s3} die Treue aufgekündigt und sich vorläufig Eurem Königreich angeschlossen. Ihr könnt zu Eurem Hof gehen und dort den Treueschwur empfangen.
str_lord_defects_player_faction|Abtrünniger Fürst^^{s1} hat den {s3} die Treue aufgekündigt und sich vorläufig Eurem Königreich angeschlossen. Ihr könnt zu Eurem Hof gehen und dort den Treueschwur empfangen.
str_lord_indicted_player_faction|Auf Befehl von {s6} hin wurde {s4} von {s5} des Verrats angeklagt und sämtlicher Besitztümer entledigt. {reg4?Sie:Er} ist auf der Flucht – und möchte sich Eurem Königreich anschließen. Wenn Ihr diesem Gesuch stattgeben möchtet, könnt Ihr den Treueschwur an Eurem Hof empfangen}
str_lord_indicted_dialog_approach|Seid gegrüßt, {mein Fürst/meine Fürstin}. Ihr habt vielleicht von meiner schlechten Behandlung durch {s10} gehört. Ihr habt einen Ruf als jemand, der Vasallen gut behandelt, und wenn Ihr mich aufnehmen wollt, so würde ich mich geehrt fühlen, Euch als Vasall zu dienen.
str_lord_indicted_dialog_approach_yes|Und ich wäre geehrt, Euren Schwur zu akzeptieren.
str_lord_indicted_dialog_approach_no|Tut mir leid. Ihr werdet nicht gebraucht.
; str_lord_indicted_dialog_rejected|Indeed? Well, perhaps your reputation is misleading. Good day, {reg59?my lady:my lord} -- I go to see if another ruler in these lands is more appreciative of my talents.
str__has_been_worried_about_bandits_establishing_a_hideout_near_his_home| war besorgt darüber, dass Banditen ein Versteck in seinem Gebiet etabliert haben.
; str_bandit_lair_quest_description|Find and destroy {s9} and report back to {s11}.
str_reveal_ass|Jemand hat versucht Euch zu ermorden. Ihr könnt versuchen, herauszufinden wer Euren Tod wünscht, indem Ihr den Kontakt des Mörders in {s3} trefft.
str_reveal_ass2|Der Kontakt hat seinen Auftraggeber, der den Mord angeordnet hat, preisgegeben - {s9}. Es ist an der Zeit, den Fürst direkt zu konfrontieren.
str_bandit_hideout_preattack|Ihr nähert Euch dem Versteck. Die {s4} scheinen Euch noch nicht entdeckt zu haben, und Ihr könntet Euch noch unbemerkt davonschleichen. Der schwierige Zugang zum Versteck -- {s5} – würde bedeuten, dass Ihr nur eine Handvoll Soldaten und keine Pferde mitnehmen könntet. Schlüge Euer Angriff fehl, könnten die {s4} mit Leichtigkeit fliehen und sich zerstreuen. Möchtet Ihr das Versteck angreifen oder auf eine andere Gelegenheit warten?
str_bandit_hideout_failure|Die {s4} schlagen Euren Angriff zurück. Ihr gruppiert Euch neu und rückt wieder vor, aber sie haben mittlerweile die Flucht ergriffen und sind in den umliegenden Ländereien verschwunden, wo sie ohne Zweifel weiterhin Reisende bedrohen werden.
str_bandit_hideout_success|Ohne Rückzugsmöglichkeit fallen die {s4} einer nach dem anderen Eurem entschlossenen Angriff zum Opfer. Ihr Versteck und das Diebesgut gehört nun Euch.
str_bandit_approach_defile|durch einen engen Hohlweg
str_bandit_approach_swamp|durch einen Kiefernsumpf
str_bandit_approach_thickets|Durch eine Reihe von dichten Dickicht
str_bandit_approach_cliffs|einen Pfad am Rande einer Klippe hoch
str_bandit_approach_cove|ein die Klippen unterbrechendes Flußbett hinunter
str_political_explanation_lord_lacks_center|In diesem Fall sollte das Lehen an einen Fürsten gehen, der keine Ländereien und Einkünfte hat.
str_political_explanation_lord_took_center|In diesem Fall sollte die Festung jenem gehören, der sie erobert hat.
str_political_explanation_most_deserving_friend|In diesem Fall habe ich unter meinen engen Freunden und Gefährten denjenigen ausgewählt, der das Lehen am meisten verdient hat.
str_political_explanation_most_deserving_in_faction|In diesem Fall habe ich unter den Fürsten des Reichs denjenigen ausgewählt, der das Lehen am meisten verdient hat.
str_political_explanation_self|In Ermangelung anderer eindeutiger Kandidaten nominiere ich mich selbst.
str_political_explanation_marshal|Ich habe den ehrenhaftesten unserer Nobelmänner ausgewählt. Ich traue ihm, und sein Name ist nicht mit Kontvoserve befleckt.
str_prisoner_at_large|auf freiem Fuß, nachdem die Entführer im Kampf bezwungen wurden. Ich erwarte, dass Euer Freund bald wieder auftauchen wird.
str_quick_battle_scene_1|Farmhaus
str_quick_battle_scene_2|Walisisches Dorf
str_quick_battle_scene_3|Tulbuks Pass
str_quick_battle_scene_4|Tom Tun Burh
str_quick_battle_scene_5|Skagerrak
str_quick_battle_scene_6|Die Nordsee
str_quick_battle_scene_7|Kennemer Hafen
str_quick_battle_scene_8|Kampf Szene 6
str_quick_battle_scene_9|Kampf Szene 7
str_quick_battle_scene_10|Kampf Szene 8
str_quick_battle_scene_11|Kampf Szene 9
; str_quick_battle_troop_1|Bodo, servitor to the kings of Asturias, is on a secret mission to the lands of the north.
; str_quick_battle_troop_2|Sven, hersir in the service of Sigurd Snake-in-the-Eye, rides in the prow of his master's ship. He has a well deserved reputation for ruthlessness and cruelty, running slaves and demanding protection money from Friese to Alba.
; str_quick_battle_troop_3|Cerball mac Dunlainge, head of one of the larger petty kingdoms in Ireland, has won independence from Munster through capable arms and even more capable playing of the various Goidelic (Irish) and Viking factions against one another. Now that he possesses riches and mercenaries from the Viking settlement at Waterford, will he become overlord of Ireland?
; str_quick_battle_troop_4|Artorius, a champion of Rhodri Mawr, helps his master to attempt once again to unify the factious Britons of Wales. It is not a project of expansion but survival against their ancient enemies, the Angles and Saxons, and now the new threat of Vikings.
; str_quick_battle_troop_5|Cinead is named after the chieftain who unified Alba after the old rival dynasties of the Picts and Dal Riata were virtually destroyed by Vikings in a three-way battle in 839. He is one of the few who retain the ancient tradition of horsemanship in these parts, fast disappearing as the Vikings displace his people from the low-lying areas to the southwest.
; str_quick_battle_troop_6|Oswald is a thegn in the Saxon levy, commanding a large group of ceorls who rent his lands. While the glory goes to the kings, it is the solid officers like him that actually protect West Seaxe.
; str_quick_battle_troop_7|Hildr comes from a persistent tradition among Germanic peoples of women fighters, called skjaldmo, or shield maidens, by the Danes. Her comrades accept her none too grudgingly, as it is whispered she has harnessed the power of runes from wizards in far-off Finland.
str_quick_battle_troop_cam|Beobachtet die AI die die Schlacht ausficht. Die Kamera nutzt die Standardmäßige Bewegungs - und Rotationstasten, sowie F für aufwärts und V für abwärts, +/- für Zoom, Ziffernblock für die Spielgeschwindigkeit, Mausrad für die Kamerageschwindigkeit...und die Tasten Q, Y, R und die Pfeiltaste haben ebenfalls kleinere Bedeutungen.
str_strategy_cam|Diese Kamera folgt dem Spieler. Mancher erhöht die Distanz mit der F Taste und reduziert sie mit V. +/- für Zoom, Ziffernblock für Spielgeschwindigkeit (Wenn Cheats aktiviert sind), und das Mausrad für die Kamerageschwindigkeit.
str_tutorial_training_ground_intro_message|Seht Euch auf dem Übungsplatz um und sprecht mit den Kämpfern über verschiedene Aspekte des Kampfes in Mount&Blade. Mit den Tasten A, S, D und W könnt Ihr Euch bewegen. Um mit einem Spielcharakter zu sprechen, nähert Ihr Euch ihm, bis sein Name auf Eurem Bildschirm erscheint und drückt die 'F'-Taste. Mit dieser Taste könnt Ihr auch Gegenstände aufheben, Türen öffnen und mit Objekten interagieren. Über die Taste Tab könnt Ihr das Tutorial jederzeit beenden.
str_tutorial_doccinga_ground_intro_message|Doccinga ist ein kleines Fischerdorf an der friesischen Küste. Die Menschen dort arbeiten hart und verschaffen dem Dorf Wohlstand, auch wenn nicht mehr so viele Besucher kommen, seit der alte Hexer verstorben ist. Als ihr in das Dorf geht seht ihr viel Aktivität. Abseits der beschäftigten Arbeiter, seht ihr einige Krieger um die Menschen schwärmen, die Kunst des Krieges exerzierend, um sich vielleicht auf ein Abenteuer jenseits des Meeres vorzubereiten. Vielleicht könnt ihr einige von ihnen nach Training in den grundlegenden Kampfangelegenheiten fragen...(Denkt daran: ASDW Tasten um euch zu bewegen. Um mit jemandem zu sprechen müsst ihr euch ihm nähern bis der Name erscheint und drückt dann F. Ihr könnt die F Taste auch benutzen um Gegenstände aufzuheben, Türen zu öffnen und mit Gegenständen zu interagieren. Drückt TAB um nach Doccings zurückzukehren.)
str_map_basic|Karte
str_game_type_basic|Spieltyp
str_battle|Gefecht
str_siege_offense|Belagerung (Offensive)
str_siege_defense|Belagerung (Defensive)
str_character|Charakter
str_biography|Hintergrund
str_player|Spieler
str_enemy|Feind
str_faction|Kultur
str_army_composition|Armeezusammensetzung
str_army_size|Armeegröße
str_reg0_men|{reg0} Männer
str_start|Start
str_i_need_to_raise_some_men_before_attempting_anything_else|Ich muss mehr Männer rekrutieren bevor ich etwas anderes tue
str_we_are_currently_at_peace|Wir sind zur Zeit in Frieden.
str_the_marshalship|Die Marschallschaft
str_you|Ihr
str_myself|mich selbst
str_my_friend_s15|mein Freund {s15}
str_custom_battle|Benutzerdefinierte Schlacht
; str_comment_intro_liege_affiliated_to_player|I am told that you would dispute my claim to the crown. Needless to say, I am not pleased by this news. However, we may still talk.
str_s21_the_s8_declared_war_out_of_personal_enmity|{s21} {s8} hat den Krieg aufgrund persönlicher Feindschaft erklärt.
str_s21_the_s8_declared_war_in_response_to_border_provocations|{s21} {s8} hat den Krieg als Reaktion auf Grenzprovokationen erklärt.
str_s21_the_s8_declared_war_to_curb_the_other_realms_power|{s21} {s8} hat den Krieg zur Machtminderung des anderen Reichs erklärt.
str_s21_the_s8_declared_war_to_regain_lost_territory|{s21} {s8} hat den Krieg zur Wiedererlangung verlorenen Territoriums erklärt.
str_we_are_conducting_recce|Wir werden zuerst die Umgebung auskundschaften und entscheiden dann was zu tun ist.
str_center_party_not_active|ist nicht unser Ziel, da wir keinen Anführer im Feld haben.
str_center_is_friendly|ist nicht unser Feind.
str_center_is_already_besieged|wird bereits belagert.
str_center_is_looted_or_raided_already|wurde bereits verwüstet
str_center_marshal_does_not_want_to_attack_innocents|wird von Gemeinen bewohnt, die am meisten leiden würden, wenn wir das Land verwüsteten.
str_center_we_have_already_committed_too_much_time_to_our_present_siege_to_move_elsewhere|wird bereits belagert, also wäre es ein Fehler, woanders hin zu marschieren
str_center_we_are_already_here_we_should_at_least_loot_the_village|ist nahe, wir sollten uns seine Reichtümer sichern und den Rest in Schutt und Asche legen.
str_center_far_away_we_can_reconnoiter_but_will_delay_decision_until_we_get_close|NICHT BENUTZT
str_center_far_away_our_cautious_marshal_does_not_wish_to_reconnoiter|ist selbst zum Aufklären zu weit entfernt
str_center_far_away_even_for_our_aggressive_marshal_to_reconnoiter|ist selbst zum Aufklären zu weit entfernt
str_center_far_away_reason|{s6} ist mehr als {s5} von unseren Zentren entfernt, daher wird es für uns schwerer sein, es nach der Eroberung zu verteidigen.
str_center_closer_but_this_is_not_enought|{s6} ist unseren Grenzen näher als {s5}, aber wir greifen {s6} aus anderen Gründen vorerst nicht an.
str_center_protected_by_enemy_army_aggressive|wird von feindlichen Truppen geschützt, von denen wir glauben, dass sie deutlich stärker als unsere eigenen sind.
str_center_protected_by_enemy_army_cautious|wird von einer feindlichen Armee beschützt, von der wir glauben, dass wir keine Siegchance gegen sie hätten.
str_center_cautious_marshal_believes_center_too_difficult_to_capture|Dies würde eine blutige und riskante Belagerung erfordern.
str_center_even_aggressive_marshal_believes_center_too_difficult_to_capture|wird für eine Eroberung zu stark verteidigt.
str_center_value_outweighed_by_difficulty_of_capture|ist nicht wertvoll genug, um die Schwierigkeiten zu rechtfertigen, vor die uns ein Angriff stellen würde.
str_center_value_justifies_the_difficulty_of_capture|ist eroberbar und noch dazu von genügendem Wert, um einen Angriff zu rechtfertigen.
str_center_is_indefensible|Ist zu weit weg von unseren anderen Festungen um es zu verteidigen.
str_we_are_waiting_for_selection_of_marshal|Wir warten auf die Auswahl eines Marschalls
str_best_to_attack_the_enemy_lands|In Anbetracht der Mannstärke unserer Truppen glauben wir, dass wir besser die Ländereien des Feindes angreifen sollten.
str_we_believe_the_fortress_will_be_worth_the_effort_to_take_it|Wir glauben, dass die Festung die Mühen wert ist, sie zu erobern.
str_we_will_gather_to_defend_the_beleaguered_fortress|Wir sammeln uns zur Verteidigung der belagerten Festung.
str_the_enemy_temporarily_has_the_field|Der Feind ist uns gerade über, und wir sollten uns zurückziehen, bis der Sturm vorübergezogen ist.
str_center_has_not_been_scouted|wurde in letzter Zeit nicht von unseren Truppen aufgeklärt, aber wir könnten dorthin marschieren, und das weitere Vorgehen vor Ort entscheiden.
str_we_have_assembled_some_vassals|Wir haben einige der Vasallen versammelt, aber wir werden noch auf weitere warten, bevor wir tiefer in feindliches Territorium vordringen.
str_we_are_waiting_here_for_vassals|Wir warten darauf, dass sich uns mehr Männer anschließen.
str_we_are_travelling_to_s11_for_vassals|Wir marschieren nach {s11}, damit sich die Vasallen leichter der Haupttruppe anschließen können, bevor wir weiterziehen.
str_center_strength_not_scouted|Wir haben sie in letzter Zeit nicht aufgeklärt und wissen daher nicht, wie stark es verteidigt wird.
str_center_strength_strongly_defended|Wir glauben, dass es stark verteidigt wird
str_center_strength_moderately_defended|Wir glauben, dass es mittelmäßig gut verteidigt wird
str_center_strength_weakly_defended|Wir glauben, dass es schwach verteidigt wird
str_center_distant_from_concentration|ist uns näher als die feindliche Hauptarmee, die wir aufgespürt haben. Wir können sie angreifen und zerstören, bevor der Feind reagieren kann.
str_plus|+
str_minus|-
str_tutorial_training_ground_warning_no_weapon|He, meint Ihr nicht, dass Ihr irgendeine Art von Waffe bräuchtet, bevor wir das probieren? Da drüber sollten einige Ersatzwaffen herumliefen. Greift Euch eine davon.
str_tutorial_training_ground_warning_shield|Ihr müsst zuerst Euern Schild ablegen. Scrollt mit dem Mausrad nach unten, um Euren Schild abzusetzen.
str_tutorial_training_ground_warning_melee_with_parry|Für diese Übung müsst Ihr eine Nahkampfwaffe führen.
str_tutorial_training_ground_warning_melee|Scrollt mit Eurem Mausrad nach oben, um Euch mit einer Waffe auszurüsten. Nach oben scrollen wählt die nächste Waffe aus, nach unten scrollen den nächsten Schild.
str_tutorial_training_ground_attack_training|Anzahl erfolgreicher Angriffe: {reg0} / 5^Anzahl erfolgloser Angriffe: {reg1}^{s0}
str_tutorial_training_ground_attack_training_down|Führt einen Stoßangriff aus! (Bewegt Eure Maus nach hinten, während Ihr die linke Maustaste drückt)
str_tutorial_training_ground_attack_training_up|Führt einen Überkopfangriff aus! (Bewegt Eure Maus nach links, während Ihr die linke Maustaste drückt)
str_tutorial_training_ground_attack_training_left|Greift von links an! (Bewegt Eure Maus nach links, während Ihr die linke Maustaste drückt)
str_tutorial_training_ground_attack_training_right|Greift von rechts an! (Bewegt Eure Maus nach rechts, während Ihr die linke Maustaste drückt)
str_tutorial_training_ground_parry_training|Anzahl erfolgreicher Paraden: {reg0} / 5
str_tutorial_training_ground_chamber_training|Anzahl erfolgreicher Schlagparaden: {reg0} / 5
str_tutorial_training_ground_archer_training|Anzahl guter Schüsse: {reg0} / 3^{s0}
str_tutorial_training_ground_ammo_refill|Euer Geschossvorrat wurden für das Tutorial aufgefüllt.
str_tutorial_training_ground_archer_text_1|Nähert Euch dem {s0} und hebt ihn mit der Taste F auf.
str_tutorial_training_ground_archer_text_2|Beschießt die Ziele.
str_tutorial_training_ground_archer_text_3|Die Größe des Zielkreises deutet auf Eure Schussgenauigkeit hin. Haltet die linke Maustaste gedrückt, bis der Kreis minimale Größe hat, und lasst die Maustaste dann los. Wenn Ihr zu lange wartet, wird der Kreis wieder größer.
str_tutorial_training_ground_archer_text_4|Mit der Taste R könnt Ihr zur Ich-Perspektive wechseln, die das Zielen mit Fernkampfwaffen erleichtert.
str_tutorial_training_ground_archer_text_5|Ihr habt alle Ziele beschossen. Sprecht erneut mit dem Ausbilder.
str_tutorial_training_ground_horseman_text_1|Bitte bewaffnet Euch nun mit {s0}. Nähert Euch zuerst an, Aufheben dann mit Taste F.
str_tutorial_training_ground_horseman_text_2|Nähert Euch dem Pferd, und besteigt es durch Druck auf F.
str_tutorial_training_ground_horseman_text_3|Reitet zum nächsten Wegpunkt.
str_tutorial_training_ground_horseman_text_4|Schlagt die Attrappe, über der ein Pfeil angezeigt wird!
str_tutorial_training_ground_horseman_text_5|Schießt auf das Bogenziel, über dem ein Pfeil angezeigt wird!
str_tutorial_training_ground_horseman_text_6|Ihr habt die Übung erfolgreich abgeschlossen. Geht nun zum Ausbilder zurück und sprecht mit ihm.
str_the_great_lords_of_your_kingdom_plan_to_gather_at_your_hall_in_s10_for_a_feast|Die großen Fürsten Eures Königreichs planen, sich in Eurer Halle in {s10} für ein Gelage zu versammeln.
str_your_previous_court_some_time_ago|Eures vorherigen Hofes vor einiger Zeit,
str_awaiting_the_capture_of_a_fortress_which_can_serve_as_your_court|wartet auf die Rückeroberung einer Festung, an der Ihr Hof halten könnt.
str_but_if_this_goes_badly| Ich schätze Euren Rat. Wenn dies aber schiefgehen sollte, so werde ich Euch zur Verantwortung ziehen.
str_i_realize_that_you_are_on_good_terms_with_s4_but_we_ask_you_to_do_this_for_the_good_of_the_realm| Ich verstehe, dass Ihr zu {s4} gute Beziehungen unterhaltet, aber dies ist zum whole des gesamten Reichs.
str_i_realize_that_you_are_on_good_terms_with_s4_but_the_blow_will_hurt_him_more| Ich verstehe, dass Ihr zu {s4} gute Beziehungen unterhaltet -- aber dies bedeutet nur, dass ihn Euer Schlag umso härter treffen wird!
str_killed_bandit_at_alley_fight|Der Händler bringt Euch zu seinem Haus. Kaum hineingegangen, bleibt er für eine Weile an der Tür stehen und beobachtet die Straße. Als er dann endlich überzeugt ist, dass Euch niemand gefolgt ist, nähert er sich Euch und beginnt zu sprechen …
str_wounded_by_bandit_at_alley_fight|Ihr werdet niedergeschlagen. Bevor Ihr das Bewusstsein verliert, hört Ihr Schreie und Schritte … Ihr wacht in einem Haus auf, schwach, doch am Leben.
str_cannot_leave_now|Kann jetzt nicht gehen.
str_press_tab_to_exit_from_town|Drückt Tab zum sofortigen Verlassen. Über diese Taste könnt Ihr jeden Spielort schnell verlassen.
str_find_the_lair_near_s9_and_free_the_brother_of_the_prominent_s10_merchant|Findet die Banditenhöhle bei {s9}, und befreit den Bruder des {s10} Kaufmanns.
str_please_sir_my_lady_go_find_some_volunteers_i_do_not_know_how_much_time_we_have|{reg59?Meine Dame:Herr} -- wenn Ihr das Vertrauen, das ich in Euch gelegt habe, rechtfertigen wollt, so beeilt Euch ein bisschen. Findet einige Freiwillige. Ich weiß nicht, wie viel Zeit wir haben.
str_you_need_more_men_sir_my_lady|Ihr braucht einfach mehr Männer. Momentan habt Ihr nur {reg0} in Eurem Trupp. Wenn Ihr sie mit zu wenigen Männern angreift, könntet Ihr ihr Versteck finden, indem man Euch in Fußeisen hineinschleift, und das wäre nicht gerade plangemäß. Geht kein Risiko ein und besucht zur Rekrutierung von Freiwilligen noch ein paar Dörfer mehr. Dann könnt Ihr ihnen Gleiches mit Gleiche vergelten.
str_good_you_have_enough_men|Gut gut. Ihr habt es gut gemacht. Ihr habt genug Männer. Geht und haut einigen dieser Räuber einen über den Kopf, und lassen Euch sagen, wo Ihr Versteck zu finden ist.
str_do_not_waste_time_go_and_learn_where_my_brother_is|Schaut, {reg59?my lady:sir}. Zeit ist Gold. Nun, wenn Ihr herausfinden würdet, wo sie meinen Bruder versteckt, würde ich das sehr zu schätzen wissen.
str_start_up_quest_message_1|{S9} sagte mir, dass ich Antworten in {s1}finden könnte. Ich muss den Dorfältesten Thonkrik dort fragen.
str_start_up_quest_message_2|Findet und besiegt eine Banditengruppe, die sich in der Nähe von {s9} versteckt halten und bringt in Erfahrung, wohin der Bruder Eures Auftraggebers gebracht wurde.
str_start_up_quest_message_3|Befreit den Bruder des Händlers aus dem Räuberversteck in der Nähe von {s9}.
str_start_up_first_quest|Ihr habt Eure erste Quest angenommen. Ihr könnt Euch Euer Quest-Log jederzeit durch Druck auf die Taste Q ansehen.
str_reason_1|Unser aktuelles Ziel ist von größerem Wert.
str_reason_2|Ein Angriff auf {s8} stellt eine große Gefahr für unser Reich dar.
str_reason_3|Wir glauben, dass {s8} eine unmittelbare Bedrohung ist
str_reason_4|Es kann wegen der Größe der feindlichen Kräfte im Gebiet sein.
str_reason_5|Ich bin nicht sicher.
str_reason_6|Wir wissen nicht, wie stark es verteidigt wird.
str_reason_7|Wir glauben dass es zu stark verteidigt ist.
str_reason_8|Wir glauben, dass sie einigermaßen gut verteidigt wird.
str_reason_9|Wir glauben, dass es schwach verteidigt wird.
str_has_decided_that_an_attack_on_|beschloss den Angriff auf
str_this_would_be_better_worth_the_effort|Diese hier wäre in Anbetracht ihres Werts, ihrer Entfernung und der wahrscheinlichen Anzahl von Verteidigern ein lohnenderes Ziel.
str_has_decided_to_defend_|Richtig. Ich nehme an, ich sollte vorsichtiger sein.
str_before_going_offensive_we_should_protect_our_lands_if_there_is_any_threat_so_this_can_be_reason_marshal_choosed_defending_s4|Bevor wir in die Offensive gehen sollten wir unsere Lande vor jeglichem Feind schützen. Dies kann die Ursache für die Entscheidung des Marschalls sein,  {s4} zu verteidigen.
str_are_you_all_right|Nun … Lasst mich meinen Vorschlag erläutern
str_you_are_awake|Ah -- Ihr seid wach. Gut zu sehen, dass Ihr noch laufen könnt. Ihr könnt Euch glücklich schätzen, Fremder. Die Götter haben über euch gewacht. Als sie Euch zu mir brachten, ward Ihr mehr tot als lebendig.
str_save_town_from_bandits|Rettet {s9} vor Banditen.
str_you_fought_well_at_town_fight_survived|Hah! Gut gemacht – ich sah mindestens drei Gegner zu Boden gehen, bevor es Euch selbst erwischte. Kämpft weiter so und Ihr werdet Euch in diesen Landen einen ordentlichen Namen machen.
str_you_fought_normal_at_town_fight_survived|Gut gemacht! Ich habe gehört, dass Ihr einen der beiden Bastarde erwischt habt … und Ihr lebt noch. Besser kann ein Kampf doch gar nicht ausgehen …
str_you_fought_bad_at_town_fight_survived|Naja, der Feind ist auf der Flucht, und anscheinend seid Ihr noch unter den Lebenden. Letztendlich ist es das doch, was nach einem Kampf zählt.
