str_yes|Да.
str_its_not_good_to_get_a_reputation_as_one_who_abandons_his_liege_that_is_my_decision_let_us_speak_no_more_of_this_matter|Будет плохо, если я заслужу репутацию предателя своего сюзерена. Таково мое решение. Давайте больше не будем говорить об этом.
str_ive_decided_to_stick_with_s14_i_dont_want_to_talk_about_this_matter_any_more|Я буду держаться {s14}. Не хочу больше об этом говорить.
str_you_are_challenging_me_to_a_duel_how_droll_as_you_wish_playername_it_will_be_good_sport_to_bash_your_head_in|Вызываете меня на поединок? Смешно! Как пожелаете, {playername}! С превеликим удовольствием расколочу вашу голову.
str_call_me_coward_very_well_you_leave_me_no_choice|Называете меня трусом? Прекрасно, вы не оставляете мне выбора.
str_reg3_hours|{reg3} часов.
str_hour|час.
str_however_circumstances_have_changed_since_we_made_that_decision_and_i_may_reconsider_shortly_s16|Однако с тех пор, как мы приняли это решение, обстоятельства изменились, и вскоре я могу передумать. {s16}
str_i_wish_to_marry_your_s11_s10_i_ask_for_your_blessing|Я желаю сочетаться браком с вашей {s11}, {s10}. Прошу вашего благословения.
str_i_wish_to_marry_your_s11_s10_i_ask_for_your_help|Я желаю сочетаться браком с вашей {s11}, {s10}. Прошу вашей помощи.
; str_you_plan_to_marry_s3_at_a_feast_hosted_by_s4_in_s5_you_should_be_notifed_of_the_feast_as_soon_as_it_is_held|You plan to marry {s3} at a feast hosted by {s4} in {s5}. You should be notified of the feast as soon as it is held.
str_your_s11_|ваша {s11},
str_i_ask_again_may|Я спрашиваю снова,
str_may|Могу
str_very_well_as_far_as_im_concerned_i_suppose_she_can_see_most_anyone_she_likes__within_reason_of_course|Превосходно. Что до меня, то она может видеться с любым, кто ей нравится - в пределах разумного, конечно.
str_very_well_an_alliance_with_you_could_be_valuable_go_chat_with_her_and_see_if_you_can_get_her_to_take_a_fancy_to_you_if_she_doesnt_and_if_we_still_want_to_conclude_this_business_then_i_can_make_her_see_reason|Превосходно. Союз с вами будет весьма полезен. Поговорите с ней и выясните, насколько сможете ей понравиться. Если вы ей не понравитесь, то я попробую ее переубедить.
str_you_have_my_blessing_to_pay_suit_to_her__so_long_as_your_intentions_are_honorable_of_course_depending_on_how_things_proceed_between_you_two_we_may_have_more_to_discuss_at_a_later_date|Даю вам свое благословение на ухаживание - пока ваши намерения благородны, разумеется. В зависимости от того, как будут развиваться ваши отношения, позже мы сможем обсудить это еще раз.
str_the_war_has_barely_begun_so_and_it_is_too_early_to_say_who_is_winning_and_who_is_losing|Война едва началась, поэтому рано говорить о том, кто побеждает и кто проигрывает.
str_we_have_been_hitting_them_very_hard_and_giving_them_little_chance_to_recover|Мы наносили им удар за ударом, оставляя мало шансов на восстановление.
str_the_fighting_has_been_hard_but_we_have_definitely_been_getting_the_better_of_them|Сражение было тяжелым, но мы определенно одержали верх над ними.
str_they_have_been_hitting_us_very_hard_and_causing_great_suffering|Они наносили нам удар за ударом и причинили немалые страдания.
str_the_fighting_has_been_hard_and_i_am_afraid_that_we_have_been_having_the_worst_of_it|Сражение было тяжелым, и, боюсь, мы не одержали победу.
str_both_sides_have_suffered_in_the_fighting|В сражении пострадали обе стороны.
str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_think_we_are_getting_the_better_of_them|В бою еще не определился победитель, но, похоже, мы одерживаем верх.
str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_fear_they_may_be_getting_the_better_of_us|В бою еще не определился победитель, но, похоже, удача не на нашей стороне.
str_no_clear_winner_has_yet_emerged_in_the_fighting|В бою еще не определился победитель.
str_there_is_no_campaign_currently_in_progress|В настоящее время нет кампаний.
str_we_are_assembling_the_army|Мы собираем армию.
str_we_aim_to_take_the_fortress_of_s8|Мы намерены взять крепость {s8}.
str_we_are_on_a_raid_and_are_now_targeting_s8|Мы совершаем набег и сейчас нацелились на {s8}.
str_we_are_trying_to_seek_out_and_defeat_s8|Мы пытаемся найти и победить {s8}.
str_we_are_riding_to_the_defense_of_s8|Мы направляемся на защиту {s8}.
str_we_are_gathering_for_a_feast_at_s8|Мы собираемся на праздник в {s8}.
str__however_that_may_change_shortly_s14|Однако это вскоре может измениться. {s14}
str_it_is_our_custom_to_seal_any_such_alliances_with_marriage_and_in_fact_we_have_been_looking_for_a_suitable_groom_for_my_s11_s14|В наших обычаях закреплять подобные союзы браком, и к тому же моя дочь {s14} достойна хорошего жениха, возможно у вас есть шанс ....
str_once_again_|снова
str_cheat__marriage_proposal|Чит - предложение брака
; str_you_plan_to_marry_s4_as_you_have_no_family_in_calradia_he_will_organize_the_wedding_feast|You plan to marry {s4}. As you have no family in these lands, he will organize the wedding feast.^^You will have to wait for a feast to start, and then meet your betrothed inside that town or fort hall. After 30 days, you can also ask your betrothed to go to a nearby center.
str_s43_just_so_you_know_if_you_attack_me_you_will_be_in_violation_of_the_truce_you_signed_with_the_s34|{s43} Знайте - если вы нападете на меня, то нарушите перемирие, подписанное вами и {s34}
str_very_well__you_are_now_my_liege_as_well_as_my_husband|Превосходно - теперь вы мой муж и господин, и на вас лежат все соответствующие обязательства.
str_i_thank_you_reg39my_ladylord|Благодарю вас, {reg39?госпожа:господин}.
str_now_some_might_say_that_women_have_no_business_leading_mercenary_companies_but_i_suspect_that_you_would_prove_them_wrong_what_do_you_say|Кое-кто может утверждать, что не дело женщинам руководить отрядом наемников, но мне кажется, что вы опровергли такое мнение. Что скажете?
str_what_do_you_say_to_entering_the_service_of_s9_as_a_mercenary_captain_i_have_no_doubt_that_you_would_be_up_to_the_task|Как насчет того, чтобы поступить на службу к {s9} капитаном наемников? Я не сомневаюсь, что эта задача вам по плечу.
str_s9_asked_you_to_rescue_s13_who_is_prisoner_at_s24|{s9} попросил спасти {s13}, которого удерживают пленником в {s24}.
; str_s9_asked_you_to_attack_a_village_or_some_caravans_as_to_provoke_a_war_with_s13|{s9} asked you to attack a village or some caravans as to provoke a war with the {s13}.
str_s9_asked_you_to_catch_the_three_groups_of_runaway_serfs_and_bring_them_back_to_s4_alive_and_breathing_he_said_that_all_three_groups_are_heading_towards_s3|{s9} просит вас поймать три группы сбежавших крестьян и вернуть их в {s4} живыми. Он сказал, что эти три группы направляются к {s3}.
str_you_intend_to_bring_goods_to_s9_in_preparation_for_the_feast_which_will_be_held_as_soon_as_conditions_permit|Вы собираетесь доставить товары в {s9} в ходе подготовки к празднику - он будет устроен, как только все будет готово.
; str_hello_playername|Hello, {playername}!
str_ah_my_gentle_playername_how_much_good_it_does_my_heart_to_see_you_again|Ах, {playername}. Как же мне приятно вас видеть!
str_playername__i_am_so_glad_to_see_you_again_i_must_say_i_do_envy_your_freedom_to_ride_out_and_experience_the_world|{playername} - как же радостно видеть вас снова! Признаюсь, я завидую вашей свободе скакать куда хочешь и исследовать мир.
str_playername__i_am_so_glad_to_see_you_i_trust_that_you_have_been_behaving_honorably_since_last_we_met|{playername} - приятно вас видеть. Полагаю, вы вели себя достойно с тех пор, как мы встречались в последний раз.
str_playername__i_am_so_glad_that_you_were_able_to_come|{playername} - хорошо, что вам удалось прийти.
; str_i_do_enjoy_speaking_to_you_but_i_am_sure_you_understand_that_our_people_cluck_their_tongues_at_a_woman_to_spend_too_long_conversing_with_a_man_outside_her_family__although_the_heavens_know_its_never_the_man_who_is_held_to_blame_|I do enjoy speaking to you. But I am sure you understand that our people cluck their tongues at a woman who spends too long conversing with a man outside her family -- although the heavens know it's never the man who is held to blame. 
str_as_much_as_i_enjoy_speaking_to_you_i_do_not_care_to_be_gossiped_about_by_others_who_might_lack_my_grace_and_beauty_|Я рада поговорить с вами, и мне нет дела до пересудов завистниц, которым недостает моей грации и красоты.
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_one_of_the_great_families_of_this_land_i_must_set_an_example_of_propriety_|Мне очень нравится беседовать с вами. Но как дочь одного из самых влиятельных семейств этой земли, я должна оставаться примером добродетели.
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_good_family_i_must_protect_my_reputation_|Мне очень нравится беседовать с вами. Но как дочь благопорядочного семейства я должна беречь свою репутацию.
str_although_it_is_kind_of_you_to_pay_me_such_attentions_i_suspect_that_you_might_find_other_ladies_who_may_be_more_inclined_to_return_your_affection|С вашей стороны очень любезно, что вы уделяете мне так много внимания, но, подозреваю, вы можете найти других дам, более расположенных отвечать вам взаимностью.
str_as_flattered_as_i_am_by_your_attentions_perhaps_you_should_seek_out_another_lady_of_somewhat_shall_we_say_different_tastes|Я польщена вашим вниманием, но, пожалуй, вам будет лучше поискать другую даму... имеющую... как бы сказать... другие вкусы.
str_as_flattered_as_i_am_by_your_attentions_i_am_a_daughter_of_good_family_and_must_be_aware_of_my_reputation_it_is_not_seemly_that_i_converse_too_much_at_one_time_with_one_man_i_am_sure_you_understand_now_if_you_will_excuse_me|Я польщена вашим вниманием, но я дочь благопорядочного семейства и должна беречь свою репутацию. Мне не приличествует беседовать слишком долго с одним мужчиной. Надеюсь, вы понимаете. А теперь, если вы извините меня...
str_very_well__i_will_let_you_choose_the_time|Превосходно. Я позволю вам выбрать время.
str_good_i_am_glad_that_you_have_abandoned_the_notion_of_pushing_me_into_marriage_before_i_was_ready|Хорошо! Я рада, что вы оставили мысль добиваться моей руки до тех пор, пока я не буду готова.
str_i_am|Я...
str_s12_s11_to_s14|{s12} {s11} {s14}
str_s12_i_am_here_for_the_feast|{s12}. Я по приглашению на праздник.
str_another_tournament_dedication_oh_i_suppose_it_is_always_flattering|Еще одно посвящение во время турнира? Ах, полагаю, это всегда так льстит...
str_do_you_why_what_a_most_gallant_thing_to_say|Правда? Очень любезно с вашей стороны.
; str_hmm_i_cannot_say_that_i_altogether_approve_of_such_frivolity_but_i_must_confess_myself_a_bit_flattered|Hmm... I cannot say that I altogether approve of such frivolity, but I must confess myself a bit flattered.
str_why_thank_you_you_are_most_kind_to_do_so|Ну... спасибо. Очень любезно с вашей стороны.
str_you_are_most_courteous_and_courtesy_is_a_fine_virtue_|Вы очень учтивы, а учтивость это немалое достоинство.
str_hmm_youre_a_bold_one_but_i_like_that_|Хмм. Вы весьма смелы, но это мне нравится.
str_ah_well_they_all_say_that_but_no_matter_a_compliment_well_delivered_is_at_least_a_good_start_|Ах, да, все так говорят. Но не важно. По крайней мере, хороший комплимент - это неплохое начало.
str_oh_do_you_mean_that_such_a_kind_thing_to_say|Ах! Вы действительно так считаете? Как любезно с вашей стороны!
str_you_are_a_most_gallant_young_man_|Вы самый галантный кавалер.
str__do_come_and_see_me_again_soon|Можете прийти и повидать меня еще раз.
str_you_intend_to_ask_s12_for_permission_to_marry_s15|Вы собираетесь спросить у {s12} разрешения жениться на {s15}.
str_you_intend_to_ask_s12_to_pressure_s10_to_marry_you|Вы собираетесь попросить {a12}, чтобы {он/она} {склонил/склонила} {s10} выйти за вас замуж.
; str_do_be_careful_i_am_so_much_endebted_to_you_for_this|Do be careful! I am so much indebted to you for this...
str_go_then__we_shall_see_which_of_you_triumphs|Ну что ж, идите - увидим, кто из вас победит...
str_sigh_i_will_never_truly_understand_men_and_their_rash_actions|Вздох... Я никогда не понимала мужчин с их безрассудными поступками
str_you_intend_to_challenge_s13_to_force_him_to_relinquish_his_suit_of_s11|Вы собираетесь бросить вызов {s13} и заставить его отказаться от ухаживания за {s11}.
str_farewell|Прощайте.
str_farewell_playername|Прощайте, {playername}!
str___we_believe_that_there_is_money_to_be_made_selling_|Мы полагаем, что можно заработать денег, продавая
str__we_carry_a_selection_of_goods_although_the_difference_in_prices_for_each_is_not_so_great_we_hope_to_make_a_profit_off_of_the_whole|Мы везем разные товары. И хотя разница в ценах для каждого невелика, мы надеемся получить некоторую прибыль от всех сразу.
str_s14and_other_goods|{s14}и другие товары.
str__have_you_not_signed_a_truce_with_our_lord|Разве вы не заключили перемирия с нашим лордом?
str_parole|пароль
str__meanwhile_s51_reg2areis_being_held_in_the_castle_but_reg2havehas_made_pledges_not_to_escape_and_reg2areis_being_held_in_more_comfortable_quarters|Тем временем {s51} удерживают в замке, но он поклялся не сбегать, и поэтому его перевели в более удобные помещения.
; str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_it_would_boost_your_own_standing_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|You may be aware, my {reg59?Lady:Lord}, of the quarrel between {s4} and {s5} which is damaging the unity of this realm and sapping your authority. If you could persuade the lords to reconcile, it would boost your own standing. However, in taking this on, you run the risk of one the lords deciding that you have taken the rival's side.
; str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_i_imagine_that_s7_would_be_most_pleased_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|You may be aware, {reg59?my lady:my lord}, of the quarrel between {s4} and {s5} which is damaging the unity of this realm. If you could persuade the lords to reconcile, I imagine that {s7} would be most pleased. However, in taking this on, you run the risk of one the lords deciding that you have taken the rival's side.
str__of_course_the_land_is_currently_at_peace_so_you_may_have_better_luck_in_other_realms|Конечно, на этой земле сейчас царит мир, так что вы можете попытать счастья в других королевствах.
str_here|тут
str_over|неподалеку,
str_s8_in_s12|{s8} в {s12}
str__has_put_together_a_bounty_on_some_bandits_who_have_been_attacking_travellers_in_the_area|собрал награду за нескольких бандитов, нападающих на путников в этой области.
str__is_looking_for_a_way_to_avoid_an_impending_war|ищет возможности избежать нависшей угрозы войны.
str__may_need_help_rescuing_an_imprisoned_family_member|может нуждаться в помощи по спасению члена семьи из плена.
; str__has_been_asking_around_for_someone_who_might_want_work_id_watch_yourself_with_him_though| has been asking around for someone who might want work. I'd watch myself with him, though.
str_town|город
; str_castle|fort
str__but_he_is_holding_there_as_a_prisoner_at_dungeon_of_s13|Но его удерживают пленником в темнице {s13}.
str_they_say_that_s9_is_a_most_conventional_maiden__devoted_to_her_family_of_a_kind_and_gentle_temperament_a_lady_in_all_her_way|Говорят, что {s9} - самая обычная девушка, уважающая свою семью, добрая и послушная, настоящая молодая госпожа.
str_they_say_that_s9_is_a_bit_of_a_romantic_a_dreamer__of_a_gentle_temperament_yet_unpredictable_she_is_likely_to_be_led_by_her_passions_and_will_be_trouble_for_her_family_ill_wager|Говорят, что {s9} - в какой-то степени романтическая мечтательница, спокойная, но непредсказуемая. Скорее всего, она может поддаться своим страстям и причинить семейству некоторое беспокойство.
str_they_say_that_s9_is_determined_to_marry_well_and_make_her_mark_in_the_world_she_may_be_a_tremendous_asset_for_her_husband__provided_he_can_satisfy_her_ambition|Говорят, что {s9} желает удачно выйти замуж и добиться славы. Для мужа это будет неплохое приобретение - при условии, что ему удастся удовлетворить ее тщестлавие!
; str_they_say_that_s9_loves_to_hunt_and_ride_maybe_she_wishes_she_were_a_man_whoever_she_marries_will_have_a_tough_job_keeping_the_upper_hand_i_would_say|They say that {s9} loves to hunt and ride. Maybe she wishes she were a man! Whomever she marries will have a tough job keeping the upper hand, I would say.
str_they_say_that_s9_is_a_lady_of_the_highest_moral_standards_very_admirable_very_admirable__and_very_hard_to_please_ill_warrant|Говорят, что {s9} - дама высочайших моральных устоев. Это, конечно, замечательно и достойно всяческого поощрения... Но, боюсь, очень трудно сделать так, чтобы она осталась довольна.
str_s9_is_now_betrothed_to_s11_soon_we_believe_there_shall_be_a_wedding|{s9} сейчас помолвлена с {s11}. Полагают, что скоро будет свадьба!
str_i_have_not_heard_any_news_about_her|Я не слышал никаких новостей о ней.
str_they_say_that_s9_has_shown_favor_to_s11_perhaps_it_will_not_be_long_until_they_are_betrothed__if_her_family_permits|Говорят, что {s9} выказала свое расположение {s11}. Возможно, в скором времени будет помолвка - если ее семья позволит.
str_they_say_that_s9_has_been_forced_by_her_family_into_betrothal_with_s11|Говорят, что семья вынудила {s9} заключить помолвку с {s11}.
str_they_say_that_s9_has_agreed_to_s11s_suit_and_the_two_are_now_betrothed|Говорят, что {s9} согласилась ответить на ухаживания {s11}, и сейчас они помолвлены.
str_they_say_that_s9_under_pressure_from_her_family_has_agreed_to_betrothal_with_s11|Говорят, что {s9} под давлением семьи согласилась на помолвку с {s11}.
str_they_say_that_s9_has_refused_s11s_suit|Говорят, что {s9} отказала {s11}.
str_they_say_that_s11_has_tired_of_pursuing_s9|Говорят, что {s9} устала от настойчивости {s11}.
str_they_say_that_s9s_family_has_forced_her_to_renounce_s11_whom_she_much_loved|Говорят, что семья вынудила {s9} отказать {s11}, которого она так любила.
str_they_say_that_s9_has_run_away_with_s11_causing_her_family_much_grievance|Говорят, что {s9} сбежала с {s11}, чем доставила своей семье немало горя.
str_they_say_that_s9_and_s11_have_wed|Говорят, что {s9} и {s11} поженились.
str_they_say_that_s9_was_recently_visited_by_s11_who_knows_where_that_might_lead|Говорят, что {s9} недавно посещал {s11}. Кто знает, к чему это приведет!
str_there_is_not_much_to_tell_but_it_is_still_early_in_the_season|Говорить пока особенно не о чем, хотя сейчас еще начало сезона.
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_but_it_has_been_going_on_for_a_couple_of_days_and_is_about_to_end_|{s12} {s4}, там сейчас в разгаре праздник, но он идет уже несколько дней и скоро закончится.
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_should_last_for_at_least_another_day_|{s12}В {s4} в разгаре праздник {s3}, и он должен продлиться хотя бы еще один день.
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_has_only_just_begun_|{s12}В {s4} только что начался праздник {s3}.
str_not_at_this_time_no|В настоящее время нет.
str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|{s12}Великие лорды привозят по таким случаям своих дочерей и сестер, ведь это прекрасная возможность вывести их в свет и найти им подходящую пару.
; str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_calradia|You will not be disappointed, {reg59?madame:sir}. You will not find better warriors in all this land.
; str_your_excellency|your grace
str_s10_and_s11|{s10} и {s11}
str_your_loyal_subjects|ваши верные подданные
str_loyal_subjects_of_s10|верные подданные {s10}
str_the|​
str_we|мы
str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|Выследите {s7} и заставьте отказаться от войны с {s11}.
str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|{s9} нападают на путников у {s8},выследите их, а затем сообщите об этом в город.
str_do_you_wish_to_award_it_to_one_of_your_vassals|Желаете даровать это одному из своих вассалов?
; str_who_do_you_wish_to_give_it_to|Whom do you wish to give it to?
; str_sire_my_lady_we_have_taken_s1_s2|{reg59?My Lady:Sire}, we have taken {s1}. {s2}
str_s12i_want_to_have_s1_for_myself|{s12}Я хочу оставить {s1} себе. {s2}
str_fiefs_s0|(наделов: {s0})
str_production_setting_buy_from_market|Мы покупаем сырье на рынке.
str_production_setting_buy_from_inventory|В своем инвентаре мы используем только сырье.
str_production_setting_produce_to_inventory|Мы кладем свою продукцию в инвентарь.
str_production_setting_produce_to_market|Мы продаем свою продукцию непосредственно в инвентарь.
str_feast_quest_expired|Мы не смогли провести праздник как было запланировано. Скорее всего, виной тому были раздоры между фракциями или другие события. Но при желании вы можете попробовать повторить праздник.
; str_amber_riverbeds|beaches and riverbeds with amber
; str_hunting_forests|hunting forests and meat smokehouses
str_acres_flax|акров полей льна
; str_enterprise_enemy_realm|{reg59?Madame:Sir}, you are an enemy of this realm. We cannot allow you to buy land here.
str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|Вы решаете скрытно обвинить {s14} перед лицом {s13} по поручению {s12}
str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|Вы решаете открыто бросить обвинения в лицо {s14} по поручению {s12}
; str_you_intend_to_bring_gift_for_s14|You intend to bring jewelry and furs to {s12}. Then, speak to {s14}, to see if {s12} was able to arrange a reconciliation.
str_we_will_gather_the_army_but_not_ride_until_we_have_an_objective|Мы соберем армию, но не выдвинемся в путь, пока у нас не будет цели.
str_we_shall_lay_siege_to_an_easy_fortress_to_capture|Мы собираем наши войска у наиболее уязвимой крепости врага.
; str_we_shall_strike_at_the_heart_of_our_foe_and_seize_the_fortress_of_s14|We intend to strike the blow that will do them the greatest damage.
; str_we_shall_take_the_fortress_of_s14_which_appears_easily_defensible|We aim to take a fortress that will be easy for us to defend.
str_we_shall_cut_a_fiery_trail_through_their_richest_lands_to_draw_them_out_to_battle|Мы оставляем огненный след в самых богатых землях врага, чтобы он вызвал нас на бой.
str_strategy_criticism_rash|Я полагаю, что эта слишком поспешная стратегия ставит наши войска под удар.
str_strategy_criticism_cautious|Я полагаю, что это слишком осторожная стратегия и что наши войска умрут со скуки, не добившись какого-либо успеха.
str_tavernkeeper_invalid_quest|У меня были кое-какие дела, но я не могу вспомнить подробности.
; str_faction_title_male_player|Konungr {s0}
str_faction_title_male_1|Ярл {s0}
; str_faction_title_male_2|Hersir {s0}
; str_faction_title_male_3|Cyning {s0}
; str_faction_title_male_4|Ealdorman {s0}
; str_faction_title_male_5|Dryhten {s0}
; str_faction_title_male_6|Ri {s0}
; str_faction_title_female_player|Guledic {s0}
; str_faction_title_female_1|Tiern {s0}
; str_faction_title_female_2|Ruire {s0}
; str_faction_title_female_3|Tiarna {s0}
; str_faction_title_female_4|Mael {s0}
; str_faction_title_female_5|Dux {s0}
; str_faction_title_female_6|Warlord {s0}
str_name_kingdom_text|Как будут называть ваше королевство?
; str_default_kingdom_name|Kingdom of {s0}
; str_lord_defects_ordinary|Lord Defects^^{s1} has renounced {reg4?her:his} allegiance to the {s3} and joined the {s2}
str_lord_defects_player|Лорды-отступники^^{s1} отказался от клятвы верности {s3}, желая присоединиться к вашему королевству. Вы можете посетить свой двор и принять у него вассальную присягу.
str_lord_defects_player_faction|Лорды-отступники^^{s1} отказался от клятвы верности {s3}, желая присоединиться к вашему королевству. Вы можете посетить свой двор и принять у него вассальную присягу.
; str_lord_indicted_player_faction|By order of {s6}, {s4} of the {s5} has been indicted for treason. The lord has been stripped of all {reg4?her:his} properties, and has fled for {reg4?her:his} life. He wishes to join your kingdom. You may find him in your court, if you wish it.
; str_lord_indicted_dialog_approach|Greetings, {reg59?my lady:my lord}. You may have heard of my ill treatment at the hands of {s10}. You have a reputation as one who treats {reg59?her:his} vassals well, and if you will have me, I would be honored to pledge myself as your vassal.
str_lord_indicted_dialog_approach_yes|И я сочту за честь принять вашу клятву верности.
str_lord_indicted_dialog_approach_no|Извините, но ваши услуги нам не требуются.
; str_lord_indicted_dialog_rejected|Indeed? Well, perhaps your reputation is misleading. Good day, {reg59?my lady:my lord} -- I go to see if another ruler in these lands is more appreciative of my talents.
str__has_been_worried_about_bandits_establishing_a_hideout_near_his_home|беспокоится по поводу бандитов, которые рядом с ним обосновались.
; str_bandit_lair_quest_description|Find and destroy {s9} and report back to {s11}.
; str_reveal_ass|Someone attempted to murder you. You can try to find out who wanted you dead by meeting the killers' contact in {s3}.
; str_reveal_ass2|The contact has given away the lord who ordered the assassination - it is {s9}. It's time to confront the lord directly.
str_bandit_hideout_preattack|Вы приближаетесь к бандитскому логову. Похоже, что {s4} еще не заметили вас, и вы можете подкрасться поближе. Трудный доступ к этому месту - {s5} - означает, что пойти в атаку смогут лишь некоторые члены вашего отряда, и то без лошадей. Если вашу атаку успешно отразят, {s4} разбегутся в разные стороны. Желаете ли вы напасть на логово или подождете другого случая?
str_bandit_hideout_failure|{s4} отражают вашу атаку. Вы перегруппировываетесь и собираетесь нанести очередной удар, как вдруг обнаруживаете, что они разбежались в разные стороны и скрылись. Понятно, что ваше нападение не помешало им нападать на беззащитных путников.
; str_bandit_hideout_success|With their retreat cut off, the {s4} fall one by one to your determined attack. Their hideout, and their ill-gotten gains, is now yours.
str_bandit_approach_defile|вниз по узкому ущелью
str_bandit_approach_swamp|в самую глубину болота
str_bandit_approach_thickets|через густые заросли кустарника
str_bandit_approach_cliffs|вверх по скалам вдоль обрыва
str_bandit_approach_cove|вдоль потока мимо скалистых утесов
str_political_explanation_lord_lacks_center|В этом случае надел должен перейти к лорду, у которого нет ни земель, ни доходов.
str_political_explanation_lord_took_center|В этом случае крепость должна перейти тому, кто захватил ее.
str_political_explanation_most_deserving_friend|В этом случае мне было достаточно оглядеть всех моих друзей и приспешников и решить, кто из них более всего достоин этого надела.
str_political_explanation_most_deserving_in_faction|В этом случае мне пришлось мысленно представить всех местных лордов и решить, кто более всего достоин получить надел.
; str_political_explanation_self|In the absence of any other clear candidate, I nominate myself.
str_political_explanation_marshal|Я выбираю наиболее доблестного из наших дворян, кому я могу доверять и чье имя не запятнано в раздорах.
str_prisoner_at_large|большой, после того, как захватчики побеждены в бою. Я считаю, что ваш друг скоро объявится.
str_quick_battle_scene_1|Крестьянский дом
; str_quick_battle_scene_2|Welsh Village
str_quick_battle_scene_3|Перевал Алатау
; str_quick_battle_scene_4|Tom Tun Burh
; str_quick_battle_scene_5|Skagerrak
; str_quick_battle_scene_6|The North Sea
; str_quick_battle_scene_7|Kennemer Port
; str_quick_battle_scene_8|Battle Scene 6
; str_quick_battle_scene_9|Battle Scene 7
; str_quick_battle_scene_10|Battle Scene 8
; str_quick_battle_scene_11|Battle Scene 9
; str_quick_battle_troop_1|Bodo, servitor to the kings of Asturias, is on a secret mission to the lands of the north.
; str_quick_battle_troop_2|Sven, hersir in the service of Sigurd Snake-in-the-Eye, rides in the prow of his master's ship. He has a well deserved reputation for ruthlessness and cruelty, running slaves and demanding protection money from Friese to Alba.
; str_quick_battle_troop_3|Cerball mac Dunlainge, head of one of the larger petty kingdoms in Ireland, has won independence from Munster through capable arms and even more capable playing of the various Goidelic (Irish) and Viking factions against one another. Now that he possesses riches and mercenaries from the Viking settlement at Waterford, will he become overlord of Ireland?
; str_quick_battle_troop_4|Artorius, a champion of Rhodri Mawr, helps his master to attempt once again to unify the factious Britons of Wales. It is not a project of expansion but survival against their ancient enemies, the Angles and Saxons, and now the new threat of Vikings.
; str_quick_battle_troop_5|Cinead is named after the chieftain who unified Alba after the old rival dynasties of the Picts and Dal Riata were virtually destroyed by Vikings in a three-way battle in 839. He is one of the few who retain the ancient tradition of horsemanship in these parts, fast disappearing as the Vikings displace his people from the low-lying areas to the southwest.
; str_quick_battle_troop_6|Oswald is a thegn in the Saxon levy, commanding a large group of ceorls who rent his lands. While the glory goes to the kings, it is the solid officers like him that actually protect West Seaxe.
; str_quick_battle_troop_7|Hildr comes from a persistent tradition among Germanic peoples of women fighters, called skjaldmo, or shield maidens, by the Danes. Her comrades accept her none too grudgingly, as it is whispered she has harnessed the power of runes from wizards in far-off Finland.
; str_quick_battle_troop_cam|Watch the AI play the battle out. The camera uses the standard movement and rotation controls, plus F for up and V for down, +/- for zoom, Q to toggle follow terrain, numpad for game speed, mouse wheel for camera speed, arrow key rotation, Y to toggle invert y-axis, and R to toggle rotate-before-pan.
; str_strategy_cam|This camera follows the player. One may increase distance with the F key and reduce it with the V key. +/- for zoom, numpad for game speed (when cheats are enabled), and mouse wheel for camera speed.
; str_tutorial_training_ground_intro_message|Walk around the training field and speak with the fighters to practice various aspects of combat. You can use ASDW keys to move around. To talk to a character, approach him until his name appears on your screen and then press the F key. You can also use the F key to pick up items, open doors and interact with objects. Press the Tab key to exit the tutorial any time you like.
