; qstr_Breaking_camp...|Breaking camp...
; qstr_Your_efforts_to_conv|Your efforts to convert people have failed miserably.
qstr_You_fail_to_steal_an|Você não conseguiu roubar gado.
; qstr_You_drive_away_{reg1|You drive away {reg17} head of cattle from the village's herd.
; qstr_People_aren_t_very_h|People aren't very happy with your presence in their home.
; qstr_^This_town_is_a_bast|^This town is a bastion of your faith.
; qstr__As_you_reach_the_sett| As you reach the settlement, you are greeted by your men.^{s15}
; qstr_{s11}^{s15}|{s11}^{s15}
; qstr__As_you_reach_the_settl| As you reach the settlement, you are greeted by men loyal to {s7}.^{s15}
; qstr__This_fort_seems_to_| This fort seems to belong to no one.^{s15}
; qstr_You_are_greeted_by_m|You are greeted by men loyal to you.^{s15}
; qstr_You_are_greeted_by_me|You are greeted by men loyal to {s7}.^{s15}
; qstr__This_town_seems_to_| This town seems to belong to no one.^{s15}
qstr__You_have_successful|Você conseguiu entrar furtivamente.
qstr_{s13}_A_tournament_w|{s13} Haverá um torneio aqui em breve.
qstr_{s10}_{s14}^{s11}{s1|{s10} {s14}^{s11}{s12}{s13}
; qstr_An_expensive_horse_i|An expensive horse is awarded to you for your victory.
; qstr_A_fat_cow_is_awarded|A fat cow is awarded to you for your victory.
; qstr_You_are_given_a_beau|You are given a beautiful shirt of mail adorned with a pelt, as befits a mighty warlord.
; qstr_They_give_you_a_fine|They give you a fine sword, worthy of a noble.
; qstr_They_appreciate_your|They appreciate your participation in the competition and place a wreath of laurel on your head.
; qstr_Moreover_you_earn_{r|Moreover, you earn {reg8} peningas from the clever bets you placed on yourself...
qstr_Victory_is_yours!_Yo|A vitória é sua! Você venceu este combate, mas agora deve se preparar para a próxima partida.
; qstr_You_have_been_bested|You have been bested in this melee, but the master of ceremonies gives special recognition to your skill and bravery, allowing you to take part in the next round. 
; qstr_You_were_beaten._The|You were beaten. The peasants are heartened by their success, but the lesson you wanted to teach them probably didn't get through...
; qstr_After_beating_your_l|After beating your last opponent, you explain to the peasants how to defend themselves better against such an attack. You hope that they will take the experience to heart and be better prepared next time.
; qstr_The_bandits_are_brok|The bandits are broken! Those few who remain alive and conscious run off with their tails between their legs, terrified of the peasants and their new champion.
; qstr_Can_t_merge_both_fle|Can't merge both fleets because your sea-king skill isn't high enough.
; qstr_Can_t_merge_both_flee|Can't merge both fleets because this would exceed the fleet limit of seven ships.
; qstr_Fleets_merged.|Fleets merged.
; qstr_The_trader_you_are_e|The trader you are escorting does not want to use a ferry.
; qstr_The_ferry_station_is|The ferry station is too small and can't transport a marshal and his whole army.
; qstr_You_can_t_enter_the_|You can't enter the port because you are not welcome in this town.
; qstr_You_can_t_enter_the_p|You can't enter the port because you are not welcome in this town. Moreover, this town can't be attacked from its sea side.
; qstr_You_can_t_enter_the_po|You can't enter the port. You already have a fleet in the port and your sea-king skill isn't high enough to merge both fleets.
; qstr_You_can_t_enter_the_por|You can't enter the port. You already have a fleet in the port and you can't merge both fleets because this would exceed the fleet limit of seven ships.
; qstr_You_already_have_a_f|You already have a fleet in the port. Do you want to merge both fleets?
; qstr_Unfortunately_{reg3?|Unfortunately, {reg3?You are:{s1} is} unable to find any trade goods that would bring a profit.
; qstr_^Buying_{s4}_here_an|^Buying {s4} here and selling it at {s5} would bring a profit of {reg6} peningas per item.{s3}
; qstr_{reg3?You_find:{s1}_|{reg3?You find:{s1} finds} out the following:^{s3}
; qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} earned {reg0} experience.
; qstr_{s2}^{s1}_earned_an_|{s2}^{s1} earned an additional {reg0} experience.
; qstr_^You_earned_{reg0}_e|^You earned {reg0} experience.{s2}
; qstr_The_training_didn_t_|The training didn't go well at all.
; qstr_The_training_didn_t_g|The training didn't go very well.
; qstr_The_training_went_qu|The training went quite well.
; qstr_The_training_went_ve|The training went very well.
; qstr_The_training_went_pe|The training went perfectly.
; qstr_You_fall_on_the_grou|You fall on the ground with multiple injuries. Each time your heart beats more slowly and your vision fades away... This battle was too much for you, and death rides to meet you.^^While life escapes, you hope that someone will just remember that there was once someone special called {playername}.
; qstr_After_losing_the_sea|After losing the sea battle, you manage to escape with one of your ships.
qstr_Your_enemies_take_yo|Seus inimigos levam você como um prisioneiro.
qstr_{s13}_asked_you_to_r|{s13} pediu que você se apresentasse a ele com pelo menos {reg13} tropas.
qstr_{s13}_ordered_you_to|{s13} ordenou que você se junte ao ataque a {s14}.
; qstr_Kingdom_Fails_to_Res|Kingdom Fails to Respond: The {s1} has not responded to the {s2}'s provocations, and {s3} suffers a loss of face among {reg4?her:his} more bellicose subjects...
; qstr_There_has_been_an_al|There has been an alleged border incident: {s9}
; qstr_There_has_been_an_all|There has been an alleged border incident: the people of the {s4} are considering war against the {s3}.
; qstr_Border_incident:_Wor|Border incident: Word reaches you that {s9}. Though you don't know whether or not the rumors are true, you do know one thing -- this seemingly minor incident has raised passions among the people of the {s4}, making it easier for them to go to war against the {s3}...
; qstr_The_great_lords_of_y|The great lords of your kingdom plan to gather at the great hall of {s15} in {s10} for a feast
; qstr_^{s64}^|^{s64}^
; qstr_^^Note_that_as_long_|^^Note that as long as you remain marshal, the lords of the realm will be expecting you to lead them on campaign. So, if you are awaiting a feast, either for a wedding or for other purposes, you may wish to resign the marshalship by speaking to your liege.
; qstr_Strange..._You_ve_be|Strange... You've been asleep, but you can't remember any nightmares. What you remember clearly are Viking warriors boarding the Woden Ric, plunging their weapons into the bodies of the captain and sailors, and Bodo, the Cantabrian, defending himself like a lion until cornered. You hear his words in your consciousness, '{playername}! Fight! I am yet with you!'^^You remember the death -- your death -- when your enemies fell upon you. You still feel the wooden floor of the boat smash into your cheek before you could hardly breathe a goodbye to the world. Your eyes met your mother's, just before the end, as a huge Viking, dressed in iron -- could he be Sven? -- cracked her head with his spear and threw her body to the side.^^You crawled, leaving a trail of blood, preferring to give your body to the fish, but you remember no more.^^Are you dead? But if you're dead, why do you feel the sore muscles of your body, or the heat from a nearby fire? How is it that you can clench your hands, open your eyes and distinguish the beams of a roof over you?^^And if you're alive, who has saved you, why and how?
; qstr_It_is_night_and_the_|It is night, and the monastery seems quiet.
; qstr_The_monks_bless_you_|The monks bless you, and you continue on your way.
; qstr_You_don_t_have_enough_|You don't have enough silver. How embarrassing!
; qstr_You_need_to_have_more_m|You need to have more men for this.
; qstr_It_is_night_and_the_h|It is night, and the hof seems quiet.
; qstr_The_gothi_has_sacrif|The gothi has sacrificed animals to appease the gods on your behalf.
; qstr_You_are_now_a_pagan_a|You are now a pagan, a follower of Odin and the other Norse gods.
; qstr_The_majority_of_your|The majority of your troops is Pagan and supports your action.
; qstr_The_majority_of_your_|The majority of your troops is Christian and hates your action.
; qstr_In_the_arms_of_the_d|In the arms of the dead abbot, your men find 'The Cathach of Colum Cille.'
; qstr_The_majority_of_your_t|The majority of your troops are Christian and support your action.
; qstr_The_majority_of_your_tr|The majority of your troops are pagan and hate your action.
; qstr_{s3}_is_in_danger._S|{s3} is in danger. Save the village from Sven Bull Neck's assault, before the village is destroyed! You will need a good number of troops to repel the Viking attack!
; qstr_Return_to_{s3}_and_i|Return to {s3} and interrogate the prisoner.
; qstr_Return_when_you_have|Return when you have fifty-five or fewer men in your party.
; qstr_You_have_saved_{s3}.|You have saved {s3}. Perhaps now is a good time to ask {s9} about his involvement with Sven.
; qstr_{s9}_did_not_come_to|{s9} did not come to the aid of {s3}. Thonkrik suspects that the jarl is in an alliance with Sven Bull Neck. Maybe it's time to talk to him, or you can go directly to the king to tell him about {s9}'s betrayal.
; qstr_Loot_Thiaderd_s_camp|Loot Thiaderd's camp.
; qstr_Ahead_in_a_small_cam|Ahead, in a small camp, there are some women and children, the families of the rebels. They look scared, not knowing where to flee.^^Among these people are the wife and son of Thiaderd. It is a difficult choice. Maybe they will seek revenge in the future, but they aren't warriors.
; qstr_A_small_camp_stands_|A small camp stands next to a river. You see women and children between the cottages, watching warily. A number of men, few in number but with an aggressive demeanor, come to meet you. A very tall man leads them.
; qstr_Note_2:_You_chose_to|Note 2: You chose to kill Thiaderd's wife and son.
; qstr_Thiaderd_is_dead._Yo|Thiaderd is dead. You've accomplished your mission.
; qstr_Note_2:_You_chose_to_|Note 2: You chose to respect the life of Thiaderd's wife and son.
; qstr_Note_2:_You_chose_to_l|Note 2: You chose to leave Thiaderd's wife and son alive.
; qstr_You_need_room_for_at|You need room for at least one more member in your army to continue!
; qstr_^^In_the_middle_of_t|^^In the middle of the fort, you see some prisoners prepared for sale. Could your mother be among them?
; qstr_Note_2:_In_Sven_s_hi|Note 2: In Sven's hideout, you found Bodo, one of the travelers from the Woden Ric. Thanks to Bodo, you learn the fate of Woden Ric after the Viking attack. Your mother is still alive, thanks to the item Bodo gave her, but the item made her very valuable to the Vikings.
; qstr_Return_when_you_have_|Return when you have thirty or fewer men in your party.
; qstr_You_think_of_Thora_w|You think of Thora, who visits you every night, a beautiful woman who could give you many children.
; qstr_You_think_of_Thora_wh|You think of Thora, who visits Egil every night. She is a beautiful woman protected by her father. She does not have to worry about anything other than being happy.
; qstr_You_think_of_Thora_a|You think of Thora, a beautiful woman protected by her father. She does not have to worry about anything other than being happy.
; qstr_One_of_the_greatest_|One of the greatest battles known between West Seaxe and the Danes was fought here. You have memories of that day, because you took part in it.
; qstr_This_place_destroyed|This place, destroyed by your men, is nothing but ash and rubble.
; qstr_Garrison:_{reg5}__li|Garrison: {reg5} (limit: {reg0})^^ Having your men garrison the refuge, like for castles and cities, allows them to rest away from the dangers of road and battle and reduces their maintenance cost.
; qstr_You_need_to_hire_a_c|You need to hire a cook first.
; qstr_It_is_night_and_your|It is night, and your refuge seems quiet, with some men watching while others are asleep.
; qstr_Your_garrison_size_e|Your garrison size exceeds the maximum allowed number of soldiers that can be stationed at your refuge. This will produce discontent among men and desertions!
; qstr_Garrison_limit:_{reg|Garrison limit: {reg0}
; qstr_The_ramshackle_priso|The ramshackle prison at your refuge is not very secure. Your captain suggests not to keep lords here!
; qstr_You_do_not_have_enoug|You do not have enough money to pay men to demolish your refuge.
; qstr_Refuge_demolished!|Refuge demolished!
; qstr_Your_men_think_you_v|Your men think you've done an honorable thing by paying for Egil's funeral expenses, despite that he turned against you.
; qstr_Note_Egil:_Egil_turn|Note Egil: Egil turned against you when you decided to give the letter to West Seaxe. He attacked you, and you had to kill him. As he was loved by all, you decided to pay for and attend his funeral.
; qstr_Your_men_think_you_ve|Your men think you've done an honorable thing by paying for Egil's funeral expenses, despite how he turned against you.
; qstr_Message|Message
; qstr_Your_men_cry_for_Egi|Your men cry for Egil's betrayal, and they mourn his death. Many of them liked him; some would have liked him as a leader.
; qstr_Note_Egil:_Egil_turne|Note Egil: Egil turned against you when you decided to give the letter to West Seaxe. He attacked you, and you had to kill him. You let your men bury him.
; qstr_Your_men_cry_for_Egil|Your men cry for Egil's death, but they obey your orders. Now they think you're a tough leader who does not forgive traitors.
; qstr_Note_Egil:_Egil_turned|Note Egil: Egil turned against you when you decided to give the letter to West Seaxe. He attacked you, and you had to kill him. You didn't even let your men bury him.
; qstr_Shortly_after_landin|Shortly after landing, as if he had been watching you, a messenger appears riding towards you. You notice the dark circles under his eyes, as if he went days without sleeping, and his horse seems to be on the verge of exhaustion. Finally, he takes a breath and exclaims:^^
; qstr_{s4}_{playername}_my|{s4}'{playername}, my jarl, Rathbarth Ragnarsson, has dispatched messengers to find you after merchants brought news that you had left Frankia for Englaland. He wants you to join his brother Halfdan in Readingum, as he is leading a final assault on West Seaxe. We advanced from East Engle with a great army and set up a fortified camp at Readingum. We plundered the area, but Aethelred and Aelfred gathered the fyrd in Witan Ceaster and attacked us. Luckily, they were repelled.^^Now the king of West Seaxe, assisted by his brother Aelfred, has retreated west, to Aescesdun, where they gather a huge army to fight us. Your help is needed, as Halfdan wants to go against them before they get more men. We fear that this will be the mother of all battles! If we win, West Seaxe will be ours!^^Jarl Rathbarth told me especially to mention that Sven Bull Neck is with Aelfred and fights in his army.'
; qstr_{s4}_{playername}_my_|{s4}'{playername}, my ealdorman, Aelfred Aethelwulfing, has dispatched messengers to find you after merchants brought news that you had left Frankia for Englaland. He wants you to join him as soon as possible. He is moving around the kingdom to gather an army as the Danish advance against West Seaxe.^^They advanced from East Engle with a great army and set up a fortified camp at Readingum, from where they plundered the area. Our king, Aethelred, and Aelfred gathered the Fyrd in Witan Ceaster and attacked the Danish in Readingum, but they were repelled. Now they are in Aescesdun gathering men and preparing to face the Danish again! God protect us, we will go against the Danish with the entire fyrd! If this fails, West Seaxe will be lost with the rest of Englaland!^^Ealdorman Aelfred told me especially to mention that Sven Bull Neck is with Halfdan and fights in his army.'
; qstr_You_met_Orm_the_Blac|You met Orm the Black in single combat and killed him.
; qstr_Your_party_has_gaine|Your party has gained morale.
; qstr_You_met_{s1}_in_sing|You met {s1} in single combat and won.
; qstr_This_warrior|This warrior
; qstr_The_enemy_party_has_|The enemy party has lost morale.
; qstr_You_met_{s1}_in_singl|You met {s1} in single combat and lost.
; qstr_Your_party_has_lost_|Your party has lost morale.
; qstr_The_low_morale_of_yo|The low morale of your army has led some men to conspire against you. One of your warriors committed the imprudence of talking too much while you could hear him. Feeling exposed, the warrior has insulted you publicly and has challenged you to a duel for leadership... A duel to the death.
; qstr_The_problems_of_mora|The problems of morale of your army have moved one of your warriors to propose himself a candidate to replace you. He has challenged you to a duel to the death...
; qstr_Morale_is_so_low_a_w|Morale is so low, a warrior insults you when you go near him, accusing you of being a bad leader. Then he challenges you to a duel. The victor occupies your post.
; qstr_The_Assembly_has_tak|The Assembly has taken up your case. You must quickly go to the assembly near {s3}, lest they decide against you.
; qstr_Note_Reginhard:_Regin|Note Reginhard: Reginhard betrayed you before the Assembly, and you had to kill him in a holmgang decreed by the Assembly.
; qstr_Note_Egil:_Reginhard_be|Note Egil: Reginhard betrayed you before the Assembly, but you forgave him. However, Egil did not accept your decision, and you had to kill him in a holmgang by the laws of the Assembly.
; qstr_The_holmgang_is_over|The holmgang is over. It's time to meet Asbjorn in {s3}.
; qstr_Before_you_left_for_|Before you left for your trip to Frankia, someone sent a messenger to inform you that someone will meet you at a place called Boar Grove, near {s3}. There you must find the house of the lumberjack.
; qstr_Through_the_trees_yo|Through the trees, you can barely see a hut. The trees sough gently in the wind, and some birds sing, but you see no one.
; qstr_Through_the_trees_you|Through the trees, you can barely see the hut, now empty, where you met Beda.
; qstr_You_arrive_at_a_deep|You arrive at a deep forest.
; qstr_Through_the_trees_you_|Through the trees, you can barely see the hut, now abandoned since you killed the old hero who once lived in it.
; qstr_You_stay_hidden_watc|You stay hidden, watching the camp from afar and avoiding Saxon lookouts and patrols.
; qstr_You_stay_hidden_watch|You stay hidden, watching the camp from afar and avoiding Danish lookouts and patrols.
; qstr_Aelfred_gives_the_or|Aelfred gives the order, and horns call men outside the camp. You follow the brother of the king of West Seaxe outside, where his men have formed the ranks. They are led by officers and waiting.^^There is a tense silence filled with nerves and worry. The Saxon warriors know that the fate of West Seaxe hangs by a thread. If they fall defeated, nothing will keep the Danish from plundering their houses and enslaving their families.
; qstr_Halfdan_gives_the_or|Halfdan gives the order, and horns call men outside the camp. You follow Ragnar's son outside, where his men have formed ranks. They are led by officers and waiting.^^The Danish warriors are animated and some even joke, motivated by the recent victory over their enemies, but all voices fall silent when Halfdan arrives before them.
; qstr_West_Seaxe|West Seaxe
; qstr_Danish|Danish
; qstr_You_notice_that_Aelf|You notice that Aelfred is coming towards you. It was he who saved the day with his charge when the Danish tried to gain the hill. Without that improvisation, probably you would all be dead now...
; qstr_Halfdan_walks_toward|Halfdan walks towards you. You see him covered in blood, but he is smiling. He knows that without you and your army, he would have lost that battle.
; qstr_Your_followers_decid|Your followers decided to leave you.
; qstr_You_chose_to_dispers|You chose to disperse your followers.
; qstr_You_notice_that_a_gr|You notice that a group of men approaching you. It is led by a tall man. This must be Eadric, the man mentioned by Aelfred.
; qstr_You_notice_that_a_gro|You notice that a group of men approaching you. It is led by a tall man. This must be Arnvid, the man mentioned by Halfdan.
; qstr_You_aren_t_ready_to_|You aren't ready to face Sven. Return when you have over one hundred men in your shield wall.
; qstr_The_abbot_of_Finian_n|The abbot of Finian, near {s3} in Eriu, has asked for your presence. Apparently, he has an important mission to offer. He is offering 1000 peningas just for you to appear in front of him.
; qstr_The_other_two_champi|The other two champions have followed Morrigan to her lair and sent a messenger to inform you where they are. They await your arrival before attacking. The moment is here to go to Morrigan's lair.
; qstr_Near_the_end_of_the_|Near the end of the world, where the waves beat the cliffs and the albatrosses nest, there is a little rough valley, barely visible from a distance. A cave is hidden there. You cannot control it; Morrigan song resonates in your head, and you feel your lips move to it. It breathes magic...^^Far from the cave, half hidden by rocks, you can distinguish the two champions with a few men. They seem to have left the bulk of their army hidden elsewhere to avoid attracting attention. They wait.^^But when you take a step toward them, the song intensifies. This time, it is not in your mind... Morrigan's beasts attack you!
; qstr_The_battle_was_tough|The battle was tough and pushed you near the valley. Your men stayed behind, protecting the rear, because they realized numbers are useless in the narrow valley. It is time to seek the support of the other champions and move towards Morrigan before her forces reorganize.
; qstr_The_mystery_of_Morri|The mystery of Morrigan having been solved, it seems that the fog dissipates and the world regains its colors. You leave behind the cave and the terror.
; qstr_Mael_Bresail_s_farm_|Mael Bresail's farm is the typical Irish farmhouse -- a large main house with smaller buildings about it, all surrounded by a palisade.
; qstr_You_settle_into_the_|You settle into the seat of honor in the great hall of the house. The best mead and wine brought from Frankia are at your disposal. The tastiest dishes fill the room with their aroma and delight your palate. It is one of the best symbels you've ever enjoyed. Your men have fun, looking happy. The hours pass without you noticing.^^Suddenly, you realize that all the women have left the room. What is happening? A burning smell irritates your nostrils. When you investigate its origin, you see fire in the walls of the house. Someone yells, 'Fire!' The alarm is raised, but when one of your men rushes to the entrance, he finds the door barred from outside.^^Mael Bresail has betrayed you and tries to burn you inside. If you do not hurry to find a way out, everyone will die soon, suffocated by smoke and burned by fire.
; qstr_You_have_managed_to_|You have managed to escape the fire trap set by Mael Bresail to kill you, but it seems that you're not safe yet...
; qstr_Mael_Bresail_had_bet|Mael Bresail had betrayed you, but you escaped from the flames of his hall and defeated the men who had wanted to kill you. Now, this site only brings bad memories to mind.
; qstr_Part_of_your_food_wa|Part of your food was destroyed.
; qstr_Your_men_think_that_you_are_a_s|Your men think that you are a strong leader.
; qstr_While_your_messenger|While your messengers try to negotiate with the enemy raiders, a squad of your men appears by chance, and a battle begins. Your men manage to destroy the looters and fix the problem, but at the cost of some lives.^^Your casualties: {s8}^^Enemy casualties: {s10}
; qstr_The_enemy_raiders_ac|The enemy raiders accept the deal, take the money, and promise not to attack your supplies for some weeks.
; qstr_The_raiders_take_the|The raiders take the money, kill the messengers, and continue to damage your supply routes.
; qstr_You_don_t_have_enough_s|You don't have enough silver. You order water to be rationed and wells to be dug.
; qstr_the_enemy_thinks_rei|the enemy thinks reinforcements will soon arrive.
; qstr_fear_and_discontent_|fear and discontent are spreading inside.
; qstr_he_likes_the_wife_of|he likes the wife of his former master, and he will fight by your side if you give her to him after the conquest.
; qstr_the_enemy_s_morale_i|the enemy's morale is low, and we should attack.
; qstr_wergild_is_paid.|wergild is paid.
; qstr_The_wergild_is_paid_|The wergild is paid and your warrior whipped.
; qstr_Your_men_think_you_r|Your men think you're heartless and fear you.
; qstr_You_feel_happy.|You feel happy.
; qstr_You_feel_good_for_he|You feel good for helping.
; qstr_New_troops_join_your|New troops join your party.
; qstr_The_bandits_leave_an|The bandits leave, angry.
; qstr_Your_men_kill_all_th|Your men kill all the bandits.
; qstr_At_night_some_of_you|At night, some of your men make off with happy widows.
; qstr_Your_enemies_appreci|Your enemies appreciate your pity. Perhaps this will help you when you negotiate their surrender.
; qstr_You_know_that_in_the|You know that in the coming days, dozens of children, women and elderly will die before your eyes, languishing from hunger.
; qstr_Your_officer_seems_u|Your officer seems upset.
; qstr_Your_men_think_that_you_are_a_v|Your men think that you are a very strong leader.
; qstr_Your_officer_seems_h|Your officer seems happy.
; qstr_The_wife_is_pregnant|The wife is pregnant, and the officer asks for a high compensation. To avoid rumors and problems, you pay.
; qstr_{s1}_of_the_{s2}.|{s1} of the {s2}.
; qstr_A_messenger_approach|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. Your proposal has been accepted and {s10} has been released from captivity.'
; qstr_A_messenger_approache|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. Your proposal was not accepted and {s10} will remain captive. Here you have your money back.'
; qstr_A_messenger_approaches|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will meet you and will follow you as soon as possible.'
; qstr_A_messenger_approaches_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says you're not the one to give orders.'
; qstr_A_messenger_approaches_g|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says that it would hardly be proper as you don't have authority for it.'
; qstr_A_messenger_approaches_ga|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} has better things to do than follow your orders.'
; qstr_A_messenger_approaches_gal|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} is busy and cannot follow orders at this time.'
; qstr_A_messenger_approaches_gall|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will go to {s10} as soon as possible.'
; qstr_A_messenger_approaches_gallo|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message.: {s9} will go patrol around {s10} as soon as possible.'
; qstr_A_messenger_approaches_gallop|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will go patrol around {s10} as soon as possible.'
; qstr_A_messenger_approaches_gallopi|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will go to besiege {s10} as soon as possible.'
; qstr_A_messenger_approaches_gallopin|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says you're not one to give orders.'
; qstr_A_messenger_approaches_galloping|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says that would hardly be proper as you don't have authority for it.'
; qstr_A_messenger_approaches_galloping.|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was busy and did not receive me. His men threatened to kill me if I insisted.'
; qstr_A_messenger_approaches_galloping._|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} is surprised by your insult, especially when there was no enmity between you. He says that he will ignore it this time, but do not provoke him again.'
; qstr_A_messenger_approaches_galloping._H|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was greatly angered by your insult, falling fully under the provocation of your challenge. He called his men to arms, and I think he will advance against you.'
; qstr_A_messenger_approaches_galloping._He|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} has not fallen for your provocation. He answered to not waste more of his time.'
; qstr_A_messenger_approaches_galloping._He_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} has not fallen for your provocation, but he has retaliated with insults difficult to repeat but all very descriptive. And he said that if you had a problem for which you had the courage to look for him, he would love to teach you some manners.'
; qstr_A_messenger_approaches_galloping._He_s|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was busy and did not receive me. However, his men took the gift and divided it among themselves, threatening to kill me if I insisted on delivering your message.'
; qstr_A_messenger_approaches_galloping._He_st|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} thanks you for your gift, and says he will make the next feast in your honor.'
; qstr_A_messenger_approaches_galloping._He_sto|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} took your gift and gave it to his men, saying it is the tribute of a coward. His response was that he would be your enemy forever. Nothing can change that after everything that has happened between the two of you.'
; qstr_A_messenger_approaches_galloping._He_stop|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} is encouraged to know you have an interest in resolving the differences and bad relations between you. Although still there are many things to resolve, this is a good start, and he accepts your gift.'
; qstr_A_messenger_approaches_galloping._He_stops|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} did not accept the gift, but his men took me where I was going. Sorry, I lost the treasure.'
; qstr_A_messenger_approaches_galloping._He_stops_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} did not want to meet me, saying he was busy and does not like to discuss these things with a lowly messenger.'
; qstr_A_messenger_approaches_galloping._He_stops_i|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} accepts your alliance proposal. From now on, {s2} is your ally.'
; qstr_A_messenger_approaches_galloping._He_stops_in|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} accepts your truce proposal. From now on, {s2} and you are at peace.'
; qstr_A_messenger_approaches_galloping._He_stops_in_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} did not appear surprised by your declaration of war because you are scum whom nobody can trust.^^From now on, you are at war with {s2}'
; qstr_A_messenger_approaches_galloping._He_stops_in_f|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was very offended by your desire to provoke a war and promises to send messengers everywhere to publicize your villainy.^^From now on, you are at war with {s2}'
; qstr_A_messenger_approaches_galloping._He_stops_in_fr|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was very offended by your war declaration. He called you treacherous rat and said you would pay dearly.^^From now on, you are at war with {s2}'
; qstr_The_other_man_is_not|The other man is not very happy and criticizes you when you leave, generating unfavorable rumors.
; qstr_Neither_man_is_happy|Neither man is happy or unhappy. You seem to have found a balance.
; qstr_The_two_men_are_not_|The two men are not very happy and criticize you when you leave, generating unfavorable rumors.
; qstr_People_in_{s4}_think|People in {s4} think that you will not guarantee their families' protection against those who abuse their power under your favor. Rumors spread that you are a bad {reg59?lady:lord}.
; qstr_People_in_{s4}_think_|People in {s4} think that you will not guarantee their families' protection because the messenger will not be punished. Rumors spread that you are unjust.
; qstr_People_in_{s4}_think_t|People in {s4} think that you will not guarantee their families' protection because the messenger will not be punished, but at least their fellow citizen will not be punished. However, your men are not happy with your generosity to a man who attacked someone under your protection.
; qstr_People_in_{s4}_think_th|People in {s4} think that you will guarantee their families' protection, and they seem happy. However, you men are not happy that you will kill their companion.
; qstr_The_local_leader_is_|The local leader is upset with you and talks bad about you to the elites of {s4}.
; qstr_People_in_{s4}_are_s|People in {s4} are surprised by your drastic measures, and everyone seems more willing to follow your rules.
; qstr_Farmers_in_{s4}_are_|Farmers in {s4} are concerned about their daughters as you favor the powerful who take advantage of their weakness.
; qstr_Farmers_in_{s4}_are_r|Farmers in {s4} are reassured when you pay, while the local leader is happy not to be punished.
; qstr_The_outcome_of_the_t|The outcome of the trial has seriously shaken the people of {s4} and has called into question your authority.
; qstr_Your_men_think_you_re|Your men think you're a weak leader who is easily manipulated.
; qstr_Your_men_seem_uncomf|Your men seem uncomfortable, and some of them leave you. You should try to improve morale of the rest soon.
; qstr_Your_men_seem_uncomfo|Your men seem uncomfortable, but no one says a word. It looks like you got a little more respect, but should strive to improve their morale.
; qstr_Your_men_seem_uncomfor|Your men seem uncomfortable. You should try to improve morale of the rest soon.
