qstr_Breaking_camp...|Levantando el campamento...
; qstr_Note_Egil:_Egil_turne|Note Egil: Egil turned against you when you decided to give the letter to West Seaxe. He attacked you, and you had to kill him. You let your men bury him.
; qstr_Your_men_cry_for_Egil|Your men cry for Egil's death, but they obey your orders. Now they think you're a tough leader who does not forgive traitors.
; qstr_Note_Egil:_Egil_turned|Note Egil: Egil turned against you when you decided to give the letter to West Seaxe. He attacked you, and you had to kill him. You didn't even let your men bury him.
; qstr_Shortly_after_landin|Shortly after landing, as if he had been watching you, a messenger appears riding towards you. You notice the dark circles under his eyes, as if he went days without sleeping, and his horse seems to be on the verge of exhaustion. Finally, he takes a breath and exclaims:^^
; qstr_{s4}_{playername}_my|{s4}'{playername}, my jarl, Rathbarth Ragnarsson, has dispatched messengers to find you after merchants brought news that you had left Frankia for Englaland. He wants you to join his brother Halfdan in Readingum, as he is leading a final assault on West Seaxe. We advanced from East Engle with a great army and set up a fortified camp at Readingum. We plundered the area, but Aethelred and Aelfred gathered the fyrd in Witan Ceaster and attacked us. Luckily, they were repelled.^^Now the king of West Seaxe, assisted by his brother Aelfred, has retreated west, to Aescesdun, where they gather a huge army to fight us. Your help is needed, as Halfdan wants to go against them before they get more men. We fear that this will be the mother of all battles! If we win, West Seaxe will be ours!^^Jarl Rathbarth told me especially to mention that Sven Bull Neck is with Aelfred and fights in his army.'
; qstr_{s4}_{playername}_my_|{s4}'{playername}, my ealdorman, Aelfred Aethelwulfing, has dispatched messengers to find you after merchants brought news that you had left Frankia for Englaland. He wants you to join him as soon as possible. He is moving around the kingdom to gather an army as the Danish advance against West Seaxe.^^They advanced from East Engle with a great army and set up a fortified camp at Readingum, from where they plundered the area. Our king, Aethelred, and Aelfred gathered the Fyrd in Witan Ceaster and attacked the Danish in Readingum, but they were repelled. Now they are in Aescesdun gathering men and preparing to face the Danish again! God protect us, we will go against the Danish with the entire fyrd! If this fails, West Seaxe will be lost with the rest of Englaland!^^Ealdorman Aelfred told me especially to mention that Sven Bull Neck is with Halfdan and fights in his army.'
; qstr_You_met_Orm_the_Blac|You met Orm the Black in single combat and killed him.
; qstr_Your_party_has_gaine|Your party has gained morale.
; qstr_You_met_{s1}_in_sing|You met {s1} in single combat and won.
; qstr_This_warrior|This warrior
; qstr_The_enemy_party_has_|The enemy party has lost morale.
; qstr_You_met_{s1}_in_singl|You met {s1} in single combat and lost.
; qstr_Your_party_has_lost_|Your party has lost morale.
; qstr_The_low_morale_of_yo|The low morale of your army has led some men to conspire against you. One of your warriors committed the imprudence of talking too much while you could hear him. Feeling exposed, the warrior has insulted you publicly and has challenged you to a duel for leadership... A duel to the death.
; qstr_The_problems_of_mora|The problems of morale of your army have moved one of your warriors to propose himself a candidate to replace you. He has challenged you to a duel to the death...
; qstr_Morale_is_so_low_a_w|Morale is so low, a warrior insults you when you go near him, accusing you of being a bad leader. Then he challenges you to a duel. The victor occupies your post.
; qstr_The_Assembly_has_tak|The Assembly has taken up your case. You must quickly go to the assembly near {s3}, lest they decide against you.
; qstr_Note_Reginhard:_Regin|Note Reginhard: Reginhard betrayed you before the Assembly, and you had to kill him in a holmgang decreed by the Assembly.
; qstr_Note_Egil:_Reginhard_be|Note Egil: Reginhard betrayed you before the Assembly, but you forgave him. However, Egil did not accept your decision, and you had to kill him in a holmgang by the laws of the Assembly.
; qstr_The_holmgang_is_over|The holmgang is over. It's time to meet Asbjorn in {s3}.
; qstr_You_remember_that_yo|You remember that you need to bring Ragnar's seax for this mission.
; qstr_Before_you_left_for_|Before you left for your trip to Frankia, someone sent a messenger to inform you that someone will meet you at a place called Boar Grove, near {s3}. There you must find the house of the lumberjack.
; qstr_Through_the_trees_yo|Through the trees, you can barely see a hut. The trees sough gently in the wind, and some birds sing, but you see no one.
; qstr_Through_the_trees_you|Through the trees, you can barely see the hut, now empty, where you met Beda.
; qstr_You_arrive_at_a_deep|You arrive at a deep forest.
; qstr_Through_the_trees_you_|Through the trees, you can barely see the hut, now abandoned since you killed the old hero who once lived in it.
; qstr_You_stay_hidden_watc|You stay hidden, watching the camp from afar and avoiding Saxon lookouts and patrols.
; qstr_You_stay_hidden_watch|You stay hidden, watching the camp from afar and avoiding Danish lookouts and patrols.
; qstr_Aelfred_gives_the_or|Aelfred gives the order, and horns call men outside the camp. You follow the brother of the king of West Seaxe outside, where his men have formed the ranks. They are led by officers and waiting.^^There is a tense silence filled with nerves and worry. The Saxon warriors know that the fate of West Seaxe hangs by a thread. If they fall defeated, nothing will keep the Danish from plundering their houses and enslaving their families.
; qstr_Halfdan_gives_the_or|Halfdan gives the order, and horns call men outside the camp. You follow Ragnar's son outside, where his men have formed ranks. They are led by officers and waiting.^^The Danish warriors are animated and some even joke, motivated by the recent victory over their enemies, but all voices fall silent when Halfdan arrives before them.
; qstr_West_Seaxe|West Seaxe
; qstr_Danish|Danish
; qstr_You_notice_that_Aelf|You notice that Aelfred is coming towards you. It was he who saved the day with his charge when the Danish tried to gain the hill. Without that improvisation, probably you would all be dead now...
; qstr_Halfdan_walks_toward|Halfdan walks towards you. You see him covered in blood, but he is smiling. He knows that without you and your army, he would have lost that battle.
; qstr_Your_followers_decid|Your followers decided to leave you.
; qstr_You_chose_to_dispers|You chose to disperse your followers.
; qstr_You_notice_that_a_gr|You notice that a group of men approaching you. It is led by a tall man. This must be Eadric, the man mentioned by Aelfred.
; qstr_You_notice_that_a_gro|You notice that a group of men approaching you. It is led by a tall man. This must be Arnvid, the man mentioned by Halfdan.
; qstr_You_aren_t_ready_to_|You aren't ready to face Sven. Return when you have over one hundred men in your shield wall.
; qstr_The_abbot_of_Finian_n|The abbot of Finian, near {s3} in Eriu, has asked for your presence. Apparently, he has an important mission to offer. He is offering 1000 peningas just for you to appear in front of him.
; qstr_The_other_two_champi|The other two champions have followed Morrigan to her lair and sent a messenger to inform you where they are. They await your arrival before attacking. The moment is here to go to Morrigan's lair.
; qstr_Near_the_end_of_the_|Near the end of the world, where the waves beat the cliffs and the albatrosses nest, there is a little rough valley, barely visible from a distance. A cave is hidden there. You cannot control it; Morrigan song resonates in your head, and you feel your lips move to it. It breathes magic...^^Far from the cave, half hidden by rocks, you can distinguish the two champions with a few men. They seem to have left the bulk of their army hidden elsewhere to avoid attracting attention. They wait.^^But when you take a step toward them, the song intensifies. This time, it is not in your mind... Morrigan's beasts attack you!
; qstr_The_battle_was_tough|The battle was tough and pushed you near the valley. Your men stayed behind, protecting the rear, because they realized numbers are useless in the narrow valley. It is time to seek the support of the other champions and move towards Morrigan before her forces reorganize.
; qstr_The_mystery_of_Morri|The mystery of Morrigan having been solved, it seems that the fog dissipates and the world regains its colors. You leave behind the cave and the terror.
; qstr_Mael_Bresail_s_farm_|Mael Bresail's farm is the typical Irish farmhouse -- a large main house with smaller buildings about it, all surrounded by a palisade.
; qstr_You_settle_into_the_|You settle into the seat of honor in the great hall of the house. The best mead and wine brought from Frankia are at your disposal. The tastiest dishes fill the room with their aroma and delight your palate. It is one of the best symbels you've ever enjoyed. Your men have fun, looking happy. The hours pass without you noticing.^^Suddenly, you realize that all the women have left the room. What is happening? A burning smell irritates your nostrils. When you investigate its origin, you see fire in the walls of the house. Someone yells, 'Fire!' The alarm is raised, but when one of your men rushes to the entrance, he finds the door barred from outside.^^Mael Bresail has betrayed you and tries to burn you inside. If you do not hurry to find a way out, everyone will die soon, suffocated by smoke and burned by fire.
; qstr_You_have_managed_to_|You have managed to escape the fire trap set by Mael Bresail to kill you, but it seems that you're not safe yet...
; qstr_Mael_Bresail_had_bet|Mael Bresail had betrayed you, but you escaped from the flames of his hall and defeated the men who had wanted to kill you. Now, this site only brings bad memories to mind.
; qstr_Part_of_your_food_wa|Part of your food was destroyed.
; qstr_Your_men_think_that_you_are_a_s|Your men think that you are a strong leader.
; qstr_While_your_messenger|While your messengers try to negotiate with the enemy raiders, a squad of your men appears by chance, and a battle begins. Your men manage to destroy the looters and fix the problem, but at the cost of some lives.^^Your casualties: {s8}^^Enemy casualties: {s10}
; qstr_The_enemy_raiders_ac|The enemy raiders accept the deal, take the money, and promise not to attack your supplies for some weeks.
; qstr_The_raiders_take_the|The raiders take the money, kill the messengers, and continue to damage your supply routes.
; qstr_You_don_t_have_enough_s|You don't have enough silver. You order water to be rationed and wells to be dug.
; qstr_the_enemy_thinks_rei|the enemy thinks reinforcements will soon arrive.
; qstr_fear_and_discontent_|fear and discontent are spreading inside.
; qstr_he_likes_the_wife_of|he likes the wife of his former master, and he will fight by your side if you give her to him after the conquest.
; qstr_the_enemy_s_morale_i|the enemy's morale is low, and we should attack.
; qstr_wergild_is_paid.|wergild is paid.
; qstr_The_wergild_is_paid_|The wergild is paid and your warrior whipped.
; qstr_Your_men_think_you_r|Your men think you're heartless and fear you.
; qstr_You_feel_happy.|You feel happy.
; qstr_You_feel_good_for_he|You feel good for helping.
; qstr_New_troops_join_your|New troops join your party.
; qstr_The_bandits_leave_an|The bandits leave, angry.
; qstr_Your_men_kill_all_th|Your men kill all the bandits.
; qstr_At_night_some_of_you|At night, some of your men make off with happy widows.
; qstr_Your_enemies_appreci|Your enemies appreciate your pity. Perhaps this will help you when you negotiate their surrender.
; qstr_You_know_that_in_the|You know that in the coming days, dozens of children, women and elderly will die before your eyes, languishing from hunger.
; qstr_Your_officer_seems_u|Your officer seems upset.
; qstr_Your_men_think_that_you_are_a_v|Your men think that you are a very strong leader.
; qstr_Your_officer_seems_h|Your officer seems happy.
; qstr_The_wife_is_pregnant|The wife is pregnant, and the officer asks for a high compensation. To avoid rumors and problems, you pay.
; qstr_{s1}_of_the_{s2}.|{s1} of the {s2}.
; qstr_A_messenger_approach|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. Your proposal has been accepted and {s10} has been released from captivity.'
; qstr_A_messenger_approache|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. Your proposal was not accepted and {s10} will remain captive. Here you have your money back.'
; qstr_A_messenger_approaches|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will meet you and will follow you as soon as possible.'
; qstr_A_messenger_approaches_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says you're not the one to give orders.'
; qstr_A_messenger_approaches_g|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says that it would hardly be proper as you don't have authority for it.'
; qstr_A_messenger_approaches_ga|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} has better things to do than follow your orders.'
; qstr_A_messenger_approaches_gal|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} is busy and cannot follow orders at this time.'
; qstr_A_messenger_approaches_gall|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will go to {s10} as soon as possible.'
; qstr_A_messenger_approaches_gallo|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message.: {s9} will go patrol around {s10} as soon as possible.'
; qstr_A_messenger_approaches_gallop|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will go patrol around {s10} as soon as possible.'
; qstr_A_messenger_approaches_gallopi|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will go to besiege {s10} as soon as possible.'
; qstr_A_messenger_approaches_gallopin|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says you're not one to give orders.'
; qstr_A_messenger_approaches_galloping|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says that would hardly be proper as you don't have authority for it.'
; qstr_A_messenger_approaches_galloping.|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was busy and did not receive me. His men threatened to kill me if I insisted.'
; qstr_A_messenger_approaches_galloping._|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} is surprised by your insult, especially when there was no enmity between you. He says that he will ignore it this time, but do not provoke him again.'
; qstr_A_messenger_approaches_galloping._H|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was greatly angered by your insult, falling fully under the provocation of your challenge. He called his men to arms, and I think he will advance against you.'
; qstr_A_messenger_approaches_galloping._He|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} has not fallen for your provocation. He answered to not waste more of his time.'
; qstr_A_messenger_approaches_galloping._He_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} has not fallen for your provocation, but he has retaliated with insults difficult to repeat but all very descriptive. And he said that if you had a problem for which you had the courage to look for him, he would love to teach you some manners.'
; qstr_A_messenger_approaches_galloping._He_s|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was busy and did not receive me. However, his men took the gift and divided it among themselves, threatening to kill me if I insisted on delivering your message.'
; qstr_A_messenger_approaches_galloping._He_st|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} thanks you for your gift, and says he will make the next feast in your honor.'
; qstr_A_messenger_approaches_galloping._He_sto|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} took your gift and gave it to his men, saying it is the tribute of a coward. His response was that he would be your enemy forever. Nothing can change that after everything that has happened between the two of you.'
; qstr_A_messenger_approaches_galloping._He_stop|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} is encouraged to know you have an interest in resolving the differences and bad relations between you. Although still there are many things to resolve, this is a good start, and he accepts your gift.'
; qstr_A_messenger_approaches_galloping._He_stops|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} did not accept the gift, but his men took me where I was going. Sorry, I lost the treasure.'
; qstr_A_messenger_approaches_galloping._He_stops_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} did not want to meet me, saying he was busy and does not like to discuss these things with a lowly messenger.'
; qstr_A_messenger_approaches_galloping._He_stops_i|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} accepts your alliance proposal. From now on, {s2} is your ally.'
; qstr_A_messenger_approaches_galloping._He_stops_in|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} accepts your truce proposal. From now on, {s2} and you are at peace.'
; qstr_A_messenger_approaches_galloping._He_stops_in_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} did not appear surprised by your declaration of war because you are scum whom nobody can trust.^^From now on, you are at war with {s2}'
; qstr_A_messenger_approaches_galloping._He_stops_in_f|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was very offended by your desire to provoke a war and promises to send messengers everywhere to publicize your villainy.^^From now on, you are at war with {s2}'
; qstr_A_messenger_approaches_galloping._He_stops_in_fr|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was very offended by your war declaration. He called you treacherous rat and said you would pay dearly.^^From now on, you are at war with {s2}'
; qstr_The_other_man_is_not|The other man is not very happy and criticizes you when you leave, generating unfavorable rumors.
; qstr_Neither_man_is_happy|Neither man is happy or unhappy. You seem to have found a balance.
; qstr_The_two_men_are_not_|The two men are not very happy and criticize you when you leave, generating unfavorable rumors.
; qstr_People_in_{s4}_think|People in {s4} think that you will not guarantee their families' protection against those who abuse their power under your favor. Rumors spread that you are a bad {reg59?lady:lord}.
; qstr_People_in_{s4}_think_|People in {s4} think that you will not guarantee their families' protection because the messenger will not be punished. Rumors spread that you are unjust.
; qstr_People_in_{s4}_think_t|People in {s4} think that you will not guarantee their families' protection because the messenger will not be punished, but at least their fellow citizen will not be punished. However, your men are not happy with your generosity to a man who attacked someone under your protection.
; qstr_People_in_{s4}_think_th|People in {s4} think that you will guarantee their families' protection, and they seem happy. However, you men are not happy that you will kill their companion.
; qstr_The_local_leader_is_|The local leader is upset with you and talks bad about you to the elites of {s4}.
; qstr_People_in_{s4}_are_s|People in {s4} are surprised by your drastic measures, and everyone seems more willing to follow your rules.
; qstr_Farmers_in_{s4}_are_|Farmers in {s4} are concerned about their daughters as you favor the powerful who take advantage of their weakness.
; qstr_Farmers_in_{s4}_are_r|Farmers in {s4} are reassured when you pay, while the local leader is happy not to be punished.
; qstr_The_outcome_of_the_t|The outcome of the trial has seriously shaken the people of {s4} and has called into question your authority.
; qstr_Your_men_think_you_re|Your men think you're a weak leader who is easily manipulated.
; qstr_Your_men_seem_uncomf|Your men seem uncomfortable, and some of them leave you. You should try to improve morale of the rest soon.
; qstr_Your_men_seem_uncomfo|Your men seem uncomfortable, but no one says a word. It looks like you got a little more respect, but should strive to improve their morale.
; qstr_Your_men_seem_uncomfor|Your men seem uncomfortable. You should try to improve morale of the rest soon.
; qstr_Eventually_the_man_d|Eventually the man dies in torment while your soldiers try to force him to pay his taxes. His last words were, 'Boys, beyond, where you are, I am coming.' The city is shocked by his death, and many people complain about you in {s4}.
; qstr_The_man_seems_calmed|The man seems calmed by your words. You see in his eyes an infinite sadness, but he promises to pay his taxes in the memory of his boys.
; qstr_Your_renown_with_you|Your renown with your warriors suffers, as does your money bag, but the people of {s4} seem happy with the money you have given them.
; qstr_Your_men_push_the_cr|Your men push the crowd, injuring some. Suddenly, the people turn against them, causing some casualties before being dispersed.
; qstr_You_run_through_the_|You run through the back door while the crowd calls you a coward and miser, even as they continue to beg for money.
; qstr_People_think_the_mea|People think the measure is fair to both.
; qstr_The_tree_owner_is_no|The tree owner is not very happy and criticizes you when you leave, generating unfavorable rumors.
; qstr_The_man_who_cut_the_|The man who cut the trees is not very happy and criticizes you when you leave, generating unfavorable rumors.
; qstr_People_in_{s4}_are_h|People in {s4} are happy because you responded to their needs.
; qstr_People_in_{s4}_are_u|People in {s4} are unhappy with you because you don't respond to their needs.
; qstr_People_in_{s4}_appre|People in {s4} appreciate your help, but were expecting more.
; qstr_Although_the_local_l|Although the local leader supports your position in {s4}, your men think it is a disgrace to have the boy among them.
; qstr_Although_the_local_le|Although the local leader pays you well, your men think it is a disgrace to have the boy among them.
; qstr_The_local_leader_lev|The local leader leverages his position to undermine yours in {s4} as punishment for you not accepting his son.
; qstr_During_the_night_at_|During the night, at a fire ceremony and dance, the girl is burned as an offering to the gods.
; qstr_People_superstitious|People, superstitious, are angry with you. Some time later, you find out that another girl was sacrificed.
; qstr_The_physician_you_se|The physician you send manages to save some lives and prevent the epidemic from spreading to other areas.
; qstr_The_epidemic_wipes_o|The epidemic wipes out the population of the village. Although your measures prevented anyone from spreading the disease beyond {s4}, many lost relatives who lived in the village. The rumor spreads that you are a murderer.
; qstr_{s4}_is_a_Christian_|{s4} is a Christian settlement, and everyone obeys your orders quickly. Somehow it seems that your prayers are successful and the girl and the child survive.
; qstr_{s4}_is_a_pagan_sett|{s4} is a pagan settlement, and nobody obeys your orders. It seems that your prayers weren't necessary, for the girl and the child survive.
; qstr_{s4}_is_a_Christian_s|{s4} is a Christian settlement, and nobody obeys your orders. It seems that the wise-woman wasn't necessary, for the girl and the child survive.
; qstr_{s4}_is_a_pagan_settl|{s4} is a pagan settlement, and everyone obeys your orders quickly. Somehow, it seems that wise-woman's support let the girl and the child survive.
; qstr_Your_men_are_happy_t|Your men are happy that you are concerned about their welfare, especially when they make sacrifices for you.
; qstr_The_sum_is_enough_fo|The sum is enough for the local lord to fulfill his duty, but it is not munificent. The man is grateful, but not happy.
; qstr_Your_men_are_angry_t|Your men are angry that you do not back a man who spent his money to serve you. They fear that your stinginess will affect them next.
; qstr_The_rumor_that_you_r|The rumor that you refuse to buy the relic leads the faithful to curse your name.
; qstr_The_monk_is_removed_|The monk is removed from your presence, distressed. In {s4}, the inhabitants are happy that you respect their beliefs.
; qstr_The_relic_causes_a_s|The relic causes a stir among the faithful, who flock to see it and praise your name for its purchase.
; qstr_The_monk_is_happy_to|The monk is happy to use the relic to evangelize the pagans of {s4}. They, on the other hand, curse your name.
; qstr_The_rich_woman_s_hus|The rich woman's husband, who happens to be a large landowner in {s4}, becomes very angry with you and damages your reputation.
; qstr_The_poor_people_in_{|The poor people in {s4} get angry when you give the child to a rich woman without making a sincere determination.
; qstr_Everyone_in_{s4}_thi|Everyone in {s4} thinks you've been wise and just to find the mother of the child and return the baby, while punishing the liar without being influenced by her wealth.
; qstr_The_crowd_kills_the_|The crowd kills the rich woman. The rich woman's husband, who happens to be a large landowner in {s4}, becomes very angry with you and damages your reputation.
; qstr_The_poor_people_in_{s|The poor people in {s4} get angry when you give the child to a rich woman without making a sincere determination. Some disturbances ending in violence occur. During the fighting, many citizens die before retiring, but you also lose some men.
; qstr_The_people_of_{s4}_d|The people of {s4} do not want their children to starve for your tax, and are openly against you.
; qstr_The_people_of_{s4}_a|The people of {s4} are very happy for your help in hard times.
; qstr_The_people_of_{s4}_ar|The people of {s4} are angry that you don't care about their problems.
; qstr_The_people_of_{s4}_t|The people of {s4} think that this is bread for today and hunger for tomorrow, but they understand that these things happen.
; qstr_The_witch_leaves_the|The witch leaves the town for an unknown destination.
; qstr_The_witch_appreciate|The witch appreciates your confidence and leaves her old job to worship the old gods openly.
; qstr_The_witch_hunt_costs|The witch-hunt costs some innocent lives, causing unrest among the population.
; qstr_{s4}_is_a_Christian_se|{s4} is a Christian settlement, so in the end, your orders are obeyed.
; qstr_{s4}_is_a_pagan_settle|{s4} is a pagan settlement, so there is much anger when the tree is felled.
; qstr_{s4}_is_a_Christian_set|{s4} is a Christian settlement, and the murder of the missionary and his followers shocks the population. They are terrified of you.
; qstr_{s4}_is_a_pagan_settlem|{s4} is a pagan settlement, and the murder of the missionary and his followers is supported. Soon after, you find out that the missionary is canonized as Saint Cuthberh.
; qstr_The_missionary_and_h|The missionary and his followers leave {s4}, escorted by your men, without much fuss.
; qstr_Your_men_appreciate_|Your men appreciate your concern for their families.
; qstr_Your_men_are_unhappy|Your men are unhappy that you don't take care of their widows.
; qstr_Your_men_are_unhappy_|Your men are unhappy that you don't take care of their widows, but understand you are strapped at the moment.
; qstr_Your_men_are_upset_t|Your men are upset that you won't take care of their widows if they are killed.
; qstr_Your_men_are_happy_to|Your men are happy to hear that you care about their families.
; qstr_Your_men_are_very_ha|Your men are very happy that you protect their families.
; qstr_Your_followers_feel_|Your followers feel that you will protect them at any cost, but the people in {s4} are not very happy with your decision. They criticize you when you leave, generating unfavorable rumors.
; qstr_Your_followers_feel_t|Your followers feel that you do not protect them as they deserve for their services, but the people in {s4} are very happy with your decision. The rumor spreads that you are just.
; qstr_Your_followers_feel_th|Your followers feel that you do not protect them as they deserve for their services. The people in {s4} are not very happy with your decision. They criticize you when you leave, generating unfavorable rumors.
; qstr_To_arms!_Some_citize|To arms! Some citizens have revolted and try to kill you!
; qstr_Your_men_charge_down|Your men charge down the streets, using the sword at the slightest provocation, avenging their fallen fellows. A bloodbath ensues as the people of {s4} flee to their homes to hide.
; qstr_Your_men_are_very_an|Your men are very angry that you have taken no action against the murder of their fellows. Meanwhile, local leaders try to quell the hatred against you in {s4}.
; qstr_Mercilessly_your_men|Mercilessly your men kill anyone that crosses their way, then enter the houses, killing all men over 14 years of age. The fame of your cruelty travels as the wind. Fear seizes all who talk about you. Now {s4} is pacified, but the cost has been very high.
; qstr_Your_men_return_with|Your men return with 300 peningas and two survivors.
; qstr_A_messenger_sent_fro|A messenger sent from {s12} arrives and gives you a present of silver and jewelry in appreciation of your friendship.
; qstr_A_messenger_sent_from|A messenger sent from {s12} arrives and gives you a message with all kinds of insults and profanities, {s12} invites you to go and look for him if you have guts which {s12} believes you don't, as you're a notorious coward.
; qstr_Your_fame_grows_with|Your fame grows with the bard's song, but soon he replaces your name with that of another lord who pays him.
; qstr_Your_fame_grows_high|Your fame grows higher with the bard song.
; qstr_Beggars_everywhere_b|Beggars everywhere bless your name when you pass by and celebrate your generosity.
; qstr_Beggars_soon_tire_of|Beggars soon tire of following you.
; qstr_You_laugh_to_see_how|You laugh to see how sprightly these broken-down old fellows can actually run.
; qstr_The_young_noble_pref|The young noble prefers to flee rather than duel with you!
; qstr_The_word_spreads_tha|The word spreads that it is easy to insult you and diminish your reputation!
; qstr_The_woman_and_her_hu|The woman and her husband are happy for your generosity!
; qstr_Other_men_join_in_an|Other men join in and also leave to help their families.
; qstr_The_rumors_hurt_your|The rumors hurt your fame a little, but soon the merchant gets tired of your lack of interest.
; qstr_The_man_accepts_the_|The man accepts the money and stops circulating rumors.
; qstr_A_new_rumor_that_you|A new rumor that you're a murderer and a tyrant spreads among the population after the death of the merchant!
; qstr_The_animal_runs_free|The animal runs free without looking back.
; qstr_You_increase_your_me|You increase your meat reserves.
; qstr_Three_veterans_join_|Three veterans join your army.
; qstr_The_veterans_leave_d|The veterans leave, defaming your name.
; qstr_Among_the_bodies_you|Among the bodies, your men find 1000 peningas.
; qstr_A_group_of_six_women|A group of six women joins your army.
; qstr_The_crane_was_a_symb|The crane was a symbol of war for the ancient Celts. Your men are impressed by your knowledge and grateful that the gods are with them.
; qstr_Your_men_pass_by_the|Your men pass by the bird without noticing it.
; qstr_The_crane_was_a_symbo|The crane was a symbol of war for the ancient Celts. Your ignorance troubles your men, and they begin to doubt your fitness to lead.
; qstr_Your_men_resent_the_|Your men resent the punishment, but recognize your authority. The action sets a precedent for discipline.
; qstr_Offended_by_your_con|Offended by your contempt for his request, the farmer leaves and spreads the claim of your villainy.
; qstr_You_spend_time_with_|You spend time with the priest's wife, and when her husband returns, you escape to the stable without being seen!
; qstr_Three_Hirdmenn_join_|Three Hirdmenn join your army!
; qstr_The_man_s_eyes_sadly|The man's eyes sadly follow you while you go on your way.
; qstr_You_feel_good_for_hel|You feel good for helping him.
; qstr_When_you_give_him_ar|When you give him armor and food, he proves to be a mighty warrior.
; qstr_The_bandits_turn_awa|The bandits turn away, greatly disappointed.
; qstr_After_two_hours_the_|After two hours, the bandits return with some loot and someone's head...
; qstr_On_the_remains_of_a_|On the remains of a corpse are a sword and armor of a king. They turn out to be magnificent weapons, once the rust is removed to reveal their high quality. Now they are yours -- if you do not mind the bad luck that attends grave robbers.
; qstr_Someday_perhaps_you_|Someday, perhaps, you might have the honor of being buried like a king.
; qstr_Meat_is_a_welcome_ad|Meat is a welcome addition to the diet of your men.
; qstr_Two_berserkir_join_y|Two berserkir join your army!
; qstr_Two_ulfhednar_join_y|Two ulfhednar join your army!
; qstr_Your_men_gather_arou|Your men gather around, cheering and betting. The atmosphere is tense. Suddenly, the disputes around you become more widespread. Other men draw their weapons, and a fight on a larger scale ensues. Before you can impose order again, several men die.
; qstr_Your_reputation_incr|Your reputation increases among your men when you return to the road, leaving behind two corpses hanging from a tree.
; qstr_Your_men_complain_of|Your men complain of not being able to enjoy a good fight, seeing that drunkenness on campaign is punishable by few lashes.
; qstr_The_merchant_takes_t|The merchant takes the money and gives you a heavy package wrapped in a long cloth. When you unwrap it and discover that he has sold you a normal sword, the merchant is already well away.
; qstr_The_merchant_takes_h|The merchant takes his leave and goes back the way he came.
; qstr_Your_men_attack_the_|Your men attack the farm, kill the farmer and his slaves, and return with a bounty of food.
; qstr_Your_men_think_you_re_|Your men think you're a weak leader unable to take action against who insult him.
; qstr_The_men_take_the_mon|The men take the money and let you go on your way.
; qstr_Without_warning_you_|Without warning, you order your men to attack. The two strangers try to flee but are killed by your warriors. No one comes to reinforce them.
