str_yes|Sí.
str_also_one_another_good_news_is_any_civilians_did_not_wounded_during_fight| Además, nadie de nuestro lado ha resultado herido de gravedad. Ésas son buenas noticias
str_merchant_and_you_call_some_townsmen_and_guards_to_get_ready_and_you_get_out_from_tavern|Salís de la taberna y recorréis las calles. Jóvenes nerviosos se encuentran apostados en cada esquina. Podéis ver que llevan dagas y palos escondidos bajo su ropa, y percibís una mezcla de miedo, anticipación y orgullo en las miradas furtivas que os lanzan al pasar por su lado. Rezando para que vuestros enemigos no se hayan percatado de este conspicuo grupo de conspiradores, comprobáis vuestras armas una última vez y os preparáis para la acción que os aguarda.
str_town_fight_ended_you_and_citizens_cleaned_town_from_bandits|El resto de escasos bandidos se dispersa por los estrechos callejones de la ciudad, siendo alcanzados uno a uno por los furiosos ciudadanos. Tras aseguraros de que vuestra victoria ha sido completa y todos los heridos han sido atendidos, vos y el mercader os dirigís hacia su casa para repasar los eventos de la jornada.
; str_town_fight_ended_you_and_citizens_cleaned_town_from_bandits_you_wounded|You fall down with that last blow, unable to move and trying hard not to pass out. Soon the sounds of fighting filling the street gives way to the cheers of the townsmen and you realize with relief that your side won the day. Soon, friendly arms pick you up from the ground and you let yourself drift off to a blissful sleep. Hours later, you wake up in the merchant's house.
; str_seabattle_tutorial|You are the captain of the ship! You have to give commands:^> 'Up' and 'Down' keys to change the rowing speed.^> 'Right' and 'Left' keys to change the rudder direction.^> 'Enter' key to lower or set the sail.^> 'Backspace' key to change your point of view. ^^Don't hold the keys but click them several times to give the command you wish. In the upper right corner, you can see the last command you have given next to other information about the ship.
; str_bodo_animos|Bodo shouts, '{playername}! Fight! I am yet with you!'
; str_journey_to_reyvadin|You have reached Grantebrycge in the land of the East Engle. When you arrive, you see that people look at you with apprehension, and they reach for their weapons.^^Here live the Angles under the rule of Annan Eningen. This land doesn't know peace because the Angles of Mierce invade and destroy, killing people and kings and claiming the country as their own. Annan Ening is a Christian, a good Christian, but he has seen his brothers, kings before him, die under the sword of Penda, king of Mierce, and Annan hungers for revenge.
; str_journey_to_praven|Your steps lead you to the cold North. This country, known as Alt Clut, is big, hard and it has a landscape dominated by forests. Alt Clut is populated by Britons, strong and tough people accustomed to using both the plow and the spear.^^Here rules Bili ap Neithon, a descendant of an ancient lineage. Bili is nearly 50 years old, but he still is a hard and strong man.
; str_journey_to_jelkala|Welcome to Clochair, in the green land of Ireland. You are in the young Kingdom of Airgialla, forged in the heat of the sword when three warlike princes, called the Three Collas, made a conquest of a great part of Ulaid. Airgialla knows only war, because of a constant struggle with the Kingdom of Ulaid.^^In these days, it's ruled by Mael Odhar Caech, arrogant and bellicose. His reputation keeps enemies away, but what will happen when he dies?
; str_journey_to_sargoth|You get to Cantwaraburh, in Centware country, where Eadbald Aethelberthing rules. Their ancestors were Brytenwaldas, but he has lost the title that now holds a master of the North: Oswald of Bernaccia. Eadbald has good partnerships with the most powerful lords of Britain and even with the Franks. His country does not suffer from the war with regularity, the land is peaceful and prosperous. It is a good place to buy a piece of land, marry and see your children grow... for now.
; str_journey_to_tulga|You came by ship, skirting the cliffs where the Gwynedd highlands meet the sea. Soon you distinguish Din Gonwy, capital of the kingdom. Walking you see that the streets are dark and silent. The great king-warrior Cadwallon died two years ago, and Gwynedd is still mourning his death. He left a son, Cadwaladr, but he is still a child of three years old. The hard men of Gwynedd, considered among the strongest in Britain, have been summoned to war this year. They cry and wait, keeping sharp swords.^^There is a new master, Cadfael Cadomedd, which has displaced the son of Cadwallon and his mother's power. He says that they have returned to the glory days...
; str_journey_to_shariz|You are in Dun Iasgach, a powerful town in the Kingdom of Mumain in the south of Ireland. It is a rich land, with great forests and rivers teeming with fish. It could be a perfect place to live, but Ireland is a land of war, where clans fight for any reason, stealing cattle and women and killing the young warriors in fratricidal struggles.^^Mumain is ruled by Failbhe Flann mac Aedh. He is ambitious and wants more land and a weakened Kingdom of Laigin.
str_lost_tavern_duel_ordinary|Os desplomáis en el suelo tras recibir el último golpe brutal del borracho. La furia de vuestro atacante parece disiparse casi inmediatamente. Se deja caer en una silla y se queda observándoos, murmurando por lo bajo casi con remordimientos. Unos pocos clientes consiguen ponerle de nuevo en pie y sacarle por la puerta. Otro atiende vuestras heridas, y pronto también vos estáis de nuevo en pie, tambaleante pero con vida.
; str_lost_tavern_duel_assassin|You slump to the floor, stunned by your attacker's last blow. Slowly and deliberately, he kneels down by your side, pulling a long knife from under his clothes. But before he can finish you off, the tavern keeper, who seems to have regained his courage, comes up from behind and gives your attacker a clout behind the head. He loses his balance, and then, seeing that his chance to kill you has been lost, makes a dash for the door. He gets away. Meanwhile, the other tavern patrons bind your wounds and haul you to a back room to rest and recover.
; str_lost_startup_hideout_attack|You recover consciousness a short while later and see that the kidnappers are celebrating their victory with a cask of mead. They have forgotten to take a few elementary precautions -- like binding your hands and feet. You manage to slip away. Based on the boisterous sounds coming from the hideout, you suspect that you may yet have some time to gather a few more followers and launch another attack.
; str_as_you_no_longer_maintain_an_independent_kingdom_you_no_longer_maintain_a_court|As you no longer rule an independent realm, you can no longer maintain a court
str_rents_from_s0|Rentas de {s0}:
str_tariffs_from_s0|Tarifas de {s0}:
str_general_quarrel| Nos hemos enfrentado en muchas discusiones a lo largo de los años y eso ha hecho que nos llevemos mal.
; str_the_steppes|the plain
; str_the_deserts|the mountains
; str_the_tundra|the deep forest
str_the_forests|los bosques
str_the_highlands|las tierras altas
str_the_coast|la costa
str_my_lady_not_sufficient_chemistry|Mi señora, hay otras doncellas que han conquistado mi corazón.
str_my_lady_engaged_to_another|Mi señora, tengo entendido que ya estáis prometida a otro.
str_attempting_to_rejoin_party|intentando volver al grupo,
str_separated_from_party|fuera del grupo,
str_whereabouts_unknown|paradero desconocido
str_leading_party|dirigiendo un grupo
; str_court_disbanded|As you no longer rule an independent realm, your court has been disbanded
str_i_am_not_accompanying_the_marshal_because_will_be_reappointment| No acompaño al mariscal porque sospecho que nuestro gobernante pronto designará a otro para ese puesto.
str_persuasion_opportunity|Oportunidad para la persuasión.^Se precisa relación para el éxito automático: {reg4}^Relación actual: {reg5}^Probabilidad de éxito: {reg7}^Probabilidad de fallar {reg9} punto(s) de relación: {reg8}
str_marshal_warning|No estáis siguiendo a {s1}. No obstante, no sufriréis ninguna penalización.
str_follow_army_quest_brief_2|Vuestra misión ha finalizado. Podéis continuar siguiendo al ejército de {s9}, si deseáis que os asignen más misiones.
str_greetings_playername__it_is_good_to_see_you_i_hope_that_you_have_had_success_in_your_efforts_to_make_your_name_in_the_world| Me alegro de veros. Confío en que estéis cosechando éxitos ahí fuera, y labrándoos un nombre
; str_minister_advice_select_fief| Might I suggest that you select {s4}, as the vassals have been speculating about how you might assign it?
; str_minister_advice_select_fief_wait| Might I suggest that you wait until after you have appointed a marshal, as that will give time to the vassals to decide whom they wish to support?
str_minister_advice_fief_leading_vassal| {s4}, por cierto, ya ha recibido el apoyo de {reg4} de vuestros vasallos.
str_unassigned_center| (sin asignar)
str_s43_also_you_should_know_that_an_unprovoked_assault_is_declaration_of_war|{s43} Además, como monarca de vuestro reino, deberíais saber que este asalto constituye una declaración de guerra.
str_missing_after_battle|Desaparecido en combate
; str_retrieve_garrison_warning|^(Troops might not be retrievable if this fortress is awarded to someone else)
; str_s12s15_declared_war_to_control_calradia|{s12}{s15} may attack {s16} without pretext, as a bid to extend control over all of these lands.
str_offer_gift_description| mejorar mi posición ofreciéndole un regalo.
str_resolve_dispute_description| mejorar mi posición resolviendo una disputa.
str_feast_wedding_opportunity| Si vuestra prometida y su familia están presentes, ésta puede ser una buena oportunidad para vos de celebrar la boda.
; str_s21_the_s8_declared_war_as_part_of_a_bid_to_conquer_all_calradia|{s21}. The {s8} declared war with very little pretext, as part of a bid to conquer all of these lands.
; str_master_vinter|Master vintner
str_s54_has_left_the_realm|{s54} ha abandonado el reino.
str_enterprise_s5_at_s0|Ingresos netos de {s5} en {s0}
str_bread_site|molino
str_ale_site|fábrica de cerveza
; str_tar_kiln|tar kiln
; str_wine_cellar|cellar with wine imported from Frankia
str_tool_site|herrería
str_leather_site|curtiduría
str_linen_site|telar de lino
str_wool_cloth_site|telar de lana
; str_velvet_site|dye works
str_under_sequestration|Confiscado
; str_describe_secondary_input| In addition, you will also need to purchase {s11} worth {reg10} peningas.
str_profit|beneficio
str_loss|pérdida
str_server_name_s0|Servidor: {s0}
str_map_name_s0|Mapa: {s0}
str_game_type_s0|Tipo: {s0}
str_remaining_time_s0reg0_s1reg1|Tiempo restante: {s0}{reg0}:{s1}{reg1}
; str_you_are_a_lord_lady_of_s8_s9|{reg59?Lady:Lord} of the {s8}.^{s9}
; str_you_are_king_queen_of_s8_s9|Kingdom: {s8}.^{s9}
; str_you_are_a_lord_lady_of_s18_s19|{reg59?Lady:Lord} of the {s18}.^{s19}
; str_you_are_king_queen_of_s18_s19|Kingdom: {s18}.^{s19}
str_for_s4| para {s4}
str_cancel_fiancee_quest| También, deberías considerar que el asunto que te había pedido ha sido completado con éxito. No está ajustado para mi tu comisión respecto a las tareas.
str_a_duel_request_is_sent_to_s0|Una oferta de duelo es envíada a {s0}.
str_s0_offers_a_duel_with_you|{s0} quiere un duelo contigo.
str_your_duel_with_s0_is_cancelled|Tu duelo con {s0} es cancelado.
str_a_duel_between_you_and_s0_will_start_in_3_seconds|El duelo entre vos y {s0} comenzará en 3 segundos.
str_you_have_lost_a_duel|Has perdido el duelo.
str_you_have_won_a_duel|¡Has ganado el duelo!
str_server_s0|[SERVIDOR]: {s0}
str_disallow_ranged_weapons|Inhabilitar armas de tiro
str_ranged_weapons_are_disallowed|Armas de tiro están inhabilitadas.
str_ranged_weapons_are_allowed|Armas de tiro están habilitadas.
str_duel_starts_in_reg0_seconds|El duelo comienza en {reg0} segundos...
; str_circunvalation_none|>>There is no blockade. Men and supplies can enter and exit practically at will.^^
; str_water_poison_im|Your men could throw dead rats in the wells and other water sources. That would make the population and the garrison sick.
; str_cattle_kill_im|Your men could kill the cattle they have here and in nearby villages. That would drastically reduce their food reserves.^^Moreover, this would damage the prestige and income of the lord of this place.
; str_people_morale_im|Your men could spread rumors, leave the dead bodies of some locals at night in the square, and sow dissension among the defenders. This could also bring some men from their garrison to us.
; str_food_burn_im|Your men could burn their granaries. This would cause devastation in their food stocks.
; str_give_order|So Order
; str_no_money|You don't have enough money!
; str_hold|Drop the anchor and hold here!
; str_skirmish|Skirmish with the enemy!
; str_board|Close in and board the enemy ship!
; str_numberofships|{reg60}
; str_retreat_in_face_of_enemy|You disengage to find a better position to engage the enemy.^Your soldiers grumble.^Some even mutter about your apparent lack of courage when they think you can't hear them.
; str_retreat_from_fortress|You order your troops to disengage.^Everyone moves out of bow shot of the fortress walls, and the enemy destroys the siege ladders.^Your troops are upset by this; after all the effort it took to get into position and prepare the attack, they are unhappy about leaving the fortress in the enemy's hands.
; str_retreat_not_dead|You order your forces to disengage, judging the tactical situation to be hopeless.^Your force has lost this battle; your troops grumble loudly about your lack of nerve, and some openly question your leadership, which requires you to take action to restore discipline in your ranks.
; str_s7_scouts|Pictish Scouts
str_s7_foragers|Grupo rastreador
; str_s7_northern_picts|Northern Pictish Raiding Party
; str_raise_relation_with_village_tavern_built|Villagers of {s1} are happy! The building of the mead hall increased their loyalty.
; str_the_sun_rises|The sun rises.
; str_the_sun_sets|The sun sets.
; str_it_is_noon|It is noon.
; str_it_is_midnight|It is midnight.
; str_iniau_the_banished|A man known to the name of Iniau has insulted king Rhoedd. He used to be a member of Rhoedd's teulu, and he is a skilled fighter. Rhoedd wants you to find out Iniau and slay him. As a proof, you must bring back his horn to Rhoedd. Iniau has taken refuge in the land of Llan Heledd.
; str_busse|Busse
; str_skeid|Skeid
; str_karvi|Karvi
; str_snekkja|Snekkja
; str_knorr|Knorr
; str_byrding|Byrding
; str_ship_wood_1|Oak
; str_ship_wood_2|Pine
; str_ship_wood_3|Ash
; str_ship_name_1|Tranann
; str_ship_name_2|Ormurin Skamma
; str_ship_name_3|Ormurin Langi
; str_ship_name_4|Visundur
; str_ship_name_5|Ognabrandur
; str_ship_name_6|Olavssud
; str_ship_name_7|Langfredag
; str_ship_name_8|Kross-Sud
; str_ship_name_9|Mariusud
; str_ship_name_10|Kristsud
; str_ship_name_11|Barden
; str_ship_name_12|Barufakr
; str_ship_name_13|Ormen
; str_ship_name_14|Bokesuden
; str_ship_name_15|Reinen
; str_ship_name_16|Unnblakkr
; str_ship_name_17|Seglhundr
; str_ship_name_18|Bortlvalr
; str_ship_name_19|Fjardlinni
; str_ship_name_20|Svalbardi
; str_ship_name_21|Fiardakolla
; str_ship_name_22|Alptr
; str_ship_name_23|Saeulfr
; str_ship_names_end|ship names end
; str_cant_set_sail|You can't set sail. Your ships don't have room for {reg3} of your men.
; str_ship_tutorial_0|In this tutorial, you will learn how to control a ship. Take your time to learn how to command your crew, so you will be able keep a cool head in fast-developing naval battles.^^(Click * K * to continue.)
; str_ship_tutorial_1|In a naval battle, it often helps to get an overview.^^(Click * BACKSPACE * to get an overview.)
; str_ship_tutorial_2|You can look around by moving the mouse or get your perspective back on your ship by clicking * BACKSPACE * again.^^(Click * K * if you want to continue.)
; str_ship_tutorial_3|If you want to make your ship move, you can give the crew the command to row. The more crew you have, the more speed you will gain through rowing.^^You can give commands to row forward, to row fast forward, to stay or to row backwards. Click the * UP * or the * DOWN * arrow key to switch between these commands.^^Your current command is represented by the arrows above and below the representation of your ship in the upper right corner of your display. Try to give different rowing commands!
; str_ship_tutorial_4|If you want to make your ship move, you can give the crew the command to row. The more crew you have, the more speed you will gain through rowing.^^You can give commands to row forward, to row fast forward, to stay or to row backwards. Click the * UP * or the * DOWN * arrow key to switch between these commands.^^Your current command is represented by the arrows above and below the representation of your ship in the upper right corner of your display. Try to give different rowing commands!^^(Click * K * if you want to continue.)
; str_ship_tutorial_5|If you want to direct your ship, you can give a command to the helmsmen. You can give commands to row straight, starboard, hard starboard, port or hard port. Click the * LEFT * or the * RIGHT * arrow key to switch between these commands.^^Your current command is represented by the arrows to the right and left of the representation of your ship in the upper right corner of your display. Try to give different helmsman commands!
; str_ship_tutorial_6|If you want to direct your ship, you can give a command to the helmsmen. You can give commands to row straight, starboard, hard starboard, port or hard port. Click the * LEFT * or the * RIGHT * arrow key to switch between these commands.^^Your current command is represented by the arrows to the right and left of the representation of your ship in the upper right corner of your display. Try to give different helmsman commands!^^(Click * K * if you want to continue.)
; str_ship_tutorial_7|If there is favourable wind, you can give the command to set the sail, but if you are in a head wind, you should give the command to reef the sail. Click * ENTER * to toggle between these commands. Your current command is represented by the sail of the representation of your ship in the upper right corner of your display. Your current position to the wind is represented by the blue flag. Try to give the command to set or reef the sail!
; str_ship_tutorial_8|If there is favourable wind, you can give the command to set the sail, but if you are in a head wind, you should give the command to reef the sail. Click * ENTER * to toggle between these commands. Your current command is represented by the sail of the representation of your ship in the upper right corner of your display. Your current position to the wind is represented by the blue flag. Try to give the command to set or reef the sail!^^(Click * K * if you want to continue.)
; str_ship_tutorial_9|Now you know the basic commands you need to control a ship. If you want to board an enemy ship in a naval battle, just try to catch it, and your crew will do the rest.^^For now, take your time to try out your ship. When you are done, land your ship at the beach where you started!
; str_trait_1|Berserker
; str_trait_2|Inspiring
; str_trait_3|Tough
; str_trait_4|Strong
; str_s12s15_dominates_its_weaker_neighbor_s16|{s12}{s15} attempts to dominate {reg4?her:his} weaker neighbor {s16}.
; str_s12s15_acts_to_drive_the_people_of_s16_and_their_like_out_of_the_isles|{s12}{s15} acts to drive the people of {s16} and their like out of the Isles!
str_none|Ninguna
; str_camp_pillage| Enemy in Camp! 
; str_camp_pillage2| The enemy is in the camp and has accessed your treasure chest. They are looting your money!^{s4} peningas was lost.
; str_capitan_mode_started|Reconnaissance Round: Explore the terrain and kill enemy champions. In the next round, your troops will come!
; str_capitan_mode_started2|Battle Round! Lead your troops to victory!
; str_armamento_pesado|Buy heavy armour. This will allow you to choose medium and heavy infantry from the inventory menu.
; str_acceso_caballeria|Buy horses. This will allow you to choose medium and heavy cavalry from the inventory menu.
; str_buy_tropas|My lord, choose your army:
; str_nopuedes_comprar|You are not a lord or captain,^so you may not choose troops.
; str_numero_hombres|Number of warriors to hire:
; str_initial_gold_multiplierboth|Basic silver both teams (%):
; str_initial_gold_multipliert1|Team 1 Extra silver for troop wages (%):
; str_initial_gold_multipliert2|Team 2 Extra silver for troop wages (%):
str_choose_a_captain|Elegir una clase de tropas:
; str_lords_battle_explanation|Press ESC to start game.^^In this game, you will be able to choose one of two types of troops:^^Lords represent the leaders of armies. They have access to armies as well as quality weapons. If you are a lord, then money that you don't spend on equipment will buy troops.^^Elite warriors represent the most prestigious army troops. Choosing this allows you to be a standard-bearer, musician, scout, messenger, adviser or bodyguard, among other things. If you are an elite troop, there is no need to worry about recruiting troops. Spend all your money equipping the best gear. Also, if the lords fall, the task of leading the troops will fall upon you.
; str_your_men_break_off_the_siege_of_s10_to_follow_you|Your men break off the siege of {s10} to follow you.
; str_if_you_get_too_far_from_s10_your_siege_will_end|If you get too far from {s10}, your siege will end.
; str_the_s0_in_s4_has_been_completed|The {s0} in {s4} has been completed.
; str_s5_sends_word_that_your_betrothal_is_ended|{s5} sends word that your betrothal is ended!
; str_you_dont_have_enough_money_to_continue_training_troops_at_s10|You don't have enough money to continue training troops at {s10}.
; str_at_s10_has_promoted_reg5_reg6s8_to_s9s6_to_s7|at {s10} has promoted {reg5} {reg6?{s8} to {s9}:{s6} to {s7}}.
; str_good_news_our_foragers_found_much_meat|Good news! Our foragers found much meat.
; str_our_foragers_have_returned_after_getting_some_food|Our foragers have returned after getting some food in nearby villages, but the villagers are upset with us.
; str_bad_news_our_foragers_didnt_find_food_today|Bad news! Our foragers didn't find food today.
; str_very_bad_news_our_foragers_were_attacked|Very bad news! Our foragers were attacked by angry villagers, and we lost two to four men.
; str_your_scouts_are_exploring_enemy_territory|Your scouts are exploring enemy territory.
; str_very_bad_news_our_scouts_were_attacked|Very bad news! Our scouts were attacked, and we lost two to four men.
; str_you_hear_rumors_of_discontent_among_your_men|You hear rumors of discontent among your men. You should do something to raise their flagging spirits.
; str_i_dont_have_enough_money|I don't have enough money.
str_forget_it|Olvidadlo.
; str_you_need_to_improve_your_refuge_first|Improve your refuge first.
; str_you_have_suffered_a_serious_injury_to_your|You have suffered a serious injury to your
; str_it_will_be_permanent_in_reg1_days|It will become permanent in {reg1} days.
; str_it_will_be_cured_in_reg1_days|It will heal in {reg1} days.
; str_go_to_the_lords_hall_s1|Visit the lord's hall{s1}.
; str_s9_wants_you_to_meet_with_s11|{s9} wants you to meet with {s11} in their camp north of {s3} and help him as much as you can. Meanwhile, {s9} will investigate the betrayal of Sven Bull Neck.
; str_inv_command_class_all|Select All
; str_inv_command_class_0|Infantry: {reg1}
; str_inv_command_class_1|Archers: {reg1}
; str_inv_command_class_2|Cavalry: {reg1}
; str_inv_command_class_deselect|Deselect
str_inv_command_order_charge|Cargad
; str_inv_command_order_move|Move to...
str_inv_command_order_use_any|Usad cualquier arma
; str_inv_command_order_use_melee|Use Melee Weapons
; str_inv_command_order_use_ranged|Use Ranged Weapons
; str_norse_slave|Leysingja Levy Auxillary
; str_norse_bowman|Gestr Bowman
; str_norse_level0_landed|Bondi Levy Back
; str_norse_level1_landed|Drengr Levy 3rd Rank
; str_norse_level2_landed|Thegn Levy 2nd Rank
; str_norse_level3_landed|Hersi Levy 1st Rank
; str_norse_level0_companion|Hirdmann Hird Back
; str_norse_level1_companion|Rekkr Hird Mid
; str_norse_level2_companion|Huskarl Hird Front
; str_norse_elitearcher|Heimthegi Elite Archer
; str_briton_slave|Aillt Auxillary
; str_briton_bowman|Bweydd Bowman
; str_briton_marksman|Saethydd Marksman
; str_briton_level0_landed|Bonheddwr Levy Back
; str_briton_level1_landed|Pedyt Levy 3rd Rank
; str_briton_level2_landed|Gwrda Levy 2nd Rank
; str_briton_level3_landed|Uchelwr Levy 1st Rank
; str_briton_level0_companion|Cadwr Companion Back
; str_briton_level1_companion|Campiwr Companion Mid
; str_briton_level2_companion|Teulu Companion Front
; str_briton_horseman|Marchoc Horseman
; str_saxon_slave|Gebur Auxillary
; str_saxon_bowman|Sceotand Bowman
; str_saxon_level0_landed|Kotsetla Fyrd Back
; str_saxon_level1_landed|Geoguth Fyrd 3rd Rank
; str_saxon_level2_landed|Duguth Fyrd 2nd Rank
; str_saxon_level3_landed|Thegn Fyrd 1st Rank
; str_saxon_level0_companion|Geneata Companion Back
; str_saxon_level1_companion|Gesith Companion Mid
; str_saxon_level2_companion|Hearthweru Companion Front
; str_saxon_horseman|Ridwiga Horseman
; str_scotch_peasant|Petta Auxillary
; str_scotch_bowman|Fuidir Skirmisher
; str_scotch_level0_skirmisher|Saiogdear Skirmisher
; str_scotch_level1_skirmisher|Cruithne Skirmisher
; str_scotch_level0_landed|Bothach Levy Back
; str_scotch_level1_landed|Octhingern Levy Mid
; str_scotch_level2_landed|Diuberr Levy Mid
; str_scotch_level0_companion|Creach Sluach Companion Back
; str_scotch_level1_companion|Bruide Companion Back
; str_scotch_level2_companion|Gaisgidh Companion Front
; str_scotch_horseman|Each Raidh Horseman
; str_scotch_knight|Toisech Knight
; str_angle_slave|Gebur Auxillary
; str_angle_bowman|Sceotand Bowman
; str_angle_level0_landed|otsetla Fyrd Back
; str_angle_level1_landed|Geoguth Fyrd 3rd Rank
; str_angle_level2_landed|Duguth Fyrd 2nd Rank
; str_angle_level3_landed|Thegn Fyrd 1st Rank
; str_angle_level0_companion|Geneata Companion Back
; str_angle_level1_companion|Gesith Companion Mid
; str_angle_level2_companion|Hearthweru Companion Front
; str_angle_horseman|Ridwiga Horseman
; str_irish_slave|Senchleithe Auxillary
; str_irish_bowman|Fer Midboth Skirmisher
; str_irish_level0_skirmisher|Ceitherne Skirmisher
; str_irish_level1_skirmisher|Fian Skirmisher
; str_irish_level0_landed|Bothach Levy Back
; str_irish_level1_landed|Ocaire Levy 3rd Rank
; str_irish_level2_landed|Boaire Levy 2nd Rank
; str_irish_level3_landed|Airig Levy 1st Rank
; str_irish_level0_companion|Cliarthaire Companion
; str_irish_level1_companion|Curraidh Companion
; str_irish_horseman|Marcach Horseman
; str_irish_knight|Deaisbard Knight
; str_standard_dragon1|standard dragon1
; str_standard_dragon2|standard dragon2
; str_standard_dragon3|standard dragon3
; str_standard_dragon4|standard dragon4
; str_standard_dragon5|standard dragon5
; str_standard_dragon6|standard dragon6
; str_standard_dragon7|standard dragon7
; str_standard_dragon8|standard dragon8
; str_standard_extra01|standard extra01
; str_standard_extra02|standard extra02
; str_standard_extra03|standard extra03
; str_standard_extra04|standard extra04
; str_standard_extra05|standard extra05
; str_standard_extra06|standard extra06
; str_standard_extra07|standard extra07
; str_standard_extra08|standard extra08
; str_standard_extra09|standard extra09
; str_standard_extra10|standard extra10
; str_standard_extra11|standard extra11
; str_standard_extra12|standard extra12
; str_standard_extra13|standard extra13
; str_standard_extra14|standard extra14
; str_standard_extra15|standard extra15
; str_standard_extra16|standard extra16
; str_standard_extra17|standard extra17
; str_standard_extra18|standard extra18
; str_standard_extra19|standard extra19
; str_standard_extra20|standard extra20
; str_standard_extra21|standard extra21
; str_standard_extra201|standard extra201
; str_standard_extra202|standard extra202
; str_standard_extra203|standard extra203
; str_standard_extra204|standard extra204
; str_standard_extra205|standard extra205
; str_standard_extra206|standard extra206
; str_standard_extra208|standard extra208
; str_standard_extra209|standard extra209
; str_standard_extra210|standard extra210
; str_standard_extra211|standard extra211
; str_standard_anglosaxon01|standard anglosaxon01
; str_standard_anglosaxon02|standard anglosaxon02
; str_standard_anglosaxon03|standard anglosaxon03
; str_standard_anglosaxon04|standard anglosaxon04
; str_standard_anglosaxon05|standard anglosaxon05
; str_standard_anglosaxon06|standard anglosaxon06
; str_standard_anglosaxon07|standard anglosaxon07
; str_standard_anglosaxon08|standard anglosaxon08
; str_standard_anglosaxon09|standard anglosaxon09
; str_standard_anglosaxon10|standard anglosaxon10
; str_standard_anglosaxon11|standard anglosaxon11
; str_standard_anglosaxon12|standard anglosaxon12
; str_standard_anglosaxon13|standard anglosaxon13
; str_standard_anglosaxon14|standard anglosaxon14
; str_standard_anglosaxon15|standard anglosaxon15
; str_standard_anglosaxon16|standard anglosaxon16
; str_standard_anglosaxon17|standard anglosaxon17
; str_standard_anglosaxon18|standard anglosaxon18
; str_standard_anglosaxon19|standard anglosaxon19
; str_standard_anglosaxon20|standard anglosaxon20
; str_standard_anglosaxon21|standard anglosaxon21
; str_standard_anglosaxon201|standard anglosaxon201
; str_standard_anglosaxon202|standard anglosaxon202
; str_standard_anglosaxon203|standard anglosaxon203
; str_standard_anglosaxon204|standard anglosaxon204
; str_standard_briton01|standard briton01
; str_standard_briton02|standard briton02
; str_standard_briton03|standard briton03
; str_standard_briton04|standard briton04
; str_standard_briton05|standard briton05
; str_standard_briton06|standard briton06
; str_standard_briton07|standard briton07
; str_standard_briton08|standard briton08
; str_standard_briton09|standard briton09
; str_standard_briton10|standard briton10
; str_standard_briton11|standard briton11
; str_standard_briton12|standard briton12
; str_standard_briton13|standard briton13
; str_standard_briton14|standard briton14
; str_standard_briton15|standard briton15
; str_standard_briton16|standard briton16
; str_standard_briton17|standard briton17
; str_standard_briton18|standard briton18
; str_standard_briton19|standard briton19
; str_standard_briton20|standard briton20
; str_standard_briton21|standard briton21
; str_standard_briton201|standard briton201
; str_standard_briton202|standard briton202
; str_standard_briton203|standard briton203
; str_standard_briton204|standard briton204
; str_standard_briton205|standard briton205
; str_standard_briton206|standard briton206
; str_standard_briton207|standard briton207
; str_standard_briton208|standard briton208
; str_standard_briton209|standard briton209
; str_standard_briton210|standard briton210
; str_standard_briton211|standard briton211
; str_standard_briton212|standard briton212
; str_standard_briton213|standard briton213
; str_standard_briton214|standard briton214
; str_standard_briton215|standard briton215
; str_standard_briton216|standard briton216
; str_standard_briton217|standard briton217
; str_standard_briton218|standard briton218
; str_standard_briton219|standard briton219
; str_standard_briton220|standard briton220
; str_standard_briton221|standard briton221
; str_standard_irish01|standard irish01
; str_standard_irish02|standard irish02
; str_standard_irish03|standard irish03
; str_standard_irish04|standard irish04
; str_standard_irish05|standard irish05
; str_standard_irish06|standard irish06
; str_standard_irish07|standard irish07
; str_standard_irish08|standard irish08
; str_standard_irish09|standard irish09
; str_standard_irish10|standard irish10
; str_standard_irish11|standard irish11
; str_standard_irish12|standard irish12
; str_standard_irish13|standard irish13
; str_standard_irish14|standard irish14
; str_standard_irish15|standard irish15
; str_standard_irish16|standard irish16
; str_standard_irish17|standard irish17
; str_standard_irish18|standard irish18
; str_standard_irish19|standard irish19
; str_standard_irish20|standard irish20
; str_standard_irish21|standard irish21
; str_standard_irish201|standard irish201
; str_standard_irish202|standard irish202
; str_standard_irish203|standard irish203
; str_standard_irish204|standard irish204
; str_standard_irish205|standard irish205
; str_standard_irish206|standard irish206
; str_standard_irish207|standard irish207
; str_standard_irish208|standard irish208
; str_standard_irish209|standard irish209
; str_standard_irish210|standard irish210
; str_standard_irish211|standard irish211
; str_standard_irish212|standard irish212
; str_standard_irish213|standard irish213
; str_standard_pict01|standard pict01
; str_standard_pict02|standard pict02
; str_standard_pict03|standard pict03
; str_standard_pict04|standard pict04
; str_standard_pict05|standard pict05
; str_standard_pict06|standard pict06
; str_standard_pict07|standard pict07
; str_standard_pict08|standard pict08
; str_standard_viking01|standard viking01
; str_standard_viking02|standard viking02
; str_standard_viking03|standard viking03
; str_standard_viking04|standard viking04
; str_standard_viking05|standard viking05
; str_standard_viking06|standard viking06
; str_standard_viking07|standard viking07
; str_standard_viking08|standard viking08
; str_standard_viking09|standard viking09
; str_standard_viking10|standard viking10
; str_standard_viking11|standard viking11
; str_standard_viking12|standard viking12
; str_standard_viking13|standard viking13
; str_standard_viking14|standard viking14
; str_standard_viking15|standard viking15
