str_yes|Tak.
; str_you_speak_of_bringing_peace_by_force_yet_to_others_you_make_legal_claims|You speak of bringing peace by force, yet to others you make legal claims.
; str_you_speak_to_some_of_upholding_the_rights_of_the_commons_yet_you_speak_to_others_of_uphold_the_rights_of_nobles_what_if_those_rights_are_in_conflict|You speak to some of upholding the rights of the commons, yet you speak to others of uphold the rights of nobles. What if those rights are in conflict?
; str_you_speak_to_me_of_upholding_my_rights_as_a_lord_but_to_others_you_talk_of_upholding_the_rights_of_all_commons_what_if_those_rights_come_into_conflict|You speak to me of upholding my rights as a lord, but to others you talk of upholding the rights of all commons. What if those rights come into conflict?
; str_a_claim_should_be_strong_indeed_before_one_starts_talking_about_it|A claim should be strong indeed before one starts talking about it.
; str_a_king_should_prove_his_valor_beyond_any_doubt_before_he_starts_talking_about_a_claim_to_the_throne|A king should prove his valor beyond any doubt before he starts talking about a claim to the throne.
; str_you_must_prove_yourself_a_great_warrior_before_men_will_follow_you_as_king|You must prove yourself to be a great warrior before men will follow you as king.
; str_a_claim_to_the_throne_should_be_strong_indeed_before_one_presses_it|A claim to the throne should be strong indeed before one presses it.
; str_indeed_but_a_man_must_also_prove_himself_a_great_warrior_before_men_will_follow_you_as_king|Indeed, but you must also prove yourself a great warrior before men will follow you as king.
; str_my_pigherd_can_declare_himself_king_if_he_takes_he_fancy_i_think_you_need_to_break_a_few_more_heads_on_tbe_battlefield_before_men_will_follow_you|My swineherd can declare himself king, if he takes he fancy. I think you need to break a few more heads on the battlefield before men will follow you.
; str_if_you_do_not_wish_to_die_on_a_scaffold_like_so_many_failed_pretenders_before_you_i_would_suggest_that_you_to_build_your_claim_on_stronger_foundations_so_that_men_will_follow_you|If you do not wish to die on a scaffold, like so many failed pretenders before you, I would suggest that you to build your claim on stronger foundations, so that men will follow you.
; str_if_you_do_not_wish_to_die_on_a_scaffold_like_so_many_failed_pretenders_before_you_i_would_advise_you_prove_yourself_on_the_field_of_battle_so_that_men_will_follow_you|If you do not wish to die on a scaffold, like so many failed pretenders before you, I would advise you prove yourself on the field of battle, so that men will follow you.
; str_talk_is_for_heralds_and_lawyers_real_kings_prove_themselves_with_their_swords|Talk is for heralds and lawyers. Real kings prove themselves with their swords.
; str_i_were_you_i_would_try_to_prove_myself_a_bit_more_before_i_went_about_pressing_my_claim|If I were you, I would try to prove myself a bit more before I went about pressing my claim.
; str_indeed_please_continue|Indeed. Please continue.
; str_me|me
; str_i_worry_about_those_with_whom_you_have_chosen_to_surround_yourself|I worry about those with whom you have chosen to surround yourself.
; str_there_are_some_outstanding_matters_between_me_and_some_of_your_vassals_|There are some outstanding matters between me and some of your vassals. 
; str_my_liege_has_his_faults_but_i_dont_care_for_your_toadies|My liege has his faults, but I don't care for your toadies.
; str_i_think_youre_a_good_man_but_im_worried_that_you_might_be_pushed_in_the_wrong_direction_by_some_of_those_around_you|I think you're a good {reg59?woman:man}, but I'm worried that you might be pushed in the wrong direction by some of those around you.
; str_i_am_loathe_to_fight_alongside_you_so_long_as_you_take_under_your_wing_varlots_and_base_men|I am loathe to fight alongside you, so long as you take under your wing varlets and base men.
; str_ill_be_honest__with_some_of_those_who_follow_you_i_think_id_be_more_comfortable_fighting_against_you_than_with_you|I'll be honest -- with some of those who follow you, I think I'd be more comfortable fighting against you than with you.
; str_i_say_that_you_can_judge_a_man_by_the_company_he_keeps_and_you_have_surrounded_yourself_with_vipers_and_vultures|I say that you can judge a man by the company he keeps, and you have surrounded yourself with vipers and vultures.
; str_you_know_that_i_have_always_had_a_problem_with_some_of_our_companions|You know that I have always had a problem with some of your companions.
; str_politically_i_would_be_a_better_position_in_the_court_of_my_current_liege_than_in_yours|Politically, I would be a better position in the court of my current liege, than in yours.
; str_i_am_more_comfortable_with_you_and_your_companions_than_with_my_current_liege|I am more comfortable with you and your companions than with my current liege
; str_militarily_youre_in_no_position_to_protect_me_should_i_be_attacked_id_be_reluctant_to_join_you_until_you_could|Militarily, you're in no position to protect me, should I be attacked. I'd be reluctant to join you until you could.
; str_militarily_when_i_consider_the_lay_of_the_land_i_realize_that_to_pledge_myself_to_you_now_would_endanger_my_faithful_retainers_and_my_family|Militarily, when I consider the lay of the land, I realize that to pledge myself to you now would endanger my faithful retainers and my family.
; str_militarily_youre_in_no_position_to_come_to_my_help_if_someone_attacked_me_i_dont_mind_a_good_fight_but_i_like_to_have_a_chance_of_winning|Militarily, you're in no position to come to my help, if someone attacked me. I don't mind a good fight, but I like to have a chance of winning.
; str_militarily_you_would_have_me_join_you_only_to_find_myself_isolated_amid_a_sea_of_enemies|Militarily, you would have me join you, only to find myself isolated amid a sea of enemies.
; str_militarily_youre_in_no_position_to_come_to_my_help_if_someone_attacked_me_youd_let_me_be_cut_down_like_a_dog_id_bet|Militarily, you're in no position to come to my help, if someone attacked me. You'd let me be cut down like a dog, I'd bet.
; str_militarily_i_wouldnt_be_any_safer_if_i_joined_you|Militarily, I wouldn't be any safer if I joined you.
; str_militarily_i_might_be_safer_if_i_joined_you|Militarily, I might be safer if I joined you.
; str_finally_there_is_a_cost_to_ones_reputation_to_change_sides_in_this_case_the_cost_would_be_very_high|Finally, one should always think carefully about retracting one's allegiance, even if there is good reason, as it is not good to get a name as one who changes lieges easily. In this case, the cost to my reputation would be very high.
; str_finally_there_is_a_cost_to_ones_reputation_to_change_sides_in_this_case_the_cost_would_be_significant|Finally, one should always think carefully about retracting one's allegiance, even if there is good reason, as it is not good to get a name as one who changes lieges easily. In this case, the cost to my reputation would be significant.
; str_finally_there_is_a_cost_to_ones_reputation_to_change_sides_in_this_case_however_many_men_would_understand|Finally, one should always think carefully about retracting one's allegiance, even if there is good reason, as it is not good to get a name as one who changes lieges easily. In this case, however, many men would understand.
; str_i_will_not_have_it_be_said_about_me_that_i_am_a_traitor_that_is_my_final_decision_i_have_nothing_more_to_say_on_this_matter|I will not have it be said about me that I am a traitor. That is my final decision. I have nothing more to say on this matter.
; str_i_am_pledged_to_defend_s14_i_am_sorry_though_we_may_meet_on_the_battlefield_i_hope_that_we_will_still_be_friends|I am pledged to defend {s14}. I am sorry. Though we may meet on the battlefield, I hope that we will still be friends.
; str_i_really_cannot_bring_myself_to_renounce_s14_i_am_sorry_please_lets_not_talk_about_this_any_more|I really cannot bring myself to renounce {s14}. I am sorry. Please, let's not talk about this any more.
; str_however_i_have_decided_that_i_must_remain_loyal_to_s14_i_am_sorry|However, I have decided that I must remain loyal to {s14}. I am sorry.
; str_however_i_will_not_let_you_lead_me_into_treason_do_not_talk_to_me_of_this_again|However, I will not let you lead me into treason. Do not talk to me of this again.
; str_its_not_good_to_get_a_reputation_as_one_who_abandons_his_liege_that_is_my_decision_let_us_speak_no_more_of_this_matter|It's not good to get a reputation as one who abandons his liege. That is my decision. Let us speak no more of this matter.
; str_ive_decided_to_stick_with_s14_i_dont_want_to_talk_about_this_matter_any_more|I've decided to stick with {s14}. I don't want to talk about this matter any more.
; str_you_are_challenging_me_to_a_duel_how_droll_as_you_wish_playername_it_will_be_good_sport_to_bash_your_head_in|You are challenging me to a duel? How droll! As you wish, {playername}, it will be good sport to bash your head in.
; str_call_me_coward_very_well_you_leave_me_no_choice|Call me coward? Very well, you leave me no choice.
; str_reg3_hours|{reg3} hours.
; str_hour|hour.
; str_however_circumstances_have_changed_since_we_made_that_decision_and_i_may_reconsider_shortly_s16|However, circumstances have changed since we made that decision, and I may reconsider shortly. {s16}
; str_i_wish_to_marry_your_s11_s10_i_ask_for_your_blessing|I wish to marry your {s11}, {s10}. I ask for your blessing.
; str_i_wish_to_marry_your_s11_s10_i_ask_for_your_help|I wish to marry your {s11}, {s10}. I ask for your help.
; str_you_plan_to_marry_s3_at_a_feast_hosted_by_s4_in_s5_you_should_be_notifed_of_the_feast_as_soon_as_it_is_held|You plan to marry {s3} at a feast hosted by {s4} in {s5}. You should be notified of the feast as soon as it is held.
; str_your_s11_|your {s11}, 
; str_i_ask_again_may|I ask again: may
; str_may|May
; str_very_well_as_far_as_im_concerned_i_suppose_she_can_see_most_anyone_she_likes__within_reason_of_course|Very well. As far as I'm concerned, I suppose she can see most anyone she likes - within reason, of course.
; str_very_well_an_alliance_with_you_could_be_valuable_go_chat_with_her_and_see_if_you_can_get_her_to_take_a_fancy_to_you_if_she_doesnt_and_if_we_still_want_to_conclude_this_business_then_i_can_make_her_see_reason|Very well. An alliance with you could be valuable. Go chat with her, and see if you can get her to take a fancy to you. If she doesn't, and if we still want to conclude this business, then I can make her see reason.
; str_you_have_my_blessing_to_pay_suit_to_her__so_long_as_your_intentions_are_honorable_of_course_depending_on_how_things_proceed_between_you_two_we_may_have_more_to_discuss_at_a_later_date|You have my blessing to pay suit to her -- so long as your intentions are honorable, of course. Depending on how things proceed between you two, we may have more to discuss at a later date.
; str_the_war_has_barely_begun_so_and_it_is_too_early_to_say_who_is_winning_and_who_is_losing|The war has barely begun, so and it is too early to say who is winning and who is losing.
; str_we_have_been_hitting_them_very_hard_and_giving_them_little_chance_to_recover|We have been hitting them very hard, and giving them little chance to recover.
; str_the_fighting_has_been_hard_but_we_have_definitely_been_getting_the_better_of_them|The fighting has been hard, but we have definitely been getting the better of them.
; str_they_have_been_hitting_us_very_hard_and_causing_great_suffering|They have been hitting us very hard, and causing great suffering.
; str_the_fighting_has_been_hard_and_i_am_afraid_that_we_have_been_having_the_worst_of_it|The fighting has been hard, and I am afraid that we have been having the worst of it.
; str_both_sides_have_suffered_in_the_fighting|Both sides have suffered in the fighting.
; str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_think_we_are_getting_the_better_of_them|No clear winner has yet emerged in the fighting, but I think we are getting the better of them.
; str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_fear_they_may_be_getting_the_better_of_us|No clear winner has yet emerged in the fighting, but I fear they may be getting the better of us.
; str_no_clear_winner_has_yet_emerged_in_the_fighting|No clear winner has yet emerged in the fighting.
; str_there_is_no_campaign_currently_in_progress|There is no campaign currently in progress.
; str_we_are_assembling_the_army|We are assembling the army.
; str_we_aim_to_take_the_fortress_of_s8|We aim to take the fortress of {s8}.
; str_we_are_on_a_raid_and_are_now_targeting_s8|We are on a raid, and are now targeting {s8}.
; str_we_are_trying_to_seek_out_and_defeat_s8|We are trying to seek out and defeat {s8}.
; str_we_are_riding_to_the_defense_of_s8|We are riding to the defense of {s8}.
; str_we_are_gathering_for_a_feast_at_s8|We are gathering for a feast at {s8}.
; str__however_that_may_change_shortly_s14| However, that may change shortly. {s14}
; str_it_is_our_custom_to_seal_any_such_alliances_with_marriage_and_in_fact_we_have_been_looking_for_a_suitable_groom_for_my_s11_s14|It is our custom to seal any such alliances with marriage, and in fact, we have been looking for a suitable groom for my {s11}, {s14}.
; str_once_again_|once again 
; str_cheat__marriage_proposal|Cheat - marriage proposal
; str_you_plan_to_marry_s4_as_you_have_no_family_in_calradia_he_will_organize_the_wedding_feast|You plan to marry {s4}. As you have no family in these lands, he will organize the wedding feast.^^You will have to wait for a feast to start, and then meet your betrothed inside that town or fort hall. After 30 days, you can also ask your betrothed to go to a nearby center.
; str_s43_just_so_you_know_if_you_attack_me_you_will_be_in_violation_of_the_truce_you_signed_with_the_s34|{s43} Just so you know, if you attack me, you will be in violation of the truce you signed with the {s34}
; str_very_well__you_are_now_my_liege_as_well_as_my_husband|We can keep this short: you are now my liege, as well as my husband, with all the mutual obligations which that entails.
; str_i_thank_you_reg39my_ladylord|I thank you, {reg39?my lady:lord}.
; str_now_some_might_say_that_women_have_no_business_leading_mercenary_companies_but_i_suspect_that_you_would_prove_them_wrong_what_do_you_say|Now, some might say that women have no business leading mercenary companies, but I suspect that you would prove them wrong. What do you say?
; str_what_do_you_say_to_entering_the_service_of_s9_as_a_mercenary_captain_i_have_no_doubt_that_you_would_be_up_to_the_task|What do you say to entering the service of {s9} as a mercenary captain? I have no doubt that you would be up to the task.
; str_s9_asked_you_to_rescue_s13_who_is_prisoner_at_s24|{s9} asked you to rescue {s13}, who is prisoner at {s24}.
; str_s9_asked_you_to_attack_a_village_or_some_caravans_as_to_provoke_a_war_with_s13|{s9} asked you to attack a village or some caravans as to provoke a war with the {s13}.
; str_s9_asked_you_to_catch_the_three_groups_of_runaway_serfs_and_bring_them_back_to_s4_alive_and_breathing_he_said_that_all_three_groups_are_heading_towards_s3|{s9} asked you to catch the three groups of runaway serfs and bring them back to {s4}, alive and breathing. He said that all three groups are heading towards {s3}.
; str_you_intend_to_bring_goods_to_s9_in_preparation_for_the_feast_which_will_be_held_as_soon_as_conditions_permit|You intend to bring goods to {s9} in preparation for the feast, which will be held as soon as conditions permit.
; str_hello_playername|Hello, {playername}!
; str_ah_my_gentle_playername_how_much_good_it_does_my_heart_to_see_you_again| How much good it does my heart to see you again! Sometimes, I feel that there is a mystic bond between us that transcends the distance.
; str_playername__i_am_so_glad_to_see_you_again_i_must_say_i_do_envy_your_freedom_to_ride_out_and_experience_the_world| I must say, I do envy your freedom to ride out and experience the world.
; str_playername__i_am_so_glad_to_see_you_i_trust_that_you_have_been_behaving_honorably_since_last_we_met| I trust that you have been behaving honorably since last we met.
; str_playername__i_am_so_glad_that_you_were_able_to_come| I am so glad that you were able to come.
; str_i_do_enjoy_speaking_to_you_but_i_am_sure_you_understand_that_our_people_cluck_their_tongues_at_a_woman_to_spend_too_long_conversing_with_a_man_outside_her_family__although_the_heavens_know_its_never_the_man_who_is_held_to_blame_|I do enjoy speaking to you. But I am sure you understand that our people cluck their tongues at a woman who spends too long conversing with a man outside her family -- although the heavens know it's never the man who is held to blame. 
; str_as_much_as_i_enjoy_speaking_to_you_i_do_not_care_to_be_gossiped_about_by_others_who_might_lack_my_grace_and_beauty_|As much as I enjoy speaking to you, I do not care to be gossiped about by others who might lack my grace and beauty. 
; str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_one_of_the_great_families_of_this_land_i_must_set_an_example_of_propriety_|I do so enjoy speaking to you. But as a daughter of one of the great families of this land, I must set an example of propriety. 
; str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_good_family_i_must_protect_my_reputation_|I do so enjoy speaking to you. But as a daughter of good family, I must protect my reputation. 
; str_although_it_is_kind_of_you_to_pay_me_such_attentions_i_suspect_that_you_might_find_other_ladies_who_may_be_more_inclined_to_return_your_affection|Although it is kind of you to pay me such attentions, I suspect that you might find other ladies who may be more inclined to return your affection.
; str_as_flattered_as_i_am_by_your_attentions_perhaps_you_should_seek_out_another_lady_of_somewhat_shall_we_say_different_tastes|As flattered as I am by your attentions, perhaps you should seek out another lady of somewhat... shall we say... different tastes.
; str_as_flattered_as_i_am_by_your_attentions_i_am_a_daughter_of_good_family_and_must_be_aware_of_my_reputation_it_is_not_seemly_that_i_converse_too_much_at_one_time_with_one_man_i_am_sure_you_understand_now_if_you_will_excuse_me|As flattered as I am by your attentions, I am a daughter of good family and must be aware of my reputation. It is not seemly that I converse too much at one time with one man. I am sure you understand. Now, if you will excuse me...
; str_very_well__i_will_let_you_choose_the_time|Very well -- I will let you choose the time.
; str_good_i_am_glad_that_you_have_abandoned_the_notion_of_pushing_me_into_marriage_before_i_was_ready|Good! I am glad that you have abandoned the notion of pushing me into marriage before I was ready.
; str_i_am|I am
; str_s12_s11_to_s14|{s12} {s11} to {s14}
; str_s12_i_am_here_for_the_feast|{s12}. I am here for the feast.
; str_another_tournament_dedication_oh_i_suppose_it_is_always_flattering|Another tournament dedication? Oh, I suppose it is always flattering...
; str_do_you_why_what_a_most_gallant_thing_to_say|Do you? Why, what a most gallant thing to say.
; str_hmm_i_cannot_say_that_i_altogether_approve_of_such_frivolity_but_i_must_confess_myself_a_bit_flattered|Hmm... I cannot say that I altogether approve of such frivolity, but I must confess myself a bit flattered.
; str_why_thank_you_you_are_most_kind_to_do_so|Why, thank you. You are most kind to do so.
; str_you_are_most_courteous_and_courtesy_is_a_fine_virtue_|You are most courteous, and courtesy is a fine virtue. 
; str_hmm_youre_a_bold_one_but_i_like_that_|Hmm. You're a bold one, but I like that. 
; str_ah_well_they_all_say_that_but_no_matter_a_compliment_well_delivered_is_at_least_a_good_start_|Ah, well, they all say that. But no matter. A compliment well delivered is at least a good start. 
; str_oh_do_you_mean_that_such_a_kind_thing_to_say|Oh! Do you mean that? Such a kind thing to say!
; str_you_are_a_most_gallant_young_man_|You are a most gallant young man. 
; str__do_come_and_see_me_again_soon| Do come and see me again soon.
; str_you_intend_to_ask_s12_for_permission_to_marry_s15|You intend to ask {s12} for permission to marry {s15}.
; str_you_intend_to_ask_s12_to_pressure_s10_to_marry_you|You intend to ask {s12} to pressure {s10} to marry you.
; str_do_be_careful_i_am_so_much_endebted_to_you_for_this|Do be careful! I am so much indebted to you for this...
; str_go_then__we_shall_see_which_of_you_triumphs|Go, then -- we shall see which of you triumphs...
; str_sigh_i_will_never_truly_understand_men_and_their_rash_actions|Sigh... I will never truly understand men, and their rash actions...
; str_you_intend_to_challenge_s13_to_force_him_to_relinquish_his_suit_of_s11|You intend to challenge {s13} to force him to relinquish his suit of {s11}.
str_farewell|Żegnaj.
; str_farewell_playername|Farewell, {playername}.
; str___we_believe_that_there_is_money_to_be_made_selling_|  We believe that there is money to be made selling 
; str__we_carry_a_selection_of_goods_although_the_difference_in_prices_for_each_is_not_so_great_we_hope_to_make_a_profit_off_of_the_whole| We carry a selection of goods. Although the difference in prices for each is not so great, we hope to make a profit off of the whole.
; str_s14and_other_goods|{s14}and other goods.
; str__have_you_not_signed_a_truce_with_our_lord| Have you not signed a truce with our lord?
; str_parole|parole
; str__meanwhile_s51_reg2areis_being_held_in_the_castle_but_reg2havehas_made_pledges_not_to_escape_and_reg2areis_being_held_in_more_comfortable_quarters| Meanwhile, {s51} {reg2?are:is} being held in the castle, but {reg2?have:has} made pledges not to escape, and {reg2?are:is} being held in more comfortable quarters.
; str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_it_would_boost_your_own_standing_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|You may be aware, my {reg59?Lady:Lord}, of the quarrel between {s4} and {s5} which is damaging the unity of this realm and sapping your authority. If you could persuade the lords to reconcile, it would boost your own standing. However, in taking this on, you run the risk of one the lords deciding that you have taken the rival's side.
; str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_i_imagine_that_s7_would_be_most_pleased_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|You may be aware, {reg59?my lady:my lord}, of the quarrel between {s4} and {s5} which is damaging the unity of this realm. If you could persuade the lords to reconcile, I imagine that {s7} would be most pleased. However, in taking this on, you run the risk of one the lords deciding that you have taken the rival's side.
; str__of_course_the_land_is_currently_at_peace_so_you_may_have_better_luck_in_other_realms| Of course, the land is currently at peace, so you may have better luck in other realms.
; str_here|here
; str_over|over
; str_s8_in_s12|{s8} in {s12}
; str__has_put_together_a_bounty_on_some_bandits_who_have_been_attacking_travellers_in_the_area| has put together a bounty on some bandits who have been attacking travellers in the area.
; str__is_looking_for_a_way_to_avoid_an_impending_war| is looking for a way to avoid an impending war.
; str__may_need_help_rescuing_an_imprisoned_family_member| may need help rescuing an imprisoned family member.
; str__has_been_asking_around_for_someone_who_might_want_work_id_watch_yourself_with_him_though| has been asking around for someone who might want work. I'd watch myself with him, though.
; str_town|town
; str_castle|fort
; str__but_he_is_holding_there_as_a_prisoner_at_dungeon_of_s13| But {reg4?she:he} is being held there as a prisoner in the dungeon of {s13}.
; str_they_say_that_s9_is_a_most_conventional_maiden__devoted_to_her_family_of_a_kind_and_gentle_temperament_a_lady_in_all_her_way|They say that {s9} is a most conventional maiden - devoted to her family, of a kind and gentle temperament, a lady in all her way.
; str_they_say_that_s9_is_a_bit_of_a_romantic_a_dreamer__of_a_gentle_temperament_yet_unpredictable_she_is_likely_to_be_led_by_her_passions_and_will_be_trouble_for_her_family_ill_wager|They say that {s9} is a bit of a romantic, a dreamer -- of a gentle temperament, yet unpredictable. She is likely to be led by her passions, and will be trouble for her family, I'll wager.
; str_they_say_that_s9_is_determined_to_marry_well_and_make_her_mark_in_the_world_she_may_be_a_tremendous_asset_for_her_husband__provided_he_can_satisfy_her_ambition|They say that {s9} is determined to marry well and make her mark in the world. She may be a tremendous asset for her husband -- provided he can satisfy her ambition!
; str_they_say_that_s9_loves_to_hunt_and_ride_maybe_she_wishes_she_were_a_man_whoever_she_marries_will_have_a_tough_job_keeping_the_upper_hand_i_would_say|They say that {s9} loves to hunt and ride. Maybe she wishes she were a man! Whomever she marries will have a tough job keeping the upper hand, I would say.
; str_they_say_that_s9_is_a_lady_of_the_highest_moral_standards_very_admirable_very_admirable__and_very_hard_to_please_ill_warrant|They say that {s9} is a lady of the highest moral standards. Very admirable, very admirable -- and very hard to please, I'll warrant.
; str_s9_is_now_betrothed_to_s11_soon_we_believe_there_shall_be_a_wedding|{s9} is now betrothed to {s11}. Soon, we believe, there shall be a wedding!
; str_i_have_not_heard_any_news_about_her|I have not heard any news about her.
; str_they_say_that_s9_has_shown_favor_to_s11_perhaps_it_will_not_be_long_until_they_are_betrothed__if_her_family_permits|They say that {s9} has shown favor to {s11}. Perhaps it will not be long until they are betrothed -- if her family permits.
; str_they_say_that_s9_has_been_forced_by_her_family_into_betrothal_with_s11|They say that {s9} has been forced by her family into betrothal with {s11}.
; str_they_say_that_s9_has_agreed_to_s11s_suit_and_the_two_are_now_betrothed|They say that {s9} has agreed to {s11}'s suit, and the two are now betrothed.
; str_they_say_that_s9_under_pressure_from_her_family_has_agreed_to_betrothal_with_s11|They say that {s9}, under pressure from her family, has agreed to betrothal with {s11}.
; str_they_say_that_s9_has_refused_s11s_suit|They say that {s9} has refused {s11}'s suit.
; str_they_say_that_s11_has_tired_of_pursuing_s9|They say that {s11} has tired of pursuing {s9}.
; str_they_say_that_s9s_family_has_forced_her_to_renounce_s11_whom_she_much_loved|They say that {s9}'s family has forced her to renounce {s11}, whom she much loved.
; str_they_say_that_s9_has_run_away_with_s11_causing_her_family_much_grievance|They say that {s9} has run away with {s11}, causing her family much grievance.
; str_they_say_that_s9_and_s11_have_wed|They say that {s9} and {s11} have wed.
; str_they_say_that_s9_was_recently_visited_by_s11_who_knows_where_that_might_lead|They say that {s9} was recently visited by {s11}. Who knows where that might lead!
; str_there_is_not_much_to_tell_but_it_is_still_early_in_the_season|There is not much to tell, but it is still early in the season
; str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_but_it_has_been_going_on_for_a_couple_of_days_and_is_about_to_end_|{s12}There is a feast of the {s3} in progress at {s4}, but it has been going on for a couple of days and is about to end. 
; str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_should_last_for_at_least_another_day_|{s12}There is a feast of the {s3} in progress at {s4}, which should last for at least another day. 
; str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_has_only_just_begun_|{s12}There is a feast of the {s3} in progress at {s4}, which has only just begun. 
; str_not_at_this_time_no|Not at this time, no.
; str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|{s12}The great lords bring their daughters and sisters to these occasions to see and be seen, so they represent an excellent opportunity to make a lady's acquaintance.
; str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_calradia|You will not be disappointed, {reg59?madame:sir}. You will not find better warriors in all this land.
; str_your_excellency|your grace
; str_s10_and_s11|{s10} and {s11}
; str_your_loyal_subjects|your loyal subjects
; str_loyal_subjects_of_s10|loyal subjects of {s10}
; str_the|the
; str_we|we
; str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|Track down {s7} and defeat him, defusing calls for war within the {s11}.
; str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|Track down the {s9} who attacked travellers near {s8}, then report back to the town.
; str_do_you_wish_to_award_it_to_one_of_your_vassals|Do you wish to award it to one of your vassals?
; str_who_do_you_wish_to_give_it_to|Whom do you wish to give it to?
; str_sire_my_lady_we_have_taken_s1_s2|{reg59?My Lady:Sire}, we have taken {s1}. {s2}
; str_s12i_want_to_have_s1_for_myself|{s12}I want to have {s1} for myself. {s2}
; str_fiefs_s0|(fiefs: {s0})
; str_production_setting_buy_from_market|We are buying raw materials from the market.
; str_production_setting_buy_from_inventory|We are only using the raw materials in our inventory.
; str_production_setting_produce_to_inventory|We are putting our output into the inventory.
; str_production_setting_produce_to_market|We are selling our output directly into the inventory.
; str_feast_quest_expired|You were unable to hold a feast as planned. Most likely, major faction campaigns or other events intervened. You may attempt to hold the feast again, if you wish.
; str_amber_riverbeds|beaches and riverbeds with amber
; str_hunting_forests|hunting forests and meat smokehouses
; str_acres_flax|acres of flax fields
; str_enterprise_enemy_realm|{reg59?Madame:Sir}, you are an enemy of this realm. We cannot allow you to buy land here.
; str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|You intend to privately denounce {s14} to {s13} on behalf of {s12}
; str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|You intend to openly denounce {s14} to his face, on behalf of {s12}
; str_you_intend_to_bring_gift_for_s14|You intend to bring jewelry and furs to {s12}. Then, speak to {s14}, to see if {s12} was able to arrange a reconciliation.
; str_we_will_gather_the_army_but_not_ride_until_we_have_an_objective|We will gather the army, but not ride forth until we have an objective.
; str_we_shall_lay_siege_to_an_easy_fortress_to_capture|We are concentrating out forces on their most vulnerable fortress.
; str_we_shall_strike_at_the_heart_of_our_foe_and_seize_the_fortress_of_s14|We intend to strike the blow that will do them the greatest damage.
; str_we_shall_take_the_fortress_of_s14_which_appears_easily_defensible|We aim to take a fortress that will be easy for us to defend.
; str_we_shall_cut_a_fiery_trail_through_their_richest_lands_to_draw_them_out_to_battle|We leave a fiery trail through their richest lands to draw them out to battle.
; str_strategy_criticism_rash|I believe that this strategy is rash, and needlessly exposes our forces to danger.
; str_strategy_criticism_cautious|I believe that this strategy is overly cautious, and will see our army melt away from boredom without us achieving any successes.
; str_tavernkeeper_invalid_quest| had some sort of business going on, but I'm having trouble remembering the details.
; str_faction_title_male_player|Konungr {s0}
; str_faction_title_male_1|Jarl {s0}
; str_faction_title_male_2|Hersir {s0}
; str_faction_title_male_3|Cyning {s0}
; str_faction_title_male_4|Ealdorman {s0}
; str_faction_title_male_5|Dryhten {s0}
; str_faction_title_male_6|Ri {s0}
; str_faction_title_female_player|Gundelic {s0}
; str_faction_title_female_1|Tiern {s0}
; str_faction_title_female_2|Ruire {s0}
; str_faction_title_female_3|Ard Tiarna {s0}
; str_faction_title_female_4|Tiarna {s0}
; str_faction_title_female_5|Dux {s0}
; str_faction_title_female_6|Warlord {s0}
; str_name_kingdom_text|What will be the name of your kingdom?
; str_default_kingdom_name|Kingdom of {s0}
; str_lord_defects_ordinary|Lord Defects^^{s1} has renounced {reg4?her:his} allegiance to the {s3} and joined the {s2}
; str_lord_defects_player|Lord Defects^^{s1} has renounced {reg4?her:his} allegiance to the {s3}. He has tentatively joined your kingdom. You may go to your court to receive a pledge, if you wish.
; str_lord_defects_player_faction|Lord Defects^^{s1} has renounced {reg4?her:his} allegiance to the {s3}. He has tentatively joined your kingdom. You may go to your court to receive a pledge, if you wish.
; str_lord_indicted_player_faction|By order of {s6}, {s4} of the {s5} has been indicted for treason. The lord has been stripped of all {reg4?her:his} properties, and has fled for {reg4?her:his} life. He wishes to join your kingdom. You may find him in your court, if you wish it.
