str_yes|Si.
; str_a_hearts_desire_hmm__it_is_an_interesting_exploration_of_earthly_and_divine_love_it_does_speak_of_the_spiritual_quest_which_brings_out_the_best_in_man_but_i_wonder_if_the_poet_has_not_confused_his_yearning_for_higher_things_with_his_baser_passions|'A Voyage of Bran?' Hmm -- it is an interesting exploration of earthly and divine love. It does speak of the spiritual quest that brings out the best in man, but I wonder if the poet has not confused his yearning for higher things with his baser passions.
; str_a_hearts_desire_oh_yes__it_is_very_worthy_and_philosophical_but_if_i_am_to_listen_to_a_bard_strum_a_lute_for_three_hours_i_personally_prefer_there_to_be_a_bit_of_a_story|'A Voyage of Bran?' Oh, yes. It is very worthy and philosophical, but if I am to listen to a bard strum a harp for three hours, I personally prefer there to be a bit of a story.
str_reg3_units_of_s4_for_reg5_guests_and_retinue|{reg3} unità di {s4} per {reg5} ospiti e seguito
str_reg3_units_of_spice_of_reg5_to_be_consumed|{reg3} unità di spezie di {reg5} da consumare
str_reg3_units_of_oil_of_reg5_to_be_consumed|{reg3} unità di olio di {reg5} da consumare
str_of_food_which_must_come_before_everything_else_the_amount_is_s8|Di cibo, che deve venire prima di ogni altra cosa, l'ammontare è {s8}
str_s9_and_the_variety_is_s8_|{s9} e la varietà è {s8}. 
str_s9_of_drink_which_guests_will_expect_in_great_abundance_the_amount_is_s8|{s9} Di bevande, che gli ospiti si aspettano in grande abbondanza, l'ammontare è {s8}
; str_s9_of_jewellery_which_is_essential_to_demonstrate_x_the_amount_is_s8_|{s9} Of fine jewellery, which is essential to demonstrate our status by giving as gifts, the amount is {s8}.
; str_s9_of_fur_which_we_shall_x_the_amount_is_s8|{s9} Of furs, which we shall require to guarantee comfort, the amount is {s8}.
str_s9_overall_our_table_will_be_considered_s8|{s9} Nel complesso, la nostra tavola sarà considerata {s8}.
str_rebel|ribelle
str_bandit|bandito
str_relation_of_prisoner_with_captor_is_reg0|La relazione del prigioniero con il suo carceriere è {reg0}
str_s5_suffers_attrition_reg3_x_s4|{s5} soffre per logoramento: {reg3} x {s4}
str_s10_said_on_s1_s11__|{s10} disse riguardo {s1}: {s11}^^
str_totalling_casualties_caused_during_mission|Calcolando le vittime causate durante la missione...
str_removing_s4_from_s5|Rimuovendo {s4} da {s5}
str_s4_joins_prison_break|{s4} si unisce all'evasione
str_helper_is_spawned|l'aiutante è in posizione.
str_leaving_area_during_prison_break|Abbandonando l'area durante l'evasione
str_talk_to_the_trainer|Parla con l'istruttore.
str_woman|donna
str_man|uomo
str_noble|nobile
str_common|borghese
; str_may_find_that_you_are_able_to_take_your_place_among_calradias_great_lords_relatively_quickly|may find that you are able to take your place among the great lords of these lands relatively quickly
; str_may_face_some_difficulties_establishing_yourself_as_an_equal_among_calradias_great_lords|may face some difficulties establishing yourself as an equal among great lords
; str_may_face_great_difficulties_establishing_yourself_as_an_equal_among_calradias_great_lords|may face great difficulties establishing yourself as an equal among great lords
str_current_party_morale_is_reg5_current_party_morale_modifiers_are__base_morale__50_party_size_s2reg1_leadership_s3reg2_food_variety_s4reg3s5s6_recent_events_s7reg4_total__reg5___|Il livello del Morale della Compagnia è {reg5}.^Modificatori del Morale della Compagnia:^^Morale base:  +{reg6}^Dimensione della Compagnia: {s2}{reg1}^Leadership: {s3}{reg2}^Varietà di cibo: {s4}{reg3}{s5}{s6}^Eventi recenti: {s7}{reg4}^TOTALE:  {reg5}^^^
str_s1extra_morale_for_s9_troops__reg6_|{s1}Morale extra per {s9} truppe : {reg6}^
str_courtships_in_progress_|Corteggiamenti in corso:^
str_s1_s2_relation_reg3_last_visit_reg4_days_ago|{s1}^{s2}, relazione {reg3}, ultima visita {reg4} giorni fa
; str_s1__poems_known|{s1}^^-----------^^Poems known:
; str_s1_storming_the_castle_of_love_allegoric|{s1}^Aeneas and Dido (Allegoric)
; str_s1_kais_and_layali_tragic|{s1}^Orpheus and Calliope (Tragic)
; str_s1_a_conversation_in_the_garden_comic|{s1}^Aesopica, a conversation in the garden (Comic)
; str_s1_helgered_and_kara_epic|{s1}^Beowulf (Epic)
; str_s1_a_hearts_desire_mystic|{s1}^Voyage of Bran (Mystic)
str_no_companions_in_service|Nessun Compagno in servizio
str_gathering_support|Raccogliendo consenso
str_expected_back_imminently|Atteso ritorno imminente
str_expected_back_in_approximately_reg3_days|Ritorno atteso approssimativamente fra {reg3} giorni
str_gathering_intelligence|Raccogliendo informazioni
; str_diplomatic_embassy_to_s9|Diplomatic embassy to the {s9}
str_serving_as_minister|Servendo come ministro
str_in_your_court_at_s9|Nella tua corte a {s9}
str_under_arms|Sotto le armi
str_in_your_party|Nella tua Compagnia
str_attacking_enemy_army_near_s11|Attaccando l'esercito nemico vicino {s11}
str_holding_feast_at_s11|Tenendo una festa a {s11}
; str_s9s10_current_state_s11_hours_at_current_state_reg3_current_strategic_thinking_s14_marshal_s12_since_the_last_offensive_ended_reg4_hours_since_the_decisive_event_reg10_hours_since_the_last_rest_reg9_hours_since_the_last_feast_ended_reg5_hours_percent_disgruntled_lords_reg7_percent_restless_lords_reg8__|{s9}{s10}^^Current strategy: {s11}^Hours at current strategy: {reg3}^^Marshal: {s12}^^Since the last offensive ended: {reg4} hours^Since the decisive event: {reg10} hours^Since the last 18+ hour rest: {reg9} hours^Since the last feast ended: {reg5} hours^^Percent disgruntled lords: {reg7}%^Percent restless lords: {reg8}%^^
str__right_to_rule_reg12|^Diritto a regnare: {reg12}.
str_political_arguments_made_legality_reg3_rights_of_lords_reg4_unificationpeace_reg5_rights_of_commons_reg6_fief_pledges_reg7|Argomentazioni politiche fatte:^Legalità: {reg3}^Diritti dei lords: {reg4}^Unificazione/pace: {reg5}^Diritti del popolo: {reg6}^Promesse di feudi: {reg7}
; str_renown_reg2_honour_rating_reg3s12_friends_s8_enemies_s6_s9|Renown: {reg2}.^Reputation rating: {reg3}.{s12}^Friends: {s8}.^Enemies: {s6}.^{s9}
str_you_lie_stunned_for_several_minutes_then_stagger_to_your_feet_to_find_your_s10_standing_over_you_you_have_lost_the_duel|Resti stordito per alcuni minuti, poi barcolli sui tuoi piedi, trovando il tuo {s10} in piedi sopra di te. Hai perso il duello.
str_s10_lies_in_the_arenas_dust_for_several_minutes_then_staggers_to_his_feet_you_have_won_the_duel|{s10} giace nella polvere dell'arena per vari minuti, poi si alza barcollando sui suoi piedi. Ha perso il duello.
; str__this_castle_is_temporarily_under_royal_control| This fort is temporarily under royal control.
; str__this_castle_does_not_seem_to_be_under_anyones_control| This fort does not seem to be under anyone's control.
str__this_town_is_temporarily_under_royal_control| Questa città è temporaneamente sotto il controllo reale.
str__the_townspeople_seem_to_have_declared_their_independence| La popolazione della città sembra aver dichiarato la sua indipendenza.
str_to_your_husband_s11|a tuo marito, {s11}.
; str__you_see_the_banner_of_your_wifehusband_s7_over_the_castle_gate| You see the banner of your {reg59?husband:wife}, {s7}, over the castle gate.
; str__the_banner_of_your_wifehusband_s7_flies_over_the_town_gates| The banner of your {reg59?husband:wife}, {s7}, flies over the town gates.
str__the_lord_is_currently_holding_a_feast_in_his_hall|^Il signore al momento sta dando una festa nel suo salone.
str__join_the_feast| (unisciti alla festa)
str_belligerent_drunk_in_s4|Ubriaco ostile a {s4}
str_belligerent_drunk_not_found|Ubriaco ostile non trovato
str_roughlooking_character_in_s4|persona dall'aspetto rude a {s4}
str_roughlooking_character_not_found|persona dall'aspetto rude non trovato
; str__however_you_have_sufficiently_distinguished_yourself_to_be_invited_to_attend_the_ongoing_feast_in_the_lords_castle|. However, you have sufficiently distinguished yourself to be invited to attend the ongoing feast in the lord's hall.
; str_s8_you_are_also_invited_to_attend_the_ongoing_feast_in_the_castle|{s8}. You are also invited to attend the ongoing feast in the hall.
str_s11_unfortunately_s12_was_wounded_and_had_to_be_left_behind|{s11} Sfortunatamente, {s12} venne ferito e dovette essere lasciato indietro. 
str_s11_also_s12_was_wounded_and_had_to_be_left_behind|{s11} Inoltre, {s12} venne ferito e dovette essere lasciato indietro.
str_with_the_s10|con il {s10}
; str_outside_calradia|outside these lands.
str_you_have_been_indicted_for_treason_to_s7_your_properties_have_been_confiscated_and_you_would_be_well_advised_to_flee_for_your_life|Ti è stata mossa l'accusa di tradimento verso {s7}. Le tue proprietà sono state confiscate, e faresti bene a fuggire per salvare la tua vita.
str_by_order_of_s6_s4_of_the_s5_has_been_indicted_for_treason_the_lord_has_been_stripped_of_all_reg4herhis_properties_and_has_fled_for_reg4herhis_life_he_is_rumored_to_have_gone_into_exile_s11|Su ordine di {s6}, {s4} del {s5} è stato incriminato per alto tradimento. Il lord è stato privato di tutte le {reg4?sue:sue} proprietà, ed è fuggito per salvare la {reg4?sua vita:vita}. Si vocifera che sia andato in esilio {s11}.
str_local_notables_from_s1_a_village_claimed_by_the_s4_have_been_mistreated_by_their_overlords_from_the_s3_and_petition_s5_for_protection|notabili locali provenienti da {s1}, un villaggio rivendicato dal {s4}, sono stati maltrattati dai loro signori del {s3} e rivolgono una petizione a {s5} per avere protezione.
str_villagers_from_s1_stole_some_cattle_from_s2|abitanti provenienti da {s1} rubavano del bestiame da {s2}
str_villagers_from_s1_abducted_a_woman_from_a_prominent_family_in_s2_to_marry_one_of_their_boys|abitanti di {s1} hanno rapito una donna di un'importante famiglia di {s2} per farla sposare con uno dei loro ragazzi.
str_villagers_from_s1_killed_some_farmers_from_s2_in_a_fight_over_the_diversion_of_a_stream|abitanti provenienti da {s1} hanno ucciso dei contadini di {s2} in uno scontro dovuto a controversie sulla deviazione di un torrente.
str_your_new_minister_|Il tuo nuovo ministro 
str_s10_is_your_new_minister_and_|{s10} è il tuo nuovo ministro, e 
str_due_to_the_loss_of_s10_your_court_has_been_relocated_to_s11|Poiché hai perso {s10} la tua corte è stata spostata a {s11}
str_after_to_the_fall_of_s10_your_faithful_vassal_s9_has_invited_your_court_to_s11_|Dopo la perdita della {s10}, il tuo fedele vassallo {s9} ha invitato la tua corte a {s11} 
str_after_to_the_fall_of_s11_your_court_has_nowhere_to_go|Dopo la perdita di {s11}, la tua corte non ha un luogo dove andare
; str_s8_wishes_to_inform_you_that_the_lords_of_s9_will_be_gathering_for_a_feast_at_his_great_hall_in_s10_and_invites_you_to_be_part_of_this_august_assembly|{s8} wishes to inform you that the lords of the {s9} will be gathering for a feast at his great hall in {s10}, and invites you to be part of this august assembly.
str_consult_with_s11_at_your_court_in_s12|Consultati con {s11} alla tua corte in {s12}
str_as_brief_as_our_separation_has_been_the_longing_in_my_heart_to_see_you_has_made_it_seem_as_many_years|Anche se la nostra separazione è stata breve, il desiderio nel mio cuore di vedervi l'ha fatta sembrare durare molti anni.
str_although_it_has_only_been_a_short_time_since_your_departure_but_i_would_be_most_pleased_to_see_you_again|Anche se è passato solo poco tempo dalla vostra partenza, sono ansiosa di rivedervi ancora.
str_although_i_have_received_no_word_from_you_for_quite_some_time_i_am_sure_that_you_must_have_been_very_busy_and_that_your_failure_to_come_see_me_in_no_way_indicates_that_your_attentions_to_me_were_insincere_|Anche se non ho ricevuto vostre notizie da parecchio tempo, sono sicura che che siete stato molto impegnato, e che l'impossibilità di venire a trovarmi non indica che la vostra attenzione nei miei confronti fosse falsa.
str_i_trust_that_you_have_comported_yourself_in_a_manner_becoming_a_gentleman_during_our_long_separation_|Confido che vi siate comportato in maniera consona ad un gentiluomo durante la nostra lunga separazione.
str_it_has_been_many_days_since_you_came_and_i_would_very_much_like_to_see_you_again|Sono trascorsi diversi giorni da quando siete venuto, e sarei molto contenta di vedervi di nuovo.
str__you_should_ask_my_s11_s16s_permission_but_i_have_no_reason_to_believe_that_he_will_prevent_you_from_coming_to_see_me| Dovreste chiedere il permesso a mio {s11} {s16}, ma non ho ragione di credere che v'impedirà di venire a trovarmi.
str__you_should_first_ask_her_s11_s16s_permission|. Dovreste prima chiedere il permesso a {s11} {s16}
str__alas_as_we_know_my_s11_s16_will_not_permit_me_to_see_you_however_i_believe_that_i_can_arrange_away_for_you_to_enter_undetected| Ahimè, come sappiamo mio {s11} {s16} non mi permette di vedervi. Però, credo di poter trovare un modo per farvi entrare indisturbato.
str__as_my_s11_s16_has_already_granted_permission_for_you_to_see_me_i_shall_expect_your_imminent_arrival| Visto che mio {s11} {s16} vi ha già concesso il permesso d'incontrarmi, io sono in attesa del vostro arrivo imminente.
str_visit_s3_who_was_last_at_s4s18|Visita {s3}, che l'ultima volta si trovava a {s4}{s18}
str_the_guards_at_the_gate_have_been_ordered_to_allow_you_through_you_might_be_imagining_things_but_you_think_one_of_them_may_have_given_you_a_wink|Le guardie hanno avuto l'ordine di consentirvi l'accesso. Forse era la vostra immaginazione, ma pensate che uno di essi vi abbia fatto l'occhiolino
; str_the_guards_glare_at_you_and_you_know_better_than_to_ask_permission_to_enter_however_as_you_walk_back_towards_your_lodgings_an_elderly_lady_dressed_in_black_approaches_you_i_am_s11s_nurse_she_whispers_urgently_don_this_dress_and_throw_the_hood_over_your_face_i_will_smuggle_you_inside_the_castle_to_meet_her_in_the_guise_of_a_skullery_maid__the_guards_will_not_look_too_carefully_but_i_beg_you_for_all_of_our_sakes_be_discrete|The guards glare at you, and you know better than to ask permission to enter. However, as you walk back towards your lodgings, an elderly lady dressed in black approaches you. 'I am {s11}'s nurse,' she whispers urgently. 'Don this dress, and throw the hood over your face. I will smuggle you inside to meet her in the guise of a scullery maid -- the guards will not look too carefully. But I beg you, for all of our sakes, be discreet!
str_the_guards_glare_at_you_and_you_know_better_than_to_ask_permission_to_enter_however_as_you_walk_back_towards_your_lodgings_an_elderly_lady_dressed_in_black_approaches_you_i_am_s11s_nurse_she_whispers_urgently_wait_for_a_while_by_the_spring_outside_the_walls_i_will_smuggle_her_ladyship_out_to_meet_you_dressed_in_the_guise_of_a_shepherdess_but_i_beg_you_for_all_of_our_sakes_be_discrete|Le guardie ti scrutano, e tu sai che è meglio non chiedere il permesso di entrare. Tuttavia, come ti giri per tornare al tuo alloggio, un'anziana signora vestita di nero ti si avvicina. 'Io sono l'ancella di {s11},' sussurra velocemente. 'Attendete qualche minuto fuori le mura, verra' fatto un segnale. Farò sgattaiolare Sua Signoria per incontrarvi, vestita nei panni di una pastorella. Ma vi prego, per il bene di tutti noi, di essere discreto!'.
str_the_guards_glare_at_you_and_you_know_better_than_to_ask_permission_to_enter_however_as_you_walk_back_towards_your_lodgings_an_elderly_lady_dressed_in_black_approaches_you_i_am_s11s_nurse_she_whispers_urgently_her_ladyship_asks_me_to_say_that_yearns_to_see_you_but_that_you_should_bide_your_time_a_bit_her_ladyship_says_that_to_arrange_a_clandestine_meeting_so_soon_after_your_last_encounter_would_be_too_dangerous|Le guardie ti scrutano, e tu sai che è meglio non chiedere il permesso di entrare. Tuttavia, come ti giri per tornare al tuo alloggio, un'anziana signora vestita di nero ti si avvicina. 'Io sono l'ancella di {s11},' sussurra velocemente. 'Sua Signoria mi chiede di dirvi che anela a rivedervi, ma che dovrete aspettare ancora un po'. La signora dice che organizzare un incontro clandestino così presto dopo l'ultima volta sarebbe stato troppo pericoloso.'.
str_the_guards_glare_at_you_and_you_know_better_than_to_ask_permission_to_enter|Le guardie ti scrutano, e ti rendi conto che è meglio non chiedere il permesso di entrare.
str_party_with_commander_mismatch__check_log_for_details_|Compagnia con discordanza di comandante - controlla il log per i dettagli.
str_doing_political_calculations_for_s9|facendo calcoli politici per {s9}
str_current_wealth_reg1|Ricchezza attuale: {reg1}
str_strange_that_one_didnt_seem_like_your_ordenary_troublemaker_he_didnt_drink_all_that_much__he_just_stood_there_quietly_and_watched_the_door_you_may_wish_to_consider_whether_you_have_any_enemies_who_know_you_are_in_town_a_pity_that_blood_had_to_be_spilled_in_my_establishment|Strano. Quello non sembra il vostro piantagrane ordinario. Non ha bevuto così tanto... Si è solo appoggiato lì, tranquillamente, e ha guardato la porta. Dovreste voler valutare se avete nemici che sanno che siete in città... È un peccato che debba essere versato sangue nella mia azienda...
str_you_never_let_him_draw_his_weapon_still_it_looked_like_he_was_going_to_kill_you_take_his_sword_and_purse_i_suppose_he_was_trouble_but_its_not_good_for_an_establishment_to_get_a_name_as_a_place_where_men_are_killed|Non gli avete neanche fatto sfoderare l'arma... Comunque sembrava che volesse uccidervi. Prendete la sua spada e il suo borsello, immagino. Quello era un casinista, ma non è bene per un'azienda farsi la nomea di posto dove vengono uccise persone.
str_well_id_say_that_he_started_it_that_entitles_you_to_his_sword_and_purse_i_suppose_have_a_drink_on_the_house_as_i_daresay_youve_saved_a_patron_or_two_a_broken_skull_still_i_hope_he_still_has_a_pulse_its_not_good_for_an_establishment_to_get_a_name_as_a_place_where_men_are_killed|Beh... Devo dire che ha iniziato lui. Suppongo che ora la sua spada e il suo borsellino vi appartengano. Bevete qualcosa in onore della casa, dato che credo che voi abbiate salvato uno o due clienti dal rompersi la testa. Comunque, spero sia ancora vivo. Non è bene per un'azienda farsi la nomea di posto dove vengono uccise persone.
str_stop_no_shooting_no_shooting|Fermi! Non tirate! Non tirate!
str_em_ill_stay_out_of_this|Ehm... Me ne terrò fuori.
str_the_s12_is_a_labyrinth_of_rivalries_and_grudges_lords_ignore_their_lieges_summons_and_many_are_ripe_to_defect|Il {s12} è un labirinto di rivalità e rancori. I lords ignorano la chiamata del loro signore, e molti sono pronti a disertare.
str_the_s12_is_shaky_many_lords_do_not_cooperate_with_each_other_and_some_might_be_tempted_to_defect_to_a_liege_that_they_consider_more_worthy|Il {s12} è traballante. Molti lords non cooperano con nessuno, e alcuni potrebbero essere tentati di disertare per un sovrano che ritengono più degno.
str_the_s12_is_fairly_solid_some_lords_bear_enmities_for_each_other_but_they_tend_to_stand_together_against_outside_enemies|Il {s12} è abbastanza solido. Alcuni signori non si sopportano l'un l'altro, ma tendono a stare compatti contro i nemici esterni.
str_the_s12_is_a_rock_of_stability_politically_speaking_whatever_the_lords_may_think_of_each_other_they_fight_as_one_against_the_common_foe|Il {s12} è una roccia di stabilità, politicamente parlando. Qualunque cosa i lords possano pensare l'uno dell'altro, combattono come un'unico uomo contro il nemico comune.
str_tribune_s12|Tribuno {s12}
str_lady_s12|Lady {s12}
str_lord_s12|Lord {s12}
str_resolve_the_dispute_between_s11_and_s12|Risolvi la disputa tra {s11} e {s12}
str_in_doing_so_you_will_be_in_violation_of_your_truce_is_that_what_you_want|Facendo questo, violerete la vostra stessa tregua. È ciò che volete?
str_if_you_attack_without_provocation_some_of_your_vassals_may_consider_you_to_be_too_warlike_is_that_what_you_want|Se attaccate senza essere stato provocato, alcuni dei vostri vassalli potrebbero considerarvi troppo bellicoso. È questo che volete?
str_our_men_are_ready_to_ride_forth_at_your_bidding_are_you_sure_this_is_what_you_want|I vostri uomini sono pronti a cavalcare al vostro comando... Siete sicuro che è questo ciò che volete?
str_seek_recognition|portare l'ambasciata.
; str_seek_vassalhood|seek vassalage
str_seek_a_truce|chiedere una tregua
str__promised_fief| (feudo promesso)
str_no_fiefss12|(no feudi){s12}
str_fiefs_s0s12|(feudi: {s0}{s12})
str_please_s65_|Prego {s65}, 
str__s15_is_also_being_held_here_and_you_may_wish_to_see_if_reg4shehe_will_join_us| Anche {s15} sta venendo trattenuto qui, e potreste volere veder{reg4?la:lo} se si unirà a noi.
str_one_thing_in_our_favor_is_that_s12s_grip_is_very_shaky_he_rules_over_a_labyrinth_of_rivalries_and_grudges_lords_often_fail_to_cooperate_and_many_would_happily_seek_a_better_liege|Una cosa che va a vostro favore è che la presa di {s12} è molto debole. Lui governa su un labirinto di rivalità e invidia. I lord spesso non riescono a cooperare, ma molti cercherebbero volentieri un miglior feudatario.
str_thankfully_s12s_grip_is_fairly_shaky_many_lords_do_not_cooperate_with_each_other_and_some_might_be_tempted_to_seek_a_better_liege|Fortunatamente, la presa di {s12} è molto debole. Molti lord non cooperano, e alcuni potrebbero essere tentati di cercare un miglior feudatario.
str_unfortunately_s12s_grip_is_fairly_strong_until_we_can_shake_it_we_may_have_to_look_long_and_hard_for_allies| Sfortunatamente, la morsa di {s12} è abbastanza forte. Finché non riusciamo a farla indebolire, trovare alleati potrebbe richedere molto tempo e rivelarsi difficile.
str_unfortunately_s12s_grip_is_very_strong_unless_we_can_loosen_it_it_may_be_difficult_to_find_allies|Sfortunatamente, la presa di {s12} è molto forte. A meno che non l'allentiamo, potrebbe rivelarsi difficile trovare alleati.
str_playername_come_to_plague_me_some_more_have_you|{playername}... Siete venuto ad assilarmi ancora, vero?
str_ah_it_is_you_again|Ah. Siete ancora voi...
; str_well_playername|Well, {playername}?
; str_flagon_of_mead|horn of mead
; str_skin_of_kumis|skin of syrung
; str_mug_of_kvass|mug of ale
str_cup_of_wine|bicchiere di vino
str_you_intend_to_challenge_s13_to_force_him_to_retract_an_insult|Avete intenzione di sfidare {s13} per costringerlo a ritirare un insulto.
str_youll_have_to_speak_to_me_at_some_other_time_then|Parleremo in un altro momento, allora.
str_this_is_no_time_for_words|Questo non è il tempo delle parole!
str_of_course_my_wife|Certamente, moglie mia.
str_perhaps_not_our_marriage_has_become_a_bit_strained_dont_you_think|Forse no. Il nostro matrimonio è diventato un po' teso, non credete?
; str_why_is_that_my_wife_actually_our_marriage_has_become_such_that_i_prefer_to_have_a_witness_for_all_of_our_converations|Why is that, my wife? Actually, our marriage has become such that I prefer to have a witness for all of our conversations.
str_all_right_then_what_do_you_have_to_say_out_with_it|D'accordo allora. Cos'avete da dire? Sputate il rospo!
str_bah__im_in_no_mood_for_whispering_in_the_corner|Bah. Non sono in vena di sussurrare negli angoli.
str_bah_i_dont_like_you_that_much_im_not_going_to_go_plot_with_you_in_some_corner|Bah. Non mi piacete così tanto. Non andrò a cospirare con voi in un angolo.
str_well__now_what_do_you_have_to_propose|Beh, allora che cosa'avete da proporre?
str_trying_our_hand_at_intrigue_are_we_i_think_not|State tentando di coinvolgerci in un intrigo? In questo caso, state commettendo un errore...
; str_hah_i_trust_you_as_a_i_would_a_serpent_i_think_not|Hah! I trust you as I would a serpent. I think not.
str_i_do_not_like_to_conduct_my_business_in_the_shadows_but_sometimes_it_must_be_done_what_do_you_have_to_say|Non mi piace gestire i miei affari nell'ombra, ma a volte è necessario farlo. Che cos'avete da dire?
str_i_would_prefer_to_conduct_our_affairs_out_in_the_open|Preferisco condurre i nostri affari fuori, all'aperto.
str_do_not_take_this_amiss_but_with_you_i_would_prefer_to_conduct_our_affairs_out_in_the_open|Non prendetevela, ma con voi preferirei condurre i miei affari fuori, all'aperto.
str_hmm_you_have_piqued_my_interest_what_do_you_have_to_say|Hmm. Avete solleticato il mio interesse. Che cos'avete da dire?
str_em_lets_keep_our_affairs_out_in_the_open_for_the_time_being|Ehm... Teniamo i nostri affari fuori, all'aperto, per il momento.
; str_thats_sensible__the_world_is_full_of_churls_who_poke_their_noses_into_their_betters_business_now_tell_me_what_it_is_that_you_have_to_say|That's sensible -- the world is full of ceorls who poke their noses into their betters' business. Now tell me what it is that you have to say.
str_what_do_you_take_me_for_a_plotter|Per chi mi avete preso? Per un cospiratore?
; str_well_i_normally_like_to_keep_things_out_in_the_open_but_im_sure_someone_like_you_would_not_want_to_talk_in_private_unless_heshe_had_a_good_reason_what_is_it|Well, I normally like to keep things out in the open, but I'm sure someone like you would not want to talk in private unless {reg59?she:he} had a good reason. What is it?
str_surely_we_can_discuss_whatever_you_want_to_discuss_out_here_in_the_open_cant_we|Possiamo certamente discorrere di qualsiasi cosa vogliate qui all'aperto, non pensate?
str_im_a_simple__man_not_one_for_intrigue_but_id_guess_that_you_have_something_worthwhile_to_say_what_is_it|Sono un uomo semplice, non sono fatto per gli intrighi, ma mi sembra che abbiate qualcosa d'interessante da dire. Di cosa si tratta?
str_forgive_me_but_im_not_one_for_going_off_in_corners_to_plot|Scusate, ma io non sono il tipo di persona che si nasconde in un angolo a complottare.
str_please_do_not_take_this_amiss_but_i_do_not_trust_you|Non prendetevela a male, ma... Non mi fido di voi.
str_certainly_playername_what_is_it|Certamente, {playername}. Che cosa c'è?
str_forgive_me_but_id_prefer_to_keep_our_conversations_in_the_open|Perdonatemi, ma preferisco tenere le nostre conversazioni all'aperto.
str_please_do_not_take_this_amiss_but_im_not_sure_you_and_i_are_still_on_those_terms|Non prendetela a male, ma non sono sicuro che voi ed io stiamo ancora in questi termini.
str_really_well_this_is_the_first_i_have_heard_of_it_unless_you_build_up_support_for_that_claim_you_may_find_it_difficult_to_find_allies_however_whenever_you_see_fit_to_declare_yourself_publically_as_queen_i_should_be_honored_to_be_your_consort|Davvero? È la prima volta che sento qualcosa del genere. A meno che voi non abbiate supporto per quella rivendicazione, potreste incontrare difficolta' nel trovare alleati. Comunque, in qualsiasi momento vi sentiate pronta a dichiararvi pubblicamente Regina, sarei onorato di essere il vostro consorte.
str_yes_i_have_heard_such_talk_while_it_is_good_that_you_are_building_up_your_support_i_do_not_think_that_you_are_quite_ready_to_proclaim_yourself_yet_however_i_will_let_you_be_the_judge_of_that_and_when_you_decide_i_should_be_honored_to_be_your_consort|Sì... È giunta anche a me questa diceria. Anche se è bene che voi vi stiate procurando supporto, penso che non siate ancora in condizione di proclamarvi, per ora. Comunque, farò scegliere a voi il momento, e quando deciderete, sarei onorato di essere il vostro consorte.
; str_yes_and_many_others_in_calradia_think_so_as_well_perhaps_it_is_time_that_you_declared_yourself_and_we_shall_ride_forth_together_to_claim_your_throne_i_should_be_honored_to_be_your_consort|Yes... and many others in these lands think so as well. Perhaps it is time that you declared yourself, and we shall ride forth together to claim your throne. I should be honored to be your consort.
str_i_am_disturbed_about_my_lord_s15s_choice_of_companions|Mi irrita la scelta dei compagni del mio lord {s15}.
str_well_ill_be_honest_i_feel_that_sometimes_s15_overlooks_my_rights_and_extends_his_protection_to_the_unworthy|Beh, sarò onesto. Mi sembra che a volte {s15} passi sopra i miei diritti, ed estenda la sua protezione sugli infedeli.
str_heh_one_thing_that_ill_say_about_s15_is_that_he_has_a_ripe_batch_of_bastards_in_his_court|Eh. Una cosa che dirò riguardo {s15}, è che ha una pronta massa di bastardi presso la sua corte.
str_well_sometimes_i_have_to_say_that_i_question_s15s_judgment_regarding_those_who_he_keeps_in_his_court|Beh, a volte devo dire che ho da ridire sul modo di giudicare di {s15} riguardante coloro i quali stazionano alla sua corte.
str_s15_is_a_weak_man_who_too_easily_lends_his_ear_to_evil_council_and_gives_his_protection_to_some_who_have_done_me_wrong|{s15} è un uomo debole, che presta orecchio a pessimi consigli, e dà protezione a certi che mi hanno fatto torto.
; str_i_will_confess_that_sometimes_i_worry_about_s15s_judgment_particularly_in_the_matter_of_the_counsel_that_he_keeps|I will confess that sometimes I worry about {s15}'s judgment, particularly in the matter of the counsel that {reg15?she:he} keeps.
str_what_do_i_think_i_think_that_s15_is_a_vile_pretender_a_friend_to_the_flatterer_and_the_hypocrite|Cosa ne penso? Penso che {s15} sia un vile pretendente, un amico dell'adulatore e dell'ipocrita.
str_well_s15_is_not_like_you_ill_say_that_much|Beh, {s15} non è come voi. Dirò solo questo.
str_s15_long_may_he_live|{s15}? Possa vivere a lungo!
str_he_is_my_liege_that_is_all_that_i_will_say_on_this_matter|Lui è il mio sovrano. Questo è tutto quello che dirò su questo argomento.
; str_that_you_are_the_rightful_heir_to_the_throne_of_calradia|That you are the rightful heir to the throne?
; str_that_s14_is_the_rightful_ruler_of_calradia|That {s14} is the rightful ruler of these lands?
str_that_s14_will_rule_this_land_justly|Che {s14} governerà questa terra con giustizia?
str_that_s14_will_protect_our_rights_as_nobles|Che {s14} proteggerà i nostri diritti di nobili?
str_that_s14_will_unify_this_land_and_end_this_war|Che {s14} unificherà questa terra e porrà fine alla guerra?
str_that_s14_will_reward_me_with_a_fief|Che {s14} mi ricompenserà con un feudo?
; str_he|he
str_king|Re
; str_she|she
str_queen|Regina
str_khan|Re
str_i|Io
; str_according_to_the_ancient_law_and_custom_of_the_calradians_s45_should_be_s47|According to the ancient laws and customs of this land, {s45} should be {s47}
