qstr_Breaking_camp...|Stai smantellando l'accampamento...
qstr_You_can_t_have_more_|Non puoi avere più di due quarti di truppe attive.
; qstr_The_night_falls_whil|The night falls while the ship, the Woden Ric, crosses the ocean. There is a good wind and the Woden Ric enjoys good sailing away from the site of the battle where it stopped in the morning. The Frisian coast is near by the time you fall asleep.^The ship sails during the night while the shift rotates at the rudder. If all goes well, landfall will occur the next day, and you'll be a little closer to your destination.^If all goes well... if only your nights were not filled with nightmares of ships consumed by fire and drowned men floating on bloody water. You are trapped in this way, costing you escape even to the world of dreams, when a hand shakes you, and a voice calls loudly near your ear.^You open your eyes and see the taciturn face of the captain illuminated by the light of dawn.  You see his lips moving frantically and gradually begin to understand his words...^^
qstr_Back_to_the_beginnin|Indietro fino all'inizio...
qstr_View_next_segment...|Guarda la prossima parte...
qstr_Selected_faction_is:|La fazione selezionata è: {s10}^^{s9}
qstr_You_are_currently_re|Al momento stai leggendo {s8}.
qstr_You_are_not_reading_|Non stai leggendo libri.
qstr_{s5}_and_{s6}|{s5} e {s6}
qstr_Your_estates_are:_{s|I tuoi possedimenti sono: {s8}.^{s9}
qstr_You_don_t_have_the_m|Non hai i soldi per pagare i tuoi uomini che stanno fortificando il campo. Fanno il lavoro, ma sono arrabbiati.
qstr_After_you_buy_the_ma|Dopo aver acquistato i materiali, i tuoi uomini ti costruiscono un rifugio permanente.
qstr_Player_renown_is_inc|La fama del personaggio è cresciuta di 100.
qstr_Player_reputation_is|La reputazione del personaggio è cresciuta di 1 e adesso è {reg7}.
qstr_Player_reputation_is_|La reputazione del personaggio è scesa di 5 e adesso è {reg7}.
; qstr_Reseted.|Reseted.
; qstr_The_time_to_meet_with_|The time to meet with the troops from the Kingdom of Asturias has arrived. Bodo's letter indicates that they will dock at {s3}, and {s11} wants you go there and meet with them. There is a traitor named Silo. Use him to gain favor with the Asturian troops and bring them to the side of the sons of Ragnar. If you fail to convince them, {s11} wants them destroyed.^^But before you leave Englaland, you must go to {s3} and talk to the old captain at the port, as {s11} has gathered men and ships to help you in Douar-an-Enez.
; qstr_The_time_to_meet_with_t|The time to meet with the troops from the Kingdom of Asturias has arrived. Bodo's letter indicates that they will dock at {s3}, and {s11} wants you go there and meet with them. There is a traitor named Silo. You have to expose him and destroy him diplomatically, without breaking relations with the Asturians.^^{s11} has gathered men and ships to help you in Douar-an-Enez. You must go to {s3} and talk to the old captain at the port.
qstr_Go_to_Old_Captain.|Vai dal Capitano Anziano.
; qstr_The_king_of_Danmark_|The king of Danmark suggested that you talk to Ulf at his farmstead to convince him not to testify against you at the Assembly. In addition, {s10} said it would be a good idea to have good relations (more than 15 relation points) with the jarls of Danmark, so they speak favorably about you at the Assembly.
; qstr_You_have_recently_re|You have recently returned to the islands. It seems the world has gone mad. The Danish have advanced on West Seaxe and have fortified a camp at Readingum, where they have managed to defeat an attack by the Saxons. Now, West Seaxe is gathering the fyrd in Aescesdun, calling all possible men to finish off the Danish. West Seaxe is fighting desperately for its survival. The Danish, in turn, are hastening to march against them. It seems a large battle is in the future, and Sven will be in it. You must meet with {s11} as soon as possible in Readingum, near {s3}.
; qstr_You_have_recently_ret|You have recently returned to the islands. It seems the world has gone mad. The Danish have advanced on West Seaxe and have fortified a camp at Readingum, where they have managed to defeat an attack by the Saxons. Now, West Seaxe is gathering the fyrd in Aescesdun, calling all possible men to finish off the Danish. West Seaxe is fighting desperately for its survival. The Danish, in turn, are hastening to march against them. It seems a large battle is in the future, and Sven will be in it. You must meet with {s11} as soon as possible in Aescesdun, near {s3}.
qstr_Go_to_your_lord.|Vai dal tuo signore.
qstr_Go_to_talk_to_Aelfre|Vai a parlare con Aelfred (Sassoni dell'ovest) o Halfdan (Danesi).
qstr_off|Spento
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?accetta:accettano} l'offerta. Costo: {reg0} denari.
qstr_No_one_accepts_the_o|Nessuno accetta l'offerta.
qstr_You_start_reading_{s|Cominci a leggere {s2}. Dopo poche pagine, senti che puoi imparare molto da questo libro. Poi decidi di chiuderlo e tenerlo chiuso con te per leggerlo quando avrai tempo.
qstr_You_flip_through_the|Sfogli le pagine di {s2}, ma ti trovi alle prese con un testo confuso e difficile da seguire. Continui a tentare, ma presto provi un forte mal di testa, devi arrenderti e cercare di riposare.
qstr_Villagers|Abitanti del villaggio
; qstr_Ambush!_The_enemy_ha|Ambush! The enemy has maneuvered to gain a good position, and you fell into an ambush.^^Being ambushed puts you in a poor and disorganized defensive position, and your men will have morale problems and reduced ability to cause damage to your enemies.^^
; qstr_You_have_encountered|You have encountered {s1}.^^The warlord encourages his men with a rousing speech. Your enemies have very high morale.^^
; qstr_You_have_encountered_|You have encountered {s1}.^^The warlord gathers his men to pray and invoke the protection of their god. Your enemies have high morale.^^
; qstr_You_have_encountered_{|You have encountered {s1}.^^Before we were prepared, we were surprised by enemy missile troops. They caused some casualties.^^
qstr_You_have_encountered_{s|Hai incontrato i {s1}.
qstr_You_have_engaged_{s1|Hai attaccato {s1} mentre stavano rapinando {s3}.
qstr_You_were_caught_by_{|{s1} ha fatto scattare un'imboscata ai tuoi danni mentre le tue forze stavano razziando {s3}.
; qstr_{s2}^^You_overhear_o|{s2}^^You overhear one of your more experienced men grumbling about the lack of a battle plan, and you make a mental note to find someone that can make one.^^
qstr_Your_men_feel_uneasy|I tuoi uomini si sentono a disagio quando attaccando gli innocenti.
qstr_Your_men_feel_uneasy_|I tuoi uomini si sentono a disagio quando attaccando i commercianti.
qstr_Your_men_feel_good_a|I tuoi uomini si sentono appagati quando attaccando i banditi.
; qstr_Since_{s8}_has_a_goo|Since {s8} has a good reputation, your troops feel a bit more confident than usual when attacked.
qstr_Your_men_feel_uneasy_a|I tuoi uomini si sentono a disagio ad attaccare {s8},  poichè è amato dal popolo.
qstr_Your_men_feel_uneasy_ab|I tuoi uomini si sentono a disagio ad attaccare {s8},  poichè è temuto.
qstr_Your_men_are_eager_t|I tuoi uomini sono impazienti di attaccare {s8},  poichè è odiato.
qstr_Board|Abborda
qstr_You_need_to_have_50_|È necessario avere 50 o più uomini per utilizzare il pannello di controllo del comandante.
qstr_{reg45}_will_be_lost|{reg45} sono andati persi.
qstr_You_were_victorious!|Hai vinto!
qstr_The_battle_was_lost.|La battaglia è persa. Le tue forze sono state completamente schiacciate.
qstr_Your_companions_carr|I tuoi compagni ti trascinano via dalla battaglia.
qstr_You_have_defeated_th|Hai sconfitto il nemico.
qstr_You_have_retreated_f|Hai deciso di ritirarti dal combattimento.
qstr_^^Ally_Casualties:{s|^^Perdite alleate:{s0}
qstr_{s1}_of_the_{s3}_man|{s1} del {s3} è riuscito a scappare.
qstr_Your_party_lost_{reg|La tua Compagnia perde {reg1} punti morale.
qstr_Your_party_gained_{r|La tua compagnia ha guadagnato {reg1} punti morale.
qstr_TEST:_Loot_value_bef|TEST: Valore bottino prima: {reg1} e dopor: {reg2}
qstr_Your_party_gained_{re|La tua compagnia ha guadagnato {reg1} punti morale per aver condiviso il bottino.
qstr_Your_party_lost_{reg1|La tua Compagnia perde {reg1} punti morale, perchè i tuoi uomini pensano che tieni troppo bottino per te.
qstr_Some_of_your_tendons|Alcuni tendini sono stati danneggiati nella battaglia. Perdi 1 punto in forza.
qstr_The_wound_you_took_w|Hai subito una brutta ferita che ti farà zoppicare un pò anche dopo la guarigione. Perdi 1 punto in agilità.
qstr_You_have_trouble_thi|Da dopo la battaglia hai problemi a concentrarti, forse perché hai sbattuto violentemente il capo, e frequenti mal di testa ora ti rovinano l'esistenza. La tua intelligenza è ridotta di 1 punto.
qstr_Perhaps_I_m_getting_|Forse la sfortuna mi sta avversando...
qstr_Retirement_is_starti|La pensione sta cominciando a suonarti sempre meglio.
qstr_No_matter!_I_will_pe|Nessun dubbio! Terrò duro!
qstr_What_did_I_do_to_des|Cos'ho fatto per meritarmi questo?
qstr_I_suppose_it_ll_make|Penso che andrà tutto bene, almeno...
qstr_Player_retreats_from|Il giocatore si ritira dalla battaglia.
qstr_You_have_{reg22}_hea|Hai {reg22} capi di bestiame che pascolano qui.
qstr_{s8}_of_the_{s9}|{s8} del {s9}
qstr__As_you_reach_the_se|appena raggiungi l'insediamento, sei accolto dai tuoi uomini.
qstr__As_you_reach_the_set|appena raggiungi l'insediamento, sei accolto dagli uomini di signore {s7}.
qstr__You_are_greeted_by_|Sei accolto da uomini a te fedeli.
qstr__You_are_greeted_by_m|Sei accolto da uomini fedeli a {s7}.
; qstr_The_rulers_of_the_re|The rulers of the realms are troubled by your offense against the majesty of your lord.
qstr_You_make_sure_they_s|Fate in modo che vedano che il loro signore, {s11}, è tenuto prigioniero dal vostro esercito.
qstr_The_{reg6?town_s:for|Le scorte {reg6?della città:del forte} dovrebbero bastare per altri {reg3} giorni.
qstr_The_{reg6?town_s:fort|Le scorte {reg6?della città:del forte} sono finite e i difensori stanno morendo di fame.
qstr_>>Your_men_are_build|>>I tuoi uomini stanno costruendo posti di blocco e piccoli accampamenti attorno a {s4} per impedire a chiunque di entrare o uscire.^^
; qstr_>>Your_perimeter_con|>>Your perimeter control is ready. You have set a perimeter for surveillance around {s4}. No one can enter or leave without the knowledge of your men.^This will be beneficial especially when you have to negotiate the surrender of the castle with its commander.^^
qstr_>>Your_men_are_ready|>>I tuoi uomini sono pronti per l'assalto.^^
qstr_>>As_a_disciplined_a|>>Come un esercito disciplinato, i tuoi uomini hanno costruito latrine, tubazioni e un laghetto per il loro bagno settimanale. Un campo sano previene le malattie.^^
; qstr_>>Your_men_have_fini|>>Your men have finished building mantlets. Now you can use them to protect your soldiers in the vanguard attack, and your main force for the final charge.^^
; qstr_>>Your_men_have_finis|>>Your men have finished making scaling equipment.^^
qstr_>>Your_attempt_to_fi|>>Il tuo tentativo di trovare un traditore nell'insediamento è fallito.^^
; qstr_>>You_have_found_a_t|>>You have found a traitor within {s7} that has supported your efforts to conquer it. This will make it more receptive to surrendering.^^
qstr_>>Your_attempt_to_ha|>>Il tuo tentativo di far infiltrare un tuo uomo a {s4} è fallito.^^
qstr_>>Your_men_have_succ|>>Il tuo uomo è riuscito ad infiltrarsi a {s4} e ha danneggiare i nemici.^^
qstr_>>You_ve_managed_to_|>>Sei riuscito a saccheggiare i raccolti e gli allevamenti nelle vicinanze.^^
qstr_>>You_have_sent_men_|>>Hai inviato un uomo a cercare un traditore a {s4}.^^
; qstr_>>You_have_found_a_tr|>>You have found a traitor within {s4} that has supported your efforts to conquer it. This will render it more receptive to surrendering.^^
; qstr_>>Your_men_are_takin|>>Your men are taking crops and ransacking farms close to {s4} on your orders. This will render it more receptive to surrendering.^^
qstr_>>You_have_sent_men_t|>>Hai inviato un uomo a infiltrarsi a {s4}.^^
; qstr_>>Your_camp_smells_h|>>Your camp smells horrible. The ground is muddy, your men defecate between tents, and you see rats running here and there.^^
qstr_>>As_a_disciplined_ar|>>Come un esercito disciplinato, i tuoi uomini hanno costruito latrine, tubazioni e un laghetto per il loro bagno settimanale. Un campo sano previene le malattie.^^
qstr_>>Your_men_are_diggi|>>I tuoi uomini stanno scavando buche per le latrine e altre costruzioni per prevenire le malattie.^^
qstr_You_need_to_have_more|Sono necessari più di 250 uomini per questo lavoro.
qstr_You_need_to_have_at_|Sono necessari almeno 40 uomini poterne assegnare alcuni alla ricerca di un traditore.
qstr_You_need_more_than_3|Hai bisogno di almeno 30 uomini, o inviandone via alcuni lascierai il campo poco protetto.
qstr_You_need_to_have_more_|Sono necessari più di 10 uomini per questo lavoro.
qstr_You_need_to_have_more_t|Sono necessari più di 80 uomini per questo.
qstr_>>The_assault_equipm|>>L'equipaggiamento d'assalto è pronto. Le tue truppe aspettano i tuoi ordini.^^
; qstr_>>You_look_at_{s4}._|>>You look at {s4}. Your men are silent while they await your order to attack. Your muscles are tense, hot for battle, but your mind is cold and adrenaline fills your veins^A man breathes deeply. 'Do you smell that?' he asks, 'That is the scent of glory.' 'Are you ready to seize it?'^^
; qstr_>>The_steel_of_the_w|>>The steel of the weapons glitters, banners sway in the wind and horns sound. The men whisper, many pray, ingratiate themselves with their god before facing the end of their lives. Up ahead there are only two things: victory or death.^War ... war never changes.^^
; qstr_>>Winter_is_the_wors|>>Winter is the worst time to fight, but there you are in the cold months, ready to undertake the conquest of {s4}. Many people think you're a daredevil, others a madman. But no one knows that someday you will be Brytenwalda.^^
; qstr_>>It_s_summer_and_ho|>>It's summer and hot -- maybe too hot -- but, at that moment, you do not feel anything. As always before a battle, you set aside time for a few inevitable memories of the past... Then you close your mind and ready it for battle, preparing for even the worst case -- death.^^
; qstr_>>You_look_at_{s4}._Y|>>You look at {s4}. Your men are silent while waiting for your order to charge towards death. Your muscles are tense, hot for battle, your mind cold and adrenaline fills your veins^A man breathes deeply. 'Do you smell that?' he asks, 'That is the scent of glory.' 'Are you ready to seize it?'^^
; qstr_>>Your_men_have_finish|>>Your men have finished building the mantlets. Now you can use them to protect your soldiers in the vanguard attack, and your main force for the final charge.^^
qstr_>>Your_men_are_buildi|>>I tuoi uomini stanno costruendo i mantelletti.^^
qstr_>>Your_men_have_finishe|>>I tuoi uomini hanno concluso la costruzione delle scale.^^
qstr_>>Your_men_are_buildin|>>I tuoi uomini stanno costruendo delle scale per l'assalto.^^
qstr_{s4}_lost_between_40|{s4} ha perso dal 40 al 50% delle sue scorte di cibo.
qstr_{s4}_lost_between_50|{s4} ha perso dal 50 al 60% delle sue scorte di cibo.
qstr_{s4}_lost_between_30|{s4} ha perso dal 30 al 40% delle sue scorte di cibo.
qstr_{s4}_lost_between_10|{s4} ha perso dal 10 al 20% delle sue scorte di cibo.
qstr_{s4}_have_between_10|{s4} avrà dal 10 al 30% della sua guranigione ammalata per diversi giorni.
qstr_It_should_have_food_|Dovrebbero avere scorte di cibo per {reg6} giorni.^La guarnigione conta {reg5} uomini.
qstr_^^The_following_armi|^^I seguenti eserciti sono attualmente all'interno:
qstr_^{s3}_with_{reg1}_tr|^{s3} con {reg1} truppe.
; qstr_^^Commander_this_tow|^^Commander, this town is one big rock. Many before us have fled the place before a single blow was exchanged, so we must keep morale up among the men. The path to the main gate is formidably narrow and steep, but if we set up the camp and build a battering ram, we can break down the wall at the back entrance of the town. When the wall is down, we can charge in without losing breath. The steps up to the town center are fewer there.
; qstr_^^Alt_Clut_the_rock_|^^Alt Clut, the rock high over the Clyde. This is the mightiest fortress of the northern Britons. Nobody has ever taken it by siege in your day. Controlling the mouth of the Clyde, it was where King Riderch Hael fought the Bernicians and the Picts.
; qstr_^^This_formidable_st|^^This formidable stronghold is the jewel of the Dumnonian kingdom. Here many ships from Mediterannea arrive full of wine and luxuries. Legend says the warlord, Arthur, was born here.
; qstr_^^Dun_Taruo_the_fort|^^Dun Taruo, the fortress of the bull. This place seems like the work of giants, and for centuries, the Picts have known its reputation.
; qstr_^^The_seat_of_the_br|^^The seat of the brave Goutodin warriors. From here, they launched their attacks against the Bernicians, and their heroic end will never be forgotten. You can almost smell their courage from here, even though Goutodin disappeared long ago.
qstr_^^This_place_is_just|^^Questo posto sta solo aspettando di essere conquistato.
qstr_As_a_last_defensive_|Come ultimo tentativo di resistenza, ti ritiri nella sala principale della fortezza. Tu e i soldati che sono rimasti mettete in atto una disperata resistenza qui. Se sarete sconfitti, non ci sarà altro luogo nel quale ritirarsi.
qstr_You_ve_been_driven_a|Le tue forze sono state respinte dalle mura. Ora gli attaccanti si stanno riversando nelle strade. Se riuscirai a sconfiggerli, forse potrai sperare di capovolgere il corso degli eventi e salvare la giornata.
qstr_You_ve_breached_the_|Hai occupato le mura della città, ma gli ostinati difensori continuano a resistere nelle strade! Dovrai vedertela con loro prima di poter attaccare la roccaforte nel cuore della città.
qstr_The_town_centre_is_y|Il centro città è tuo, ma i rimanenti difensori hanno ripiegato nel castello. Devono cadere prima che tu possa completare la tua vittoria.
qstr_The_remaining_defend|I rimanenti difensori si sono ritirati nel castello come loro ultima difesa. Devi andare là dentro e schiacciare ogni rimanente resistenza.
qstr_{s10}^^|{s10}^^
; qstr_{s10}You_may_decide_|{s10}You may decide to forbid your troops from harming the {reg2?town:fort}, if you want to conquer it for your faction, but your troops may lose morale. 
; qstr_{s10}You_can_allow_s|{s10}You can allow some plundering and keep the {reg2?town:fort}. 
qstr_However_since_you_ar|Comunque, dato che tu non sei {reg59?seguace:seguace} di {s9}, non c'è possibilità che lui voglia renderti {reg59?la signora:il signore} di {reg8?questa città:questo forte}.
qstr_The_enemy_has_been_f|Il nemico è stato costretto alla ritirata. L'assalto è finito, ma l'assedio continua.
qstr_As_you_approach_you_|Come ti avvicini, le guardie del forte ti avvistano, ti danno il benvenuto e aprono i cancelli per {reg59?la loro Regina:il loro Re}.
qstr_As_you_approach_you_a|Come ti avvicini, le guardie del forte ti avvistano, ti danno il benvenuto e aprono i cancelli per {reg59?la loro signora:il loro signore}.
qstr_^Christians_aren_t_w|^I cristiani non sono i benvenuti.
qstr_^Christians_are_acce|^I cristiani sono accettati.
qstr_^Christians_are_in_t|^I cristiani sono in maggioranza.
qstr_^Christians_are_domi|^I cristiani sono in dominanza.
qstr_^This_village_is_a_b|^Questo villaggio è un bastione della vostra fede.
qstr_^Rumor_has_it_that_C|^Gira voce che qui la fede cristiana non è altro che un velo e la popolazione continui ad adorare dei pagani di nascosto...
qstr_^Pagans_aren_t_welco|^I pagani non sono i benvenuti.
qstr_^Pagans_are_accepted|^I pagani sono accettati.
qstr_^Pagans_are_in_the_m|^I pagani sono in maggioranza.
qstr_^Pagans_are_dominant|^I pagani sono in dominanza.
qstr_^Rumor_has_it_that_o|^Gira voce che i vecchi dei pagani sono stati soppiantati in favore del cristianesimo.
qstr_This_village_and_the|Questo villaggio e le terre circostanti ti appartengono.
qstr_You_remember_that_th| Ricordi che questo villaggio e le terre circostanti appartengono a: {s7}.
qstr_These_lands_belong_t| Queste terre non appartengono a nessuno.
qstr_The_village_is_infes|Il villaggio è infestato da {reg8} {s35}.
qstr_The_village_has_been| Il villaggio è stato saccheggiato. Una manciata di anime disperse come te passano tra le case bruciate.
qstr_The_village_is_being| Il villaggio è stato razziato.
qstr_{s10}_{s12}^{s11}{s6|{s10} {s12}^{s11}{s6}{s7}{s15}
qstr_No_one_here_seems_to|Nessuno sembra interessato ad unirsi alla tua Compagnia.
qstr_Try_as_you_might_you|Hai tentato con tutto il tuo vigore, ma non hai potuto sconfiggere i banditi. Infuriati, razziano il villaggio per punire i contadini, poi si lasciano dietro la bruciante area desolata per trovare pascoli più verdi da saccheggiare.
qstr_castle|castello
qstr_The_{s17}_has_no_imp|Il {s17} non ha miglioramenti.
qstr_The_{s17}_has_the_fo|Il {s17} possiede i seguenti miglioramenti: {s18}.
qstr___Christian_riots_co| (Rivolte cristiane potrebbero causare: {reg33} relazioni in diminuzione)
qstr___Pagan_riots_could_| (Rivolte pagane potrebbero causare: {reg33} relazioni in diminuzione)
qstr_Your_enemies_beat_yo|I nemici ti abbattono e ti lasciano a terra credendoti ormai senza vita.
qstr_You_have_fallen._You|Hai subito la sconfitta. I nemici prendono velocemente dal tuo corpo ogni moneta che trovano, poi spariscono nella notte. Ti hanno lasciato in vita, ma in realtà credevano al tuo decesso.
qstr_Luckily_some_of_your|Fortunatamente alcuni tuoi compagni vengono a cercarti quando non vedono il tuo ritorno, ti trovano a terra sul lato della strada. Si affrettano a soccorrerti e a sanare le tue ferite.
qstr_Luckily_some_passing|Fortunatamente alcuni cittadini che stavano passando di là ti trovano a terra sul lato della strada, capiscono che tu sei più di un'anima vagabonda. Ti portano alla più vicina taverna e curano le tue ferite.
; qstr_Going_through_the_ba|Going through the bandits' purses, you discover a dirty torn piece of vellum with the word 'kill' and a portion of your name still visible. Turning the vellum over, you see the scribbles 'Meet me in {s3}.'
qstr_Your_efforts_prove_s|I tuoi sforzi hanno avuto successo e alcune persone hanno cambiato idea.
qstr_Your_efforts_to_conv|I tuoi sforzi per convertire la popolazione sono falliti miseramente.
qstr_You_fail_to_steal_an|Non hai avuto successo nel rubare del bestiame.
qstr_You_drive_away_{reg1|Guidi altrove {reg17} i capi di bestiame dal gregge del villaggio.
qstr_People_aren_t_very_h|Le persone non sono molto felici della vostra presenza nella loro casa.
qstr_^This_town_is_a_bast|^Questa città è un bastione della vostra fede.
qstr__As_you_reach_the_sett|appena raggiungi l'insediamento, sei accolto dai tuoi uomini.^{s15}
qstr_{s11}^{s15}|{s11}^{s15}
qstr__As_you_reach_the_settl|appena raggiungi l'insediamento, sei accolto dagli uomini di signore {s7}.^{s15}
qstr__This_fort_seems_to_| Questo forte non appartiene a nessuno.^{s15}
qstr_You_are_greeted_by_m|Sei accolto da uomini a te fedeli.^{s15}
qstr_You_are_greeted_by_me|Sei accolto da uomini fedeli a {s7}.^{s15}
qstr__This_town_seems_to_| Questo città non appartiene a nessuno.^{s15}
qstr__You_have_successful| Hai avuto successo nell'infiltrarti.
qstr_{s13}_A_tournament_w|{s13} Un torneo si svolgerà qui a breve.
qstr_{s10}_{s14}^{s11}{s1|{s10} {s14}^{s11}{s12}{s13}
qstr_An_expensive_horse_i|Ti viene regalato un costoso cavallo come ricompensa per la tua vittoria.
qstr_A_fat_cow_is_awarded|Ti viene regalata una grassa vacca come ricompensa per la tua vittoria.
; qstr_You_are_given_a_beau|You are given a beautiful shirt of mail adorned with a pelt, as befits a mighty warlord.
qstr_They_give_you_a_fine|Ti consegnano un'ottima spada, degna di un nobile.
qstr_They_appreciate_your|Apprezzano la tua partecipazione alla competizione e pongono una corona di alloro sulla tua testa.
qstr_Moreover_you_earn_{r|In più, guadagni {reg8} denari dalle scommesse piazzate sulla tua stessa persona...
qstr_Victory_is_yours!_Yo|La vittoria è tua! Hai vinto questo round, ma ora ti devi preparare per il prossimo.
qstr_You_have_been_bested|Hai subito la sconfitta in questo round, ma il mastro della cerimonia ti concede un riconoscimento speciale alle tue abilità e al tuo coraggio, acconsentendoti di prendere parte al prossimo round.
qstr_You_were_beaten._The|Sei al tappeto. I contadini sono rincuorati dal loro successo, ma la lezione che volevi insegnare loro probabilmente non è stata appresa...
qstr_After_beating_your_l|Dopo aver battuto il tuo ultimo avversario, spieghi ai contadini come difendersi al meglio contro questi tipi di attacchi. Speri che facciano tesoro di quest'esperienza e che la prossima volta saranno più preparati.
qstr_The_bandits_are_brok|I banditi sono sconfitti! Quei pochi che rimangono vivi e coscienti scappano con la coda tra le gambe, terrificati dai contadini e dai loro nuovi campioni!
qstr_Can_t_merge_both_fle|Non è possibile unire le due flotte, perché la tua abilità di re del mare non è abbastanza alta.
qstr_Can_t_merge_both_flee|Non è possibile unire le due flotte, perché ciò supererebbe il limite massino di sette navi.
qstr_Fleets_merged.|Unisci le flotte.
qstr_The_trader_you_are_e|Il commerciante che stai scortando non vuole utilizzare il traghetto.
qstr_The_ferry_station_is|La stazione del traghetto è molto piccola e non può trasportare il maresciallo con tutta la sua armata.
qstr_You_can_t_enter_the_|Non puoi entrare al porto poichè non sei il benvenuto in città.
qstr_You_can_t_enter_the_p|Non puoi entrare al porto poichè non sei il benvenuto in città. Inoltre questa città non può essere attaccata via mare.
qstr_You_can_t_enter_the_po|Non puoi entrare nel porto. Hai già una flotta nel porto e la tua abilità di re-del-mare non è abbastanza alta per unire le due flotte.
qstr_You_can_t_enter_the_por|Non puoi entrare nel porto e non puoi unire le flotte, perchè ciò causerebbe il superamento del limite di sette navi.
qstr_You_already_have_a_f|Hai già una flotta nel porto. Vuoi unire le due flotte?
qstr_Unfortunately_{reg3?|Sfortunatamente, {reg3?non sei:{s1} non è} in grado di trovare le merci di scambio che avrebbero dovuto portare ad un profitto.
qstr_^Buying_{s4}_here_an|^Comprando {s4} qui e vendendo questo a {s5} dovresti avere un profitto di {reg6} denari per oggetto.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?Trovi:{s1} trova} questo:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} ha/hanno guadagnato {reg0} esperienza.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} ha/hanno guadagnato in più {reg0} esperienza.
qstr_^You_earned_{reg0}_e|^Hai guadagnato {reg0} esperienza.{s2}
qstr_The_training_didn_t_|L'addestramento non è andato proprio bene.
qstr_The_training_didn_t_g|L'addestramento non è andato benissimo.
qstr_The_training_went_qu|L'addestramento è andato abbastanza bene.
qstr_The_training_went_ve|L'addestramento è andato benissimo.
qstr_The_training_went_pe|L'addestramento è andato perfettamente.
; qstr_You_fall_on_the_grou|You fall on the ground with multiple injuries. Each time your heart beats more slowly and your vision fades away... This battle was too much for you, and death rides to meet you.^^While life escapes, you hope that someone will just remember that there was once someone special called {playername}.
qstr_After_losing_the_sea|Dopo aver perso la battaglia navale, riesci a fuggire con una delle tue navi.
qstr_Your_enemies_take_yo|I tuoi nemici ti hanno posto in catene.
qstr_{s13}_asked_you_to_r|{s13} ti ha chiesto di fare un rapporto a lui con almeno {reg13} truppe.
qstr_{s13}_ordered_you_to|{s13} ti ha ordinato di unirti all'assalto contro {s14}.
qstr_Kingdom_Fails_to_Res|Regno che non reagisce: Il {s1} non ha risposto alle provocazioni del {s2}, e {s3} perde la faccia tra {reg4?i suoi:i suoi} elementi più bellicosi...
qstr_There_has_been_an_al|C'è stato un presunto incidente di frontiera: {s9}
qstr_There_has_been_an_all|C'è stato un presunto incidente di frontiera:il popolo di {s4} sta considerando una guerra contro {s3}.
qstr_Border_incident:_Wor|Incidente di confine: gira voce che {s9}. Anche se non sai se le voci sono vere, sai una cosa - questo episodio apparentemente minore ha suscitato passioni tra le persone del {s4}, rendendo più facile per loro andare in guerra contro il {s3}...
qstr_The_great_lords_of_y|I maggiori signori del tuo regno intendono riunirsi nel tuo salone {s15} a {s10} per una festa.
qstr_^{s64}^|^{s64}^
qstr_^^Note_that_as_long_|^^Nota che finchè sarai Comandante in Capo, i signori del regno si aspetteranno che tu li guidi nella campagna militare. Per cui, se sei in attesa di partecipare ad una festa, che sia di matrimonio o di altro tipo, potresti riterenere opportuno rinunciare al ruolo di comandante parlando al tuo sovrano.
; qstr_Strange..._You_ve_be|Strange... You've been asleep, but you can't remember any nightmares. What you remember clearly are Viking warriors boarding the Woden Ric, plunging their weapons into the bodies of the captain and sailors, and Bodo, the Cantabrian, defending himself like a lion until cornered. You hear his words in your consciousness, '{playername}! Fight! I am yet with you!'^^You remember the death -- your death -- when your enemies fell upon you. You still feel the wooden floor of the boat smash into your cheek before you could hardly breathe a goodbye to the world. Your eyes met your mother's, just before the end, as a huge Viking, dressed in iron -- could he be Sven? -- cracked her head with his spear and threw her body to the side.^^You crawled, leaving a trail of blood, preferring to give your body to the fish, but you remember no more.^^Are you dead? But if you're dead, why do you feel the sore muscles of your body, or the heat from a nearby fire? How is it that you can clench your hands, open your eyes and distinguish the beams of a roof over you?^^And if you're alive, who has saved you, why and how?
qstr_It_is_night_and_the_|È notte e il monastero sembra tranquillo.
qstr_The_monks_bless_you_|I monaci ti benedicono e tu prosegui per la tua strada.
qstr_You_don_t_have_enough_|Non hai abbastanza argento. Che cosa imbarazzante!
qstr_You_need_to_have_more_m|Hai bisogno di più uomini per questo.
; qstr_It_is_night_and_the_h|It is night, and the hof seems quiet.
; qstr_The_gothi_has_sacrif|The gothi has sacrificed animals to appease the gods on your behalf.
qstr_You_are_now_a_pagan_a|Ora sei un pagano, un seguace di Odino e gli altri dei Norreni.
qstr_The_majority_of_your|La maggior parte delle tue truppe è Pagana e supporta la tua azione.
qstr_The_majority_of_your_|La maggior parte delle tue truppe è Cristiana e disapprova la tua azione.
; qstr_In_the_arms_of_the_d|In the arms of the dead abbot, your men find 'The Cathach of Colum Cille.'
qstr_The_majority_of_your_t|La maggior parte delle tue truppe è Cristiana e approva la tua azione.
qstr_The_majority_of_your_tr|La maggior parte delle tue truppe è Pagana e disapprova la tua azione.
